Period,Ranking Date,Ranking Type,Category,Country,Rank,Rank Change,Channel Name,Profile Image,Total Subscribers,New Subscribers,Growth Rate,Video Count,Tags,Type
주간,2025-12-05,구독자 급상승,vlog,한국,1,0,유창조 You Chang Jo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",13500000,200,1.5%,0,"#예술당구,#묘기당구",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,2,+1,BABYMONSTER,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",10700000,100,0.9%,0,"#YG,#BABYMONSTER",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,3,NEW,tzuyang쯔양,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",12800000,100,0.8%,0,"#real sound,#리얼사운드",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,4,NEW,Byungari 병아리언니,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",12900000,100,0.8%,13000,"#Byungari,#병아리언니",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,5,+2,승비니 Seungbini,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",30200000,100,0.3%,55000,,channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,6,+2,Stoney Choi,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",2580000,80,3.1%,0,"#MUKBANG,#COOKING",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,7,+1,GlitchConi,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",189000,61,32.3%,51000,"#roblox,#animation",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,8,NEW,3분 명언,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",124000,51,41.8%,0,"#cats,#dogs",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,9,+1,AtHeart,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",1320000,50,3.8%,1,"#AtHeart,#앳하트",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,10,+1,남진 Douyin Makeup,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",2930000,50,1.7%,0,,channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,11,+23,이노냥 inoCat,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",6380000,50,0.8%,0,"#funny,#tiktok",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,12,+1,낭만썰들,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",517000,49,9.5%,0,"#shorts,#참교육",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,13,-4,제로비,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",515000,45,8.7%,0,,channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,14,+21,피부심 심현철,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",320000,36,11.3%,3,"#써마지,#여드름",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,15,-13,Rumi-KPOP,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",4100000,30,0.7%,0,,channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,16,+3,청담언니,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",7750000,30,0.4%,0,"#청담언니,#delicious",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,17,-5,광 gwang series,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",541000,26,4.8%,34000,"#나혼산,#샤이니키친구",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,18,-3,스마트 타이거 – TIGER ETF 공식 유튜브 채널,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",472000,25,5.3%,2,"#TIGERETF,#ETF",channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,19,+4,elnara_ruzieva,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",872000,25,2.9%,0,,channel_ranking
주간,2025-12-05,구독자 급상승,vlog,한국,20,-6,my찐찌 Douyin Makeup,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",302000,23,7.6%,4871,,channel_ranking
