Period,Ranking Date,Ranking Type,Category,Country,Rank,Rank Change,Channel Name,Profile Image,Views,Likes,Video Count,Tags,Type
주간,2025-12-05,인기순위,animals,한국,1,+104,신비한 동물사전,https://i.playboard.app/p/9cI6WC0xCnQd8IGiGthK-RCec27GHWks_p6U2P1Vey8xBncnOnzBxbe5e6d5P27bmDPfzZjh/100x100.jpg,92245468,269000,15000,"#코끼리,#악어",channel_ranking
주간,2025-12-05,인기순위,animals,한국,2,0,WildKing,https://i.playboard.app/p/h89CHu8xWHV-0_HrIAH5PNzHspUUlyNtr5lNRrB6y_lPFaTpeqyOWwR15u7wHu9v5ogOvLlATQ/100x100.jpg,50629822,122000,9,"#wild,#animals",channel_ranking
주간,2025-12-05,인기순위,animals,한국,3,-2,Healing Animal Energy,https://i.playboard.app/p/lGe2V3PROwIgwnY0W2Vuag6b5eUw3-rACynNubbM7ffvhrUCPzK1Dln40fG-puKqroFS7ktaPA/100x100.jpg,42622347,215000,0,"#animal,#Pet",channel_ranking
주간,2025-12-05,인기순위,animals,한국,4,+41,야생의 결투,https://i.playboard.app/p/MBBJmNA3MrHvHG59KdSQloFB_qjtnCcwLv0DV3wi3feCjC895gst4MkKSFrcBsk-7XKe_wveGlI/100x100.jpg,30390323,99000,0,,channel_ranking
주간,2025-12-05,인기순위,animals,한국,5,+9,World_Wild,https://i.playboard.app/p/Ogzd2v9wtRnUFGD231a8r3R5xo3LDDUBgBRey40PnhxIIKP5GVlT6_harHf1_U8yzNAS7xWqbA/100x100.jpg,28003377,71000,0,"#animal,#pattaya",channel_ranking
주간,2025-12-05,인기순위,animals,한국,6,+2,라온이네하우스 Raonine House,https://i.playboard.app/p/AATXAJwo3GKrEzbaGJj1fHFnRhcv1jRCAlOZVN3dbAdd/100x100.jpg,24321334,217000,0,"#Shorts,#귀여운 강아지",channel_ranking
주간,2025-12-05,인기순위,animals,한국,7,+35,The Cute Animals,https://i.playboard.app/p/MB5BUVVclbETCGuXuD36pANdi5uwTQ_knMTN1qkcZyROn2h680NyDXVX3NaZ8IjjI7XXrbWQ/100x100.jpg,23395406,67000,19100,"#Animals,#cute",channel_ranking
주간,2025-12-05,인기순위,animals,한국,8,-5,경이로운 순간,https://i.playboard.app/p/7pxXgq97KQ1L9LUuq-l6Nm3Pr9sH95DKsKz0Un_CQByPdpdfzRyWfi2gt1jKR9E7NIqQ3EHp/100x100.jpg,22466664,134000,0,"#Cat,#Moment-v4e",channel_ranking
주간,2025-12-05,인기순위,animals,한국,9,+6,인간극짱,https://i.playboard.app/p/tEe4aDBc6zEKwYnugK_oQoCLbtBYtZagel5dJsuxMzMIp7W-G9MmFGHPfxlBSCnIIprnoNQUqw/100x100.jpg,18033628,115000,0,,channel_ranking
주간,2025-12-05,인기순위,animals,한국,10,+80,Yoda Jjeom,https://i.playboard.app/p/PsgYUjGFkT-_2E6_y94kslKjOJ4z9lN-ohvIWGdJtcozDLTkoG4e9SNc11QcMFvq10vEoXwW2g/100x100.jpg,16867243,155000,0,,channel_ranking
주간,2025-12-05,인기순위,animals,한국,11,+1,하하호호,https://i.playboard.app/p/R_V6QfcQ5HgNLn_8TOLv3ZGITv9iiNeJBowYiOf3TIRsNkkBkcwDC57Z2AkKL-EIpFfgRiQy/100x100.jpg,15981917,92000,3323,"#youtubeshorts,#shorts",channel_ranking
주간,2025-12-05,인기순위,animals,한국,12,-2,팬픽,https://i.playboard.app/p/s3N5kZvIDwJcEA1RK9UKPb1V9A0TU2Bln4hjP_Pc_1amy80Q5kG6PQDdR-k_HlWY5L6DaCOP/100x100.jpg,13800150,196000,4835000,"#한국,#K팝",channel_ranking
주간,2025-12-05,인기순위,animals,한국,13,-7,링고다냥,https://i.playboard.app/p/Tyd4ukdiIBXO8R1LB14Ykf6IeregDho9MfvqFC8eLt_yhWr99z9ZRSIBm4NzXPz5RHCf0fgs/100x100.jpg,10053256,297000,0,"#shorts,#cat",channel_ranking
주간,2025-12-05,인기순위,animals,한국,14,-10,언더월드 UNDER WORLD,https://i.playboard.app/p/1Q12eCOp234fKI_nhoWoBMpXPgVaf-YTs_TTW1W9L_pyfoHdZT1PjhQiA5JcehlUo-4dnNTi/100x100.jpg,6980016,157000,22000,"#고양이,#집사",channel_ranking
주간,2025-12-05,인기순위,animals,한국,15,+3,한국마즈MARS Korea,https://i.playboard.app/p/9qnRbmId8GwV75zNRPDHb3150tIsivHoEGkbo0xi1yOTZqHClCGqsJfRo-RtVygE9NyQyAjVsw/100x100.jpg,4076230,367,1,"#강아지,#시저",channel_ranking
주간,2025-12-05,인기순위,animals,한국,16,+22,고양이극장,https://i.playboard.app/p/5DSNNVuEuBaElez2RWVdt2nFWVxIU8PmTj_oUfBsaRDtWJO8PslKThRoGED9zyOFsqduKZcs/100x100.jpg,9905011,123000,0,"#동물짤,#웃긴동물영상",channel_ranking
주간,2025-12-05,인기순위,animals,한국,17,+63,강형욱의 보듬TV,https://i.playboard.app/p/T7oEvbgaoNCEQU0EWM5wH1TxnyIspd-rNdV7nHUtPUkU5NvK3w0N3ex244_NCBx7EBFzTB64i8I/100x100.jpg,3433505,62000,0,"#보듬,#강형욱",channel_ranking
주간,2025-12-05,인기순위,animals,한국,18,+17,즐겁개 함께해옹,https://i.playboard.app/p/7GfEsnVMI9LXfhbkiBAeQkAk6A3nO4UxQoLzbtPGv8wrwapT5Czmyonw_46Su4CVJZZxubAK-9E/100x100.jpg,9361751,149000,0,"#강아지,#고양이",channel_ranking
주간,2025-12-05,인기순위,animals,한국,19,+88,스트로베리 터틀,https://i.playboard.app/p/Vnd873kocFNkMYK5o2xPhLOEw3Y1QV94ErPHLtE0MUycQfiX16tLCzIeeFUP5A0sgnHbDYWEcQ/100x100.jpg,9533902,115000,0,"#웃긴영상,#동물코미디",channel_ranking
주간,2025-12-05,인기순위,animals,한국,20,+69,말하는동물원 뿌빠TV,https://i.playboard.app/p/84a38ed9c0f3de04e39987e4a57cc691/100x100.jpg,2097818,92000,0,"#에버랜드,#푸바오",channel_ranking
주간,2025-12-05,인기순위,animals,한국,21,-4,납작개,https://i.playboard.app/p/qj6cCNJme9zyMPsp0Wbbx8kA4fs5hDAWkE1NqZWxT066OdJlS7nLuzx92HJ8uwoU35LI53iXGQ/100x100.jpg,8757910,85000,0,"#강아지,#동물",channel_ranking
주간,2025-12-05,인기순위,animals,한국,22,+9,포근한 발자국,https://i.playboard.app/p/LTy7LXQF1BkGrQnskKZXhaBGmqm2DUJYlnT4orFm9eqaoy7HvZk967CzJhIf1sfYZJPATrCGmw/100x100.jpg,8653302,93000,225000,"#강아지,#고양이",channel_ranking
