Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,Introducing Galaxy S25 Ultra | Galaxy AI | Samsung,3093521,2025.01.23,"#GalaxyAI,#AIPhone",Samsung,"7,690,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,+2,Design Film | Galaxy Z TriFold | Samsung,1921564,2025.12.05,"#GalaxyAI,#AIPhone",Samsung,"7,690,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,-1,[한화그룹 광고] 자원 순환으로 에너지 전환편,1312165,2025.11.17,"#한화,#태양광",한화TV (Hanwha TV),"147,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,-1,[TV CF] 설명이 필요 없는 귀뚜라미 보일러,988743,2025.10.31,"#귀뚜라미보일러,#보일러",귀뚜라미보일러,"16,400","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,0,A true AI companion | Galaxy AI | One UI 8 | Samsung,710443,2025.11.28,"#GalaxyAI,#OneUI8",Samsung,"7,690,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,+2,Google Gemini l '엘리베이터의 중심에서 선물을 외치다',606585,2025.12.05,,Google Korea,"86,500","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,0,[TV CF] 설명이 필요 없는 귀뚜라미 카본매트,578775,2025.10.01,,귀뚜라미보일러,"16,400","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,+3,Galaxy Z TriFold | Unboxing,281889,2025.12.04,"#GalaxyZTriFold,#갤럭시Z트라이폴드",삼성전자 뉴스룸 [Samsung Newsroom],"1,020,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,0,우당탕탕 예은의 회사원 라이프?! (With.엘리타 실크라식),220430,2025.09.11,,존슨앤드존슨 서지컬비전 공식 유튜브,"1,350","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,+3,[koreaeundan_official] 2025_고려은단 멀티비타민 올인원 시리즈 광고_유재석,204172,2025.11.28,,고려은단,"6,870","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,11,-1,[TV CF] 귀뚜라미 60년 냉난방 기술,201585,2025.10.01,,귀뚜라미보일러,"16,400","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,12,0,예은의 소개팅 대참사?! (Feat. 엘리타 실크라식),189333,2025.09.22,,존슨앤드존슨 서지컬비전 공식 유튜브,"1,350","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,13,+2,🎬 미래를 향한 카운트 업 | 한국폴리텍대학,181540,2025.11.05,"#한국폴리텍대학,#기술대학",한국폴리텍대학,"5,110","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,14,-8,무려 3천만명의 집 주소가 털려버린 역대급 쿠팡 개인정보 유출 사태.. 과연 대처법은?,166635,2025.12.05,"#쿠팡,#개인정보",ITSub잇섭,"2,790,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,15,+6,SOLO라면 필수 시청 👊 결혼하고 싶어지는 유부남들의 쀼생활 ㅣ 브라이언의 청소랩 EP.1,151981,2025.12.04,"#브라이언의청소랩,#EVENT]",Dreame Korea,277,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,16,0,"백내장·노안 내 얘기다 싶으면,",151238,2025.10.29,"#알콘,#팬옵틱스",알콘,"20,900","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,17,0,"선명한 시야, 선명한 일상을 위해! 지금 바로 만나보세요 알콘 팬옵틱스, 알콘 비비티",138052,2025.10.29,,알콘,"20,900","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,18,-4,Unboxing Galaxy Z TriFold | Samsung,116195,2025.12.03,"#GalaxyAI,#AIPhone",Samsung,"7,690,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,19,0,"""자동차도 없어요"" 아내도 의사지만 지하철 타고 다니는 30대 의사의 하루",107405,2025.12.02,"#의사브이로그,#의사결혼",장지헌의 마음학개론,"6,660","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,20,NEW,"[외신보도] ""이게 한국에서 나올 기술이냐?"" ㅣ중국의 40톤 엔진 녹아내릴 때 한국은 금속적층 냉각기술 완성했다ㅣ 30년간 숨겨졌던 한국의 메탄엔진 기술을 공개한 이유",100206,2025.12.07,"#꺼리튜브,#국방인사이드",꺼리튜브,"540,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
