Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,Introducing Galaxy S25 Ultra | Galaxy AI | Samsung,3093521,2025.01.23,"#GalaxyAI,#AIPhone",Samsung,"7,690,000",https://i.playboard.app/p/TtoYXLkyKZu3EDOHAbLjhtpPKwW9eBa0vKacVOmFfq4qzG_Si5KHqzS_u86KO1VIoZJp11scbw/100x100.jpg
일간,2025-12-08,video,한국,2,+2,Design Film | Galaxy Z TriFold | Samsung,1921564,2025.12.05,"#GalaxyAI,#AIPhone",Samsung,"7,690,000",https://i.playboard.app/p/TtoYXLkyKZu3EDOHAbLjhtpPKwW9eBa0vKacVOmFfq4qzG_Si5KHqzS_u86KO1VIoZJp11scbw/100x100.jpg
일간,2025-12-08,video,한국,3,-1,[한화그룹 광고] 자원 순환으로 에너지 전환편,1312165,2025.11.17,"#한화,#태양광",한화TV (Hanwha TV),"147,000",https://i.playboard.app/p/fde71365daf89708383fab569c24dc64/100x100.jpg
일간,2025-12-08,video,한국,4,-1,[TV CF] 설명이 필요 없는 귀뚜라미 보일러,988743,2025.10.31,"#귀뚜라미보일러,#보일러",귀뚜라미보일러,"16,400",https://i.playboard.app/p/4aN5OFtsmEWYq2aBZ7uS2bD2GGRFfO_tx4FKMPPAllp1S2lAxvAP3rm6hjNijXemZy-llkEgtg/100x100.jpg
일간,2025-12-08,video,한국,5,0,A true AI companion | Galaxy AI | One UI 8 | Samsung,710443,2025.11.28,"#GalaxyAI,#OneUI8",Samsung,"7,690,000",https://i.playboard.app/p/TtoYXLkyKZu3EDOHAbLjhtpPKwW9eBa0vKacVOmFfq4qzG_Si5KHqzS_u86KO1VIoZJp11scbw/100x100.jpg
일간,2025-12-08,video,한국,6,+2,Google Gemini l '엘리베이터의 중심에서 선물을 외치다',606585,2025.12.05,,Google Korea,"86,500",https://i.playboard.app/p/AATXAJwDWFG4yp9INPzZ2YjsEdfVWEYTOBCXXKmHfVTZWw/100x100.jpg
일간,2025-12-08,video,한국,7,0,[TV CF] 설명이 필요 없는 귀뚜라미 카본매트,578775,2025.10.01,,귀뚜라미보일러,"16,400",https://i.playboard.app/p/4aN5OFtsmEWYq2aBZ7uS2bD2GGRFfO_tx4FKMPPAllp1S2lAxvAP3rm6hjNijXemZy-llkEgtg/100x100.jpg
일간,2025-12-08,video,한국,8,+3,Galaxy Z TriFold | Unboxing,281889,2025.12.04,"#GalaxyZTriFold,#갤럭시Z트라이폴드",삼성전자 뉴스룸 [Samsung Newsroom],"1,020,000",https://i.playboard.app/p/AAUvwngy0qsKjKyM1G-8amcN2IPnjytnFhClJVIrRIv2ow/100x100.jpg
일간,2025-12-08,video,한국,9,0,우당탕탕 예은의 회사원 라이프?! (With.엘리타 실크라식),220430,2025.09.11,,존슨앤드존슨 서지컬비전 공식 유튜브,"1,350",https://i.playboard.app/p/WW39K-TXW76GDo2OvlrZkDuimo6jvveM6IgFxMzEF4TcmhwryCwP-F_qQHQokrVm2bXY9RDVJQ/100x100.jpg
일간,2025-12-08,video,한국,10,+3,[koreaeundan_official] 2025_고려은단 멀티비타민 올인원 시리즈 광고_유재석,204172,2025.11.28,,고려은단,"6,870",https://i.playboard.app/p/hI2Abh5udObbMGHnZNIeeyFXQbLNAXPFXpzjM1YSdPv6VJCQrnrQan99aPdsZHjSU5fXRT642A/100x100.jpg
일간,2025-12-08,video,한국,11,-1,[TV CF] 귀뚜라미 60년 냉난방 기술,201585,2025.10.01,,귀뚜라미보일러,"16,400",https://i.playboard.app/p/4aN5OFtsmEWYq2aBZ7uS2bD2GGRFfO_tx4FKMPPAllp1S2lAxvAP3rm6hjNijXemZy-llkEgtg/100x100.jpg
일간,2025-12-08,video,한국,12,0,예은의 소개팅 대참사?! (Feat. 엘리타 실크라식),189333,2025.09.22,,존슨앤드존슨 서지컬비전 공식 유튜브,"1,350",https://i.playboard.app/p/WW39K-TXW76GDo2OvlrZkDuimo6jvveM6IgFxMzEF4TcmhwryCwP-F_qQHQokrVm2bXY9RDVJQ/100x100.jpg
일간,2025-12-08,video,한국,13,+2,🎬 미래를 향한 카운트 업 | 한국폴리텍대학,181540,2025.11.05,"#한국폴리텍대학,#기술대학",한국폴리텍대학,"5,110",https://i.playboard.app/p/APkrFKY2WtqZ3PK5bbq4Ttk1J35r9FLOSEemD4B2NHYb/100x100.jpg
일간,2025-12-08,video,한국,14,-8,무려 3천만명의 집 주소가 털려버린 역대급 쿠팡 개인정보 유출 사태.. 과연 대처법은?,166635,2025.12.05,"#쿠팡,#개인정보",ITSub잇섭,"2,790,000",https://i.playboard.app/p/AAUvwni55MOQeOyxHhrweM10hI7vHGbQufW-SApaLKu8YA/100x100.jpg
일간,2025-12-08,video,한국,15,+6,SOLO라면 필수 시청 👊 결혼하고 싶어지는 유부남들의 쀼생활 ㅣ 브라이언의 청소랩 EP.1,151981,2025.12.04,"#브라이언의청소랩,#EVENT]",Dreame Korea,277,https://i.playboard.app/p/TMdo-EvKRApjyhPtWnrUAsPtDFmTmM3Zj5D8GE6vF224EQCnQ-uvSfyOR4j5CiZPgWVA4tP4zg/100x100.jpg
일간,2025-12-08,video,한국,16,0,"백내장·노안 내 얘기다 싶으면,",151238,2025.10.29,"#알콘,#팬옵틱스",알콘,"20,900",https://i.playboard.app/p/AATXAJz7MsKgPErz0MkYnoOWaCN0Eoja9D_Fk-o0I3F9/100x100.jpg
일간,2025-12-08,video,한국,17,0,"선명한 시야, 선명한 일상을 위해! 지금 바로 만나보세요 알콘 팬옵틱스, 알콘 비비티",138052,2025.10.29,,알콘,"20,900",https://i.playboard.app/p/AATXAJz7MsKgPErz0MkYnoOWaCN0Eoja9D_Fk-o0I3F9/100x100.jpg
일간,2025-12-08,video,한국,18,-4,Unboxing Galaxy Z TriFold | Samsung,116195,2025.12.03,"#GalaxyAI,#AIPhone",Samsung,"7,690,000",https://i.playboard.app/p/TtoYXLkyKZu3EDOHAbLjhtpPKwW9eBa0vKacVOmFfq4qzG_Si5KHqzS_u86KO1VIoZJp11scbw/100x100.jpg
일간,2025-12-08,video,한국,19,0,"""자동차도 없어요"" 아내도 의사지만 지하철 타고 다니는 30대 의사의 하루",107405,2025.12.02,"#의사브이로그,#의사결혼",장지헌의 마음학개론,"6,660",https://i.playboard.app/p/qpz7aS45PwcnhKhLwgorAzwMtXGrWljMwsnUkULMJvA6gR5dJ2OKp5cUytItXrzdT4wjm-3gpQ/100x100.jpg
일간,2025-12-08,video,한국,20,NEW,"[외신보도] ""이게 한국에서 나올 기술이냐?"" ㅣ중국의 40톤 엔진 녹아내릴 때 한국은 금속적층 냉각기술 완성했다ㅣ 30년간 숨겨졌던 한국의 메탄엔진 기술을 공개한 이유",100206,2025.12.07,"#꺼리튜브,#국방인사이드",꺼리튜브,"540,000",https://i.playboard.app/p/m-fiYpP0tljCuPfAR3l4OhJVkCUhIwqMcHaBbEp7TnJ5g-imwTb1kRUJ4APov7ujLL1kgUfklA/100x100.jpg
일간,2025-12-08,video,한국,21,+4,"SK케미칼 기넥신 광고 영상 (Disita, 15초)",92655,2025.11.06,,SK케미칼 [SK Chemicals],"3,530",https://i.playboard.app/p/0ffa85f4ee953eeaa0a3f42d8941c764/100x100.jpg
일간,2025-12-08,video,한국,22,NEW,"[외신보도] ""현무-6와 7의 미사일 공개됐다?"" 적 도시 도달 3분대, 그 뒤에 펼쳐지는 30기 탄도 미사일급 드론 펼쳐져ㅣ핵도 아닌데 도시 하나 통째로 삭제하는 미사일로 개발",84075,2025.12.07,"#꺼리튜브,#국방인사이드",꺼리디펜스,"194,000",https://i.playboard.app/p/EJrHTxVIxhyXDSl0kOtweUFfdoArY_G2MGQ5eUPm1S687BaXQYcYOZbLU5DLF-m_ud8eoUzr/100x100.jpg
