Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,"ALL FOR YOU, 2027 메가패스(30')",1141424,2025.11.03,"#메가스터디,#2027메가패스",theMEGASTUDY,"234,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,+1,[밀크티광고 TV CF] 전과목 성적향상 & 1:1맞춤학습 원한다면? | 다다다 모두 다 밀크T초등(15초),443107,2025.12.01,"#초등학습지,#초등인강",밀크TV_초등,"13,600","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,-1,"[HF On Air] 인생의 감탄사, 공사PR(15초)",363440,2025.11.07,"#한국주택금융공사,#주택금융공사",한국주택금융공사,"32,700","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,NEW,"다음 선진국은 없다? 폴란드, 베트남, 중국 – 후보조차 씨가 말랐습니다",253118,2025.12.07,"#중진국,#선진국",지식 브런치,"949,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,+36,"제로가 대세인 세상, 이제는 에이즈도 제로!",236025,2025.11.21,"#에이즈예방,#HIV",질병관리청 아프지마TV,"102,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,+12,"[지식뉴스] 월가 ""채권시장 충격 올 것""...미국 본격 돈 풀 준비됐는데, 일본발 엔캐리 청산 공포 올까? 혼돈의 트럼프 경제 시나리오 (f.이현식 기자) / 교양이를 부탁해",206559,2025.12.06,"#교양이를부탁해,#에브리싱랠리",교양이를 부탁해,"312,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,-2,"디지털 WM자산도 벌써, 10조!",205792,2025.11.18,"#KB증권,#깨비증권",깨비증권 마블TV [KB증권],"587,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,NEW,"이혼당하고 쫓겨나는 며느리에게 시어머니가 던진 보따리 열어본순간, 손이 떨리고 심장이 멎을뻔했습니다.",192306,2025.12.06,"#감동스토리,#부모자식",사연이 머무는 극장,"28,100","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,+2,수상할 만큼 야구를 잘하는 인천신정초등학교 전학생의 정체⚾ │ 근우야 놀자 EP02,191091,2025.12.02,,인천광역시교육청,"69,900","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,+22,[외국인노동자보호]모든 PaPa의 곁에 대한민국이 함께하겠습니다!,174695,2025.11.17,,안전보건공단,"42,400","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
