Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,[내셔널지오그래픽 어패럴] 진화한 패딩 아틀라스 (with NANA),1093466,2025.11.27,"#내셔널지오그래픽,#내셔널지오그래픽어패럴",내셔널지오그래픽어패럴,"8,570","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,0,"💌2025년 마지막, 빅러브 세일 2탄💌 이마트 고래잇페스타(11/27-12/10)",934210,2025.12.01,"#고래잇,#고래잇페스타",이마트 LIVE,"641,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,0,"어디서, 무엇을, 어떻게 - 결정은 강남언니 (장윤주 X 전종서)",667762,2025.11.17,"#강남언니,#장윤주",강남언니,"31,200","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,0,"눈 건강 더 늦기전에, 아이클리어! 네이버 강세일(~12/14)",621864,2025.11.27,"#눈건강,#눈노화",건강 다다다 ㅣ 종근당건강 공식 유튜브,"27,700","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,+1,주지훈이 알려주는 서류 ZERO 청구 서비스,567655,2025.10.31,"#라이나생명,#주지훈",라이나생명,"215,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,-1,"주지훈, ""지금 가입할게요"" 서류ZERO 청구서비스",529268,2025.11.07,"#라이나생명,#주지훈",라이나생명,"215,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,+2,"💌2025년 마지막, 빅러브 세일 2탄💌 이마트 고래잇페스타(11/27-12/10)",442835,2025.12.02,"#고래잇,#고래잇페스타",이마트 LIVE,"641,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,-1,NEW 시리즈 9 PRO+ 울트라 씬 골드 에디션 출시,440224,2025.12.02,,브라운 면도기Braun Korea,"2,180","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,+3,엄마가 선택한 진짜 건강기능식품 전문관ㅣ에누리 건강플러스+💊,352617,2025.11.17,"#에누리,#에누리건강플러스",에누리 가격비교,"12,600","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,+1,99.9% 더블 살균으로 매번 새 비데처럼. 노비타 더블 살균비데 [15초],320203,2025.10.01,,novita,"3,950","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,11,+4,"나의 삶을 바꾼 한마디, ""나 우체국보험 FC 할까?""",313561,2025.11.11,"#우체국보험,#우체국FC",우체국,"36,200","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,12,+2,"나와 살아가는 보험을 만나다 l 15""",300053,2025.12.01,,한화손해보험,"103,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,13,0,올해 마지막 통큰 찬스! 롯데마트&롯데슈퍼 '통큰세일' (1204~1207),290332,2025.12.01,,롯데마트,"34,800","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,14,+2,NEW 시리즈 9 PRO+ 울트라 씬 골드 에디션 출시,288492,2025.12.02,,브라운 면도기Braun Korea,"2,180","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,15,+2,"나와 살아가는 보험을 만나다ㅣ30""",287835,2025.12.01,,한화손해보험,"103,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,16,+2,[우리은행 퇴직연금] 퇴직은 우아하게 연금은 우와하게_여자편 30s,251312,2025.11.01,"#우리은행,#우리WON",우리은행,"411,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,17,+3,하루 두 번 자동으로 99.9% 살균. 노비타 더블 살균비데,185952,2025.10.01,,novita,"3,950","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,18,+3,사용할 때마다 99.9% 살균. 노비타 더블 살균비데,178047,2025.10.01,,novita,"3,950","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,19,+3,오직 당신에게 집중 당함,177298,2025.09.05,"#라이나,#주지훈",라이나생명,"215,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,20,-1,"안티에이징 효과를 즉각적으로 앞당기다, 아이오페 6세대 슈퍼바이탈 (S_16x9)",167265,2025.11.06,"#아이오페,#IOPE",아이오페 IOPE,"98,500","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
