Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,[내셔널지오그래픽 어패럴] 진화한 패딩 아틀라스 (with NANA),1093466,2025.11.27,"#내셔널지오그래픽,#내셔널지오그래픽어패럴",내셔널지오그래픽어패럴,"8,570",https://i.playboard.app/p/PaBhNNQdmO1TE2Ifpn2FavMww5c5aXKFPXRlGjUzM4BsvWofWMjx9btoGA-vKjVPagJZoM6iPgY/100x100.jpg
일간,2025-12-08,video,한국,2,0,"💌2025년 마지막, 빅러브 세일 2탄💌 이마트 고래잇페스타(11/27-12/10)",934210,2025.12.01,"#고래잇,#고래잇페스타",이마트 LIVE,"641,000",https://i.playboard.app/p/_9ZbG9CIHNU5wIHx5d7R16qt1qvhB9yyyisBLVn3Ux8-IZ6lwKpaNHYXFZcrMjG-aDp9duVWxg/100x100.jpg
일간,2025-12-08,video,한국,3,0,"어디서, 무엇을, 어떻게 - 결정은 강남언니 (장윤주 X 전종서)",667762,2025.11.17,"#강남언니,#장윤주",강남언니,"31,200",https://i.playboard.app/p/MqPxuXATkNywNPED4B2Ak9B9lWx3Y-PEtxJGsYAsyv42DLuFFv1U8TB7CykJHF9kKvkynJNE/100x100.jpg
일간,2025-12-08,video,한국,4,0,"눈 건강 더 늦기전에, 아이클리어! 네이버 강세일(~12/14)",621864,2025.11.27,"#눈건강,#눈노화",건강 다다다 ㅣ 종근당건강 공식 유튜브,"27,700",https://i.playboard.app/p/Z29wKTPZ-oS8jCY0uKkcBwXM_aDio8ge_wmivewXdzSceVATJ0dEUxEwKzhxHZxbWDZjhO7YRzM/100x100.jpg
일간,2025-12-08,video,한국,5,+1,주지훈이 알려주는 서류 ZERO 청구 서비스,567655,2025.10.31,"#라이나생명,#주지훈",라이나생명,"215,000",https://i.playboard.app/p/9WzvRRjDlAkzu5aOPvcsmsx2gEseRGXg4JROLWsYBy0FDKDWwJYIy8f58tT6qSEMsQmTMhbTH8w/100x100.jpg
일간,2025-12-08,video,한국,6,-1,"주지훈, ""지금 가입할게요"" 서류ZERO 청구서비스",529268,2025.11.07,"#라이나생명,#주지훈",라이나생명,"215,000",https://i.playboard.app/p/9WzvRRjDlAkzu5aOPvcsmsx2gEseRGXg4JROLWsYBy0FDKDWwJYIy8f58tT6qSEMsQmTMhbTH8w/100x100.jpg
일간,2025-12-08,video,한국,7,+2,"💌2025년 마지막, 빅러브 세일 2탄💌 이마트 고래잇페스타(11/27-12/10)",442835,2025.12.02,"#고래잇,#고래잇페스타",이마트 LIVE,"641,000",https://i.playboard.app/p/_9ZbG9CIHNU5wIHx5d7R16qt1qvhB9yyyisBLVn3Ux8-IZ6lwKpaNHYXFZcrMjG-aDp9duVWxg/100x100.jpg
일간,2025-12-08,video,한국,8,-1,NEW 시리즈 9 PRO+ 울트라 씬 골드 에디션 출시,440224,2025.12.02,,브라운 면도기Braun Korea,"2,180",https://i.playboard.app/p/APkrFKZ4w4XQOzy2zPPUgxnL30D7dnCswxWuF12_ceZMuw/100x100.jpg
일간,2025-12-08,video,한국,9,+3,엄마가 선택한 진짜 건강기능식품 전문관ㅣ에누리 건강플러스+💊,352617,2025.11.17,"#에누리,#에누리건강플러스",에누리 가격비교,"12,600",https://i.playboard.app/p/dqxwZ44eZoCcHfWcMRBYJ0fhI_adr7vMLmfGSOmio7Bu4yoR1e8-fOA91De56sqkYuJJKlaAkA/100x100.jpg
일간,2025-12-08,video,한국,10,+1,99.9% 더블 살균으로 매번 새 비데처럼. 노비타 더블 살균비데 [15초],320203,2025.10.01,,novita,"3,950",https://i.playboard.app/p/rS3WL_PPomZw6m-gTMZBofoZhpEseTKjr5kpmJcJkQlDSUKyF38TPVfb0GD1DT84La1acZ3kuQ/100x100.jpg
일간,2025-12-08,video,한국,11,+4,"나의 삶을 바꾼 한마디, ""나 우체국보험 FC 할까?""",313561,2025.11.11,"#우체국보험,#우체국FC",우체국,"36,200",https://i.playboard.app/p/AATXAJzTyRbUK9jgGjAWAeJttH3UrBaEHXv8eUNgmQ7NHQ/100x100.jpg
일간,2025-12-08,video,한국,12,+2,"나와 살아가는 보험을 만나다 l 15""",300053,2025.12.01,,한화손해보험,"103,000",https://i.playboard.app/p/r5z2A8-8qk4xOUy4MlUatvKis5JtBbLyQPARNeSXhgtt0-WGHJozkho6jv0XmRSmPGu3Uk6c/100x100.jpg
일간,2025-12-08,video,한국,13,0,올해 마지막 통큰 찬스! 롯데마트&롯데슈퍼 '통큰세일' (1204~1207),290332,2025.12.01,,롯데마트,"34,800",https://i.playboard.app/p/SIzU-A5ejdE0CgYi_9_fwgrB1R_2xbl34KiqAr7V0TTsgyGbck8ZB8779gBVZoMGngj89ode/100x100.jpg
일간,2025-12-08,video,한국,14,+2,NEW 시리즈 9 PRO+ 울트라 씬 골드 에디션 출시,288492,2025.12.02,,브라운 면도기Braun Korea,"2,180",https://i.playboard.app/p/APkrFKZ4w4XQOzy2zPPUgxnL30D7dnCswxWuF12_ceZMuw/100x100.jpg
일간,2025-12-08,video,한국,15,+2,"나와 살아가는 보험을 만나다ㅣ30""",287835,2025.12.01,,한화손해보험,"103,000",https://i.playboard.app/p/r5z2A8-8qk4xOUy4MlUatvKis5JtBbLyQPARNeSXhgtt0-WGHJozkho6jv0XmRSmPGu3Uk6c/100x100.jpg
일간,2025-12-08,video,한국,16,+2,[우리은행 퇴직연금] 퇴직은 우아하게 연금은 우와하게_여자편 30s,251312,2025.11.01,"#우리은행,#우리WON",우리은행,"411,000",https://i.playboard.app/p/2c0eeb305c9f76c21e71756b9667854b/100x100.jpg
일간,2025-12-08,video,한국,17,+3,하루 두 번 자동으로 99.9% 살균. 노비타 더블 살균비데,185952,2025.10.01,,novita,"3,950",https://i.playboard.app/p/rS3WL_PPomZw6m-gTMZBofoZhpEseTKjr5kpmJcJkQlDSUKyF38TPVfb0GD1DT84La1acZ3kuQ/100x100.jpg
일간,2025-12-08,video,한국,18,+3,사용할 때마다 99.9% 살균. 노비타 더블 살균비데,178047,2025.10.01,,novita,"3,950",https://i.playboard.app/p/rS3WL_PPomZw6m-gTMZBofoZhpEseTKjr5kpmJcJkQlDSUKyF38TPVfb0GD1DT84La1acZ3kuQ/100x100.jpg
일간,2025-12-08,video,한국,19,+3,오직 당신에게 집중 당함,177298,2025.09.05,"#라이나,#주지훈",라이나생명,"215,000",https://i.playboard.app/p/9WzvRRjDlAkzu5aOPvcsmsx2gEseRGXg4JROLWsYBy0FDKDWwJYIy8f58tT6qSEMsQmTMhbTH8w/100x100.jpg
일간,2025-12-08,video,한국,20,-1,"안티에이징 효과를 즉각적으로 앞당기다, 아이오페 6세대 슈퍼바이탈 (S_16x9)",167265,2025.11.06,"#아이오페,#IOPE",아이오페 IOPE,"98,500",https://i.playboard.app/p/bZvBwq3yn-bUXkFa6bpaaX2ZgZnYR9sLYDpe7AmKAW3oX47PRaNEsBpMghuF-lJ6Y3MTXz2kHg/100x100.jpg
일간,2025-12-08,video,한국,21,+2,"대한민국 장맛의 중심, 청정원 순창이 지킵니다 (feat. 안성재 셰프)",157473,2025.11.21,,청정원 푸드캐스트,"33,700",https://i.playboard.app/p/AATXAJy0aJxthGbz9eysjwCa_dX_U5Dkq29biCCXJWFq/100x100.jpg
일간,2025-12-08,video,한국,22,+42,[Ep. 01] 대니구와 헝가리의 뜨거운 열정을 담은 ‘Csárdás(차르다시)’🔥신들린 바이올린 라이브 연주ㅣ더샵 집라이브X대니구ㅣLive,156087,2025.12.05,"#더샵,#집라이브",더샵TV,"318,000",https://i.playboard.app/p/TsihLCAmfL25R84Rp3H2JEAfyKRQaVcjRmyUp4iRpPs8ThYz7-fIiYZ2OUybFaiPwCf-N_Bma-c/100x100.jpg
일간,2025-12-08,video,한국,23,+3,나와 살아가는 보험을 만나다 l 회사고민편,147556,2025.12.01,,한화손해보험,"103,000",https://i.playboard.app/p/r5z2A8-8qk4xOUy4MlUatvKis5JtBbLyQPARNeSXhgtt0-WGHJozkho6jv0XmRSmPGu3Uk6c/100x100.jpg
일간,2025-12-08,video,한국,24,+26,"원빈의 똑똑한 생활 플랫폼, 홈서비스 새로운 기준 [아정당]",130742,2025.05.28,,아정당,"321,000",https://i.playboard.app/p/0HB8GgqEnCs_bgpXxcYXUzlxZXPNZknVPfCeFmea6vtAMHRi58zqtgAyfVlryaP-rq6VXWZ6aA/100x100.jpg
일간,2025-12-08,video,한국,25,+8,[우리은행 퇴직연금] 퇴직은 우아하게 연금은 우와하게_남자편 30s,127972,2025.11.01,"#우리은행,#우리WON",우리은행,"411,000",https://i.playboard.app/p/2c0eeb305c9f76c21e71756b9667854b/100x100.jpg
일간,2025-12-08,video,한국,26,+2,[Correct with Nicorette] 금연은 못하고 금단증상만 늘었다면 I 금연엔 니코레트가 약입니다 _ 15s,126637,2025.11.14,"#금연보조제,#금연껌",Nicorette KR,"4,710",https://i.playboard.app/p/AATXAJz5rPuLXBao2aIp5KAya8F6f6hUQ5NxlU9Nvzro/100x100.jpg
일간,2025-12-08,video,한국,27,0,[VT cosmetics] MANIFESTO Film,122915,2025.11.27,"#VTcosmetics,#VTglobalambassador",VT COSMETICS_KR,"83,800",https://i.playboard.app/p/GFgXPO_qk8c3c4pe9QTFKBXq7D1YkEqzNhKoXACiM9CYFzjGla-7tzxitueyJXqrNNPeZqeD/100x100.jpg
일간,2025-12-08,video,한국,28,+9,딸기일까? 케이크일까? 🍰 풍성한 달콤함이 터지는 베리밤 BERRY BOMB❤️ ㅣ  (Full ver.),119723,2025.11.14,"#베리밤🍓,#파리바게뜨",파리바게뜨TV,"24,700",https://i.playboard.app/p/AATXAJwoJOB4MRHx9zi-nq3OfRSkVVIOFxwVzgS2mYyKXg/100x100.jpg
일간,2025-12-08,video,한국,29,-4,"질레트 랩스, BEST 밀착+저자극 면도 | 질레트코리아",117024,2025.10.22,"#질레트,#질레트랩스",Gillette Korea 질레트코리아,"11,399",https://i.playboard.app/p/AATXAJwU9UzCdlfiOcmy5qCMxXDGbHP3pcpdk9EwRh0P/100x100.jpg
