Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,NEW,"조진웅 ""모든 활동 중단...배우의 길에 마침표"" / YTN",1583748,2025.12.06,,YTN,"5,240,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,NEW,[에디터픽] '재앙급 현상'에 일본 내 공포 확산…사망자 속출에 '초비상' / YTN,797917,2025.12.08,"#곰,#곰습격",YTN,"5,240,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,NEW,"[속보] '소년범' 논란 조진웅 연예계 전격 은퇴 선언..""모든 질책 겸허히 수용..배우의 길 마침표"" - [MBC뉴스속보] 2025.1`2.06",472869,2025.12.07,"#조진웅,#은퇴",MBCNEWS,"6,070,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,+26,1시간 늦게 출근해도 월급은 그대로인 이 제도 / 스브스뉴스,388549,2025.12.04,"#육아,#출근",스브스뉴스 SUBUSUNEWS,"1,330,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,+260,"""美 쇼핑몰서 카드 결제""‥쿠팡발 공포 확산 - [LIVE] MBC 뉴스데스크 2025년 12월 06일",367672,2025.12.06,"#MBC뉴스,#MBC",MBCNEWS,"6,070,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,+67,"박나래, ‘갑질 의혹’에…‘주사 이모’ 의혹까지 / 채널A / 뉴스 TOP10",346997,2025.12.06,"#박나래,#주사이모",채널A 뉴스TOP10,"1,420,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,-5,"""술 안 마신다고 폭언"" 박나래, 매니저 갑질로 피소 - 김명준의 뉴스파이터",332713,2025.12.04,"#MBN,#김명준의뉴스파이터",MBN News,"2,530,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,NEW,"""동네 망신시켰다 손가락질"" 구직도 포기..""양양 떠나야 하나"" [뉴스.zip/MBC뉴스]",298990,2025.12.07,"#계엄령놀이,#환경미화원",MBCNEWS,"6,070,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,NEW,"[정치인싸] ‘징역 15년 구형’ 김건희, 이제 시작이다!｜지방선거 D-180, 여야 판세 전망 with 서용주, 장성철, 박성태, 윤희석",295406,2025.12.07,"#정치인싸,#mbc라디오",MBC 라디오 시사,"1,820,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,NEW,조진웅 은퇴 선언 박나래 의혹 맞고소 / 채널A / 뉴스A,282675,2025.12.06,"#뉴스A다!,#조진웅",채널A News,"3,340,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,11,NEW,"이준석, 드디어 국회에서 OUT?!뱃지 안녕!!",282479,2025.12.06,"#이준석,#봉지욱",국민 회초리,"74,900","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
