Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,+1,진짜 미치겠습니다!! 테디베어 소가 한국에 있습니다!!!! 일단 보시면 압니다. 귀여워 미쳐요 ㅋㅋㅋ,171957,2025.12.04,"#테디베어소,#마이애니멀스토리",다흑,"1,040,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,NEW,여명을 기다리며~,116744,2025.12.07,#PRISMLiveStudio,산방산신선,"10,900","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,+4,[MARS] NEW 시저 웜볼_사랑을 맛있게 데워요,111789,2025.11.12,,한국마즈MARS Korea,"8,830","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,+4,"[힐스] 오랫동안 건강하게 힐스, 액티브 바이옴+ 멀티 베네핏 신제품_16:9_15초_LATE DAD",107662,2025.08.06,,힐스코리아,"2,360","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,+4,[MARS] NEW 시저 웜볼_사랑을 맛있게 데워요,103928,2025.11.12,,한국마즈MARS Korea,"8,830","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,-2,"[힐스] 오랫동안 건강하게 힐스, 액티브 바이옴+ 멀티 베네핏 신제품_16:9_15초_CAT MOM",100507,2025.08.06,,힐스코리아,"2,360","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,-1,[MARS] NEW 시저 웜볼_사랑을 맛있게 데워요,96695,2025.11.12,,한국마즈MARS Korea,"8,830","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,+2,★심쿵주의★ 인형처럼 생긴 테디베어 소를 만났는데...역대급으로 귀엽습니다..ㅠㅠ죽겠네요..,62522,2025.12.05,,정브르,"1,440,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,+5,"""6개월째 하숙 중이에요"" 시골에서 떠돌아다니다 들어온 집에 자연스럽게 눌러앉아 사는 애교만점 개 |",59094,2025.11.16,"#왜그러냥귀엽개,#개",EBS 세나개 x 고부해 - 왜그러냥? 귀엽개!,"408,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,+3,La historia del crecimiento de la vicuña / 비쿠냐의 성장 이야기,49914,2025.11.29,,Paulino,"379,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,11,NEW,"길고양이 찬호, 사라졌다.. 그리고 다시 돌아왔다.",46666,2025.12.06,"#길냥이,#찬호",계절을 담다,"10,600","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,12,0,대형견과 합사 2개월차… 아기 고양이에게 닥친 최대 위기,45932,2025.10.31,,From SOLA,"254,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,13,NEW,정전기 때문에 난리난 강아지ㅋㅋㅋ,44706,2025.12.06,"#소녀의행성,#강아지",소녀의행성 Girlsplanet,"1,010,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,14,+3,[레전드 풀버전] 사람 물어 뜯는 미친 웰시코기 단숨에 제압하는 강형욱 ㄷㄷ I KBS 개는 훌륭하다 240226 방송,42948,2025.11.22,"#강형욱,#개통령",KBS동물티비 : 애니멀포유 animal4u,"1,540,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,15,-12,2025 대한민국 최고 인기 햄스터,42763,2025.12.05,,정서불안 김햄찌,"648,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,16,NEW,25.12.06 충주편 구독자 집사님과 빠가매운탕,39522,2025.12.06,,빡빡이 와 빡도리 노지캠핑전국여행 🐶,"37,100","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,17,NEW,강아지분양 라이브❤️마이펫 실시간 상담❤,36123,2025.12.07,"#강아지분양,#라이브",강아지분양고양이분양 마이펫🐶,"11,299","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,18,-17,얘는 또 누구야?,36003,2025.12.06,"#고양이,#집사",언더월드 UNDER WORLD,"1,540,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,19,-3,Vicuña recién nacida – La belleza de una vida que comienza,33556,2025.11.30,,Paulino,"379,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,20,NEW,"겨울철 강아지의 이런 행동은 정말 위험합니다 (옷, 신발, 산책 반드시 알아두세요) | 멍터뷰ep.55",33097,2025.12.06,,푸우형,"172,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
