Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,+1,[노스페이스 화이트라벨] 눕시 엘라 NUPTSE ELLA,861044,2025.10.01,,THE NORTH FACE KOREA,"38,200","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,+1,지구를 생각하는 리사이클 충전재 REMASTER NUPTSE | 15S VER.,723129,2025.10.01,,THE NORTH FACE KOREA,"38,200","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,-2,K리그 득점왕과 함께 선출팀을 상대로 만나면 생기는일 ㄷㄷ,605235,2025.11.28,,제이풋볼JFootballTV,"2,330,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,+1,[K2] 케이투 25FW 베이글 수지(SUZY)편,425518,2025.10.31,"#K2,#케이투",K2 케이투,"12,400","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,+1,[K2] 케이투 25FW G900 트리니티 수지(SUZY)편,346440,2025.11.24,"#K2,#케이투",K2 케이투,"12,400","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,NEW,김상욱 머리에 스피닝 킥 차는 UFC 라이트급 랭커,317177,2025.12.06,"#김동현,#김상욱",매미킴,"1,100,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,+1,카카오뱅크 AI 이체,264267,2025.11.24,"#카카오뱅크,#AI이체",카카오뱅크,"74,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,NEW,"""난 리버풀의 희생양"" 살라 폭탄 발언에 대한 소신 발언",182004,2025.12.07,"#살라,#리버풀",이스타TV,"809,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,+113,"월드컵 조편성 전체 리뷰, 죽음의 조 일본?? 음홀대전??ㅣ후토크",165894,2025.12.06,"#월드컵,#조추첨",이스타TV,"809,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,NEW,"던지면 대물, 걸면 kg !! 아는 사람들만 하고 있는 추자도 무늬오징어 낚시!",153549,2025.12.07,"#선상낚시,#무늬오징어",마초TV,"275,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,11,NEW,2025/12/07: 최정 vs 김은지 | 제8회 오청원배 세계여자바둑오픈 결승 3번기 1국,148983,2025.12.07,"#오청원배,#세계여자바둑오픈",바둑TV BADUK TV,"131,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,12,+106,사상 초유의 폭설 취소!..그런데 응원이 안 멈춰!!,127715,2025.12.05,"#폭설,#취소",스탐,"482,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,13,+3,"'곧 V리그에서?' 넵! 인쿠시 ""귀화도 도전할래요"" [이명진의 스탐친 EP.12]",124647,2025.12.05,"#김연경,#인쿠시",스탐,"482,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,14,+3,"해외 특집 방송🔥 GOAT 박지성, 해외 전문가들이 재조명한 위상",120511,2025.12.05,#박지성,축구대통령,"74,200","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,15,NEW,호르헤 마타(멕시코) vs. 마크 막사요(필리핀) | 4K 전체 하이라이트,106902,2025.12.06,"#권투,#스포츠",Anything,"714,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
