Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,CHA EUN-WOO 차은우 - 'Sweet Papaya' M/V,1938454,2025.11.28,"#차은우,#CHAEUNWOO",fantagio 판타지오,"1,260,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,0,VERIVERY - 'RED (Beggin')' Official M/V,1177506,2025.12.01,"#베리베리,#VERIVERY",VERIVERY,"402,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,+1,LGE.COM 홈스타일 오프닝 편 | LGE.COM,1175573,2025.11.21,"#LGECOM,#홈스타일",LG전자,"411,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,-1,[바비톡] 툭하면 날 알아주는 톡! 바비톡 | (15s),881035,2025.11.17,,바비톡 - Babitalk,"24,700","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,NEW,"[바비톡] 툭하면 톡하는 우리사이, 툭하면 바비톡 | (Full ver.)",802601,2025.11.17,#이벤트📢,바비톡 - Babitalk,"24,700","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,-1,블럭 다리 만들기 아이들을위한 편집 비디오,776792,2020.09.12,#BIBO와장난감,BIBO와 장난감,"15,800,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,0,"양반 l 양반은 허기진다고 아무거나 안 먹지. 요즘 양반 , 요즘 한식 -  한식 맛의 오리지널 양반",719638,2025.11.03,,동원F&B(Dongwon),"37,800","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,+6,안심에 진심 | 청소년 기본 비공개 설정편 | 틱톡 w 안재홍 & 최유리,626618,2025.11.17,,틱톡 TikTok Korea,"72,100","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,0,청정라거-테라 TERRA CF : 테라의 시대 2,626304,2025.11.17,"#THE_ERA_OF_TERRA,#테라의_시대",HITEJINRO,"126,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,+549,🐈188일째 퍼팅연습 꾸준함 성장 Live,621771,2025.12.07,#PRISMLiveStudio,로즈킴,"77,100","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,11,-3,"[투썸플레이스] 겨울은 스초생, 스초생은 지금",590617,2025.11.15,"#투썸플레이스,#투썸",투썸플레이스,"84,600","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,12,-6,[ENG SUB] 🇰🇷Feel the Magic of K-Winter at High1 Resort | 2025 하이원 동계,583209,2025.11.17,"#high1,#high1Resort",하이원 리조트-high1 resort,"121,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,13,-3,첫 알바는 천국이지! 알바비 2배 🎉,580198,2025.11.13,"#알바천국,#최강알바",알바천국,"19,600","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,14,-3,Born to 뉴하이브리드 iM뱅크,566253,2025.10.02,,iM뱅크,"60,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,15,-3,안심에 진심 | 제한 모드편 | 틱톡 w 안재홍 & 최유리,562088,2025.11.17,,틱톡 TikTok Korea,"72,100","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
