Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,[더벤티] 더벤티에 딸기왔어요🍓theVenti Berry Special Winter_(15’) w. G-DRAGON,1388417,2025.12.01,"#GDRAGON,#Berry",더벤티비(theventi),"5,630","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,+7,달이 깨어났다 | 에피소드 10,313489,2025.12.06,"#space,#phobia",Mr. Friend,"793,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,+2,Spookiz | 불에 | 어린이 만화 | 어린이를위한 비디오 | WildBrain,242272,2019.05.04,,WildBrain 한국어,"3,160,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,-1,"12월 한국 영화&드라마 ㄷㄷ🔥 ""넷플릭스 VS 디즈니+"" 정상결전 뜬다!! 《2025년 연말 한국작품 엄선 라인업》",201498,2025.12.05,"#영화,#드라마",넷플릭스 뽕뽑기 [엘플릭스],"229,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,+322,[짐승친구들] 납치 사건의 끔찍한 진실,186250,2025.12.06,"#짤툰,#애니메이션",짤툰,"3,220,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,+2,구리 골렘 만들기 ㅣ 마인크래프트 애니메이션,185411,2025.12.06,"#알렉스,#스티브",실패자_silpaeja,"2,900,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,-1,실화주의... 지금 미국에서 난리난 브리트니 스피어스 실종 사건,171808,2025.12.02,"#인터넷가입,#정수기렌탈",달빛부부,"1,040,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,+3,마샤와 곰 - 크리스마스 소동 🎄😊 (제3회),162149,2019.01.05,,마샤와 곰,"3,470,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,+1,[엘리하이X유재석] 대한민국 초등학생 누구나 엘리하이🗺️ (TVCF 15초A),132284,2025.12.02,"#엘리하이,#엘리하이무료체험",엘리하이,"11,299","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,+3,[엘리하이X유재석] 대한민국 초등학생 누구나 엘리하이🗺️ (TVCF 15초C),125260,2025.12.02,"#엘리하이,#엘리하이무료체험",엘리하이,"11,299","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,11,NEW,"""진짜 역겹네요..💥"" 유명가수 vs 백악관 갈등 최고조! | 타란티노, 폴 다노 극딜 사건 | 결혼 날짜 잡은 테일러, 충격과 공포의 식장은? | 블랙 위도우 DC로 전격이적?!",110838,2025.12.07,"#주간기묘케,#해외연예",기묘한 케이지,"559,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,12,+12,"Squid Game season 2,3",100434,2025.09.20,,땅콩 Peanut,"3,210,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,13,+6,KPop Demon Hunters Movie Collection ! 360° VR,98783,2025.11.21,"#360vr,#360video",캐릭터 360 VR,"160,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,14,+11,AMONG US ANIMATION EP 21~40,94535,2023.06.05,,땅콩 Peanut,"3,210,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,15,-8,와 미친.. 출연료만 총 2000억.. ≪어벤져스: 둠스데이≫ 티저 예고편 공개 임박 & 루머 총정리,93015,2025.12.06,"#어벤져스둠스데이,#둠스데이",무비띵크_Movie Think,"527,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,16,+6,[만약에 우리] '그때의 우리' 예고편,92752,2025.12.03,"#만약에우리,#김도영감독",쇼박스 SHOWBOX,"123,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,17,-2,[더 러닝 맨] 도파민 MAX 호평 리뷰 영상,92600,2025.11.26,"#더러닝맨,#12월10일극장대개봉",ParamountKR,"39,600","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,18,+87,"""1분"" 보는 순간 ""25분""이 삭제 됩니다. 개봉하자마자 박스오피스 1위 차지해버렸던 황정민X임수정 주연 띵작 한국 영화",88161,2025.12.04,"#행복,#영화",어바웃타임 (About time),"1,200,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,19,-1,흩어진 십(十)선비와의 첫 격돌! 읏맨 vs 일(一)선비!,87401,2025.12.02,"#읏맨,#빌런툰",읏맨,"1,000,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,20,+129,2분만에 보는 2025년 밈,86895,2025.12.06,,유요,"235,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
