Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,BABYMONSTER - 'PSYCHO' PERFORMANCE VIDEO,8746895,2025.12.06,"#BABYMONSTER,#베이비몬스터",BABYMONSTER,"10,700,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,0,BABYMONSTER - ‘PSYCHO’ M/V,3064366,2025.11.19,"#BABYMONSTER,#베이비몬스터",BABYMONSTER,"10,700,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,+1,ROSÉ & Bruno Mars - APT. (Official Music Video),2509370,2024.10.18,"#ROSÉ_BRUNO_APT,#APT",ROSÉ,"19,400,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,+1,[Official M/V] cosmosy “Physics ~ 物理的な ~“,1404450,2025.11.28,"#Physics,#物理的な",cosmosy_yt,"813,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,-2,'Coma' Performance Video | NO LABELS: PART 01 | 연준 (YEONJUN),1141712,2025.12.03,"#투모로우바이투게더,#TOMORROW_X_TOGETHER",TOMORROW X TOGETHER OFFICIAL,"13,100,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,+1,PSY - GANGNAM STYLE(강남스타일) M/V,1090300,2012.07.15,"#PSY,#싸이",officialpsy,"20,200,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,-1,화사 (HWASA) - 'Good Goodbye' MV,1035293,2025.10.15,"#화사,#HWASA",HWASA,"1,690,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,+1,BLACKPINK - ‘뛰어(JUMP)’ M/V,815463,2025.07.11,"#BLACKPINK,#블랙핑크",BLACKPINK,"99,400,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,+1,"Stray Kids(스트레이 키즈) ""Do It"" M/V",728129,2025.11.21,"#StrayKids,#스트레이키즈",JYP Entertainment,"31,600,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,+2,LE SSERAFIM (르세라핌) 'SPAGHETTI (feat. j-hope of BTS)' OFFICIAL MV,619493,2025.10.24,"#LE_SSERAFIM,#르세라핌",HYBE LABELS,"79,100,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
