Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,BABYMONSTER - 'PSYCHO' PERFORMANCE VIDEO,8746895,2025.12.06,"#BABYMONSTER,#베이비몬스터",BABYMONSTER,"10,700,000",https://i.playboard.app/p/guzIoEyd9IyKWaD7Jfnlp1rD7k9SiEOV7go0ItyJ3O9V-j8ez6Jvs4Yj3LfrCu3Z7rFcdIqYLTI/100x100.jpg
일간,2025-12-08,video,한국,2,0,BABYMONSTER - ‘PSYCHO’ M/V,3064366,2025.11.19,"#BABYMONSTER,#베이비몬스터",BABYMONSTER,"10,700,000",https://i.playboard.app/p/guzIoEyd9IyKWaD7Jfnlp1rD7k9SiEOV7go0ItyJ3O9V-j8ez6Jvs4Yj3LfrCu3Z7rFcdIqYLTI/100x100.jpg
일간,2025-12-08,video,한국,3,+1,ROSÉ & Bruno Mars - APT. (Official Music Video),2509370,2024.10.18,"#ROSÉ_BRUNO_APT,#APT",ROSÉ,"19,400,000",https://i.playboard.app/p/c-9TDaunJbFck2McBplr6znOKqviHrz7sqcdhxevdnv91R3_Slw3F80uCMAqbb5CjB0vhjGP/100x100.jpg
일간,2025-12-08,video,한국,4,+1,[Official M/V] cosmosy “Physics ~ 物理的な ~“,1404450,2025.11.28,"#Physics,#物理的な",cosmosy_yt,"813,000",https://i.playboard.app/p/MY5ONgjG8iyyLW1Gl_YDGam4HY99cPX5W1mp_55Qt2eHCp2ndS4LM-q_v_LV2lrkjFXVigLl9g/100x100.jpg
일간,2025-12-08,video,한국,5,-2,'Coma' Performance Video | NO LABELS: PART 01 | 연준 (YEONJUN),1141712,2025.12.03,"#투모로우바이투게더,#TOMORROW_X_TOGETHER",TOMORROW X TOGETHER OFFICIAL,"13,100,000",https://i.playboard.app/p/7-XcdjvgkV_6S170TI_yngbZQFqNmSiPr5gFX2vVxEUj6pXx_3J4Ti6n-EL2pZjraZHFMOL-4g/100x100.jpg
일간,2025-12-08,video,한국,6,+1,PSY - GANGNAM STYLE(강남스타일) M/V,1090300,2012.07.15,"#PSY,#싸이",officialpsy,"20,200,000",https://i.playboard.app/p/kJ8zwS_VhJ0TE-XDumnshGQ86hazfhHjjU4xn80Dc8xmSghA_2xw4OJTHaGreyeoro6q_vcT/100x100.jpg
일간,2025-12-08,video,한국,7,-1,화사 (HWASA) - 'Good Goodbye' MV,1035293,2025.10.15,"#화사,#HWASA",HWASA,"1,690,000",https://i.playboard.app/p/h4GUVPAQdMhe7ljlMCklRPDkSp2vWfLMBkdC7Iu3s3bxLlPWhbE8rXxUKyHNsTfPL4bu7awAhGE/100x100.jpg
일간,2025-12-08,video,한국,8,+1,BLACKPINK - ‘뛰어(JUMP)’ M/V,815463,2025.07.11,"#BLACKPINK,#블랙핑크",BLACKPINK,"99,400,000",https://i.playboard.app/p/EMHEc8vNqHUC-eBFl_RrLcla7_NH6hEohpi0RrMABe6cOcmCabmnxcqfVFmONWTQg5LtbpNkQg/100x100.jpg
일간,2025-12-08,video,한국,9,+1,"Stray Kids(스트레이 키즈) ""Do It"" M/V",728129,2025.11.21,"#StrayKids,#스트레이키즈",JYP Entertainment,"31,600,000",https://i.playboard.app/p/1abdf60ea67933f284d14b4b1ee9786e/100x100.jpg
일간,2025-12-08,video,한국,10,+2,LE SSERAFIM (르세라핌) 'SPAGHETTI (feat. j-hope of BTS)' OFFICIAL MV,619493,2025.10.24,"#LE_SSERAFIM,#르세라핌",HYBE LABELS,"79,100,000",https://i.playboard.app/p/AIdro_l8g0yRFG8xoe_qeqk8Ki9UFy36cB2IjZEWZWz0h7gl-t0/100x100.jpg
