Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,BABYMONSTER - 'PSYCHO' PERFORMANCE VIDEO,8746895,2025.12.06,"#BABYMONSTER,#베이비몬스터",BABYMONSTER,"10,700,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,+7,Introducing Galaxy S25 Ultra | Galaxy AI | Samsung,3093521,2025.01.23,"#GalaxyAI,#AIPhone",Samsung,"7,690,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,-1,BABYMONSTER - ‘PSYCHO’ M/V,3064366,2025.11.19,"#BABYMONSTER,#베이비몬스터",BABYMONSTER,"10,700,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,0,ROSÉ & Bruno Mars - APT. (Official Music Video),2509370,2024.10.18,"#ROSÉ_BRUNO_APT,#APT",ROSÉ,"19,400,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,+5,CHA EUN-WOO 차은우 - 'Sweet Papaya' M/V,1938454,2025.11.28,"#차은우,#CHAEUNWOO",fantagio 판타지오,"1,260,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,+19,Design Film | Galaxy Z TriFold | Samsung,1921564,2025.12.05,"#GalaxyAI,#AIPhone",Samsung,"7,690,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,0,"국민의 든든한 내일, 국민연금",1903238,2025.11.13,,국민연금TV,"70,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,+3,기프트 카드 사기 예방하기,1721596,2025.11.28,"#1.,#2.",소비자시민모임,"6,640","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,NEW,"조진웅 ""모든 활동 중단...배우의 길에 마침표"" / YTN",1583748,2025.12.06,,YTN,"5,240,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,NEW,[공식Live] 2025 로스트아크 윈터 쇼케이스 / LOST ARK WINTER SHOWCASE,1553173,2025.12.07,"#로스트아크,#겨울업데이트",로스트아크 LOST ARK,"233,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,11,-3,[Official M/V] cosmosy “Physics ~ 物理的な ~“,1404450,2025.11.28,"#Physics,#物理的な",cosmosy_yt,"813,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,12,+8,[더벤티] 더벤티에 딸기왔어요🍓theVenti Berry Special Winter_(15’) w. G-DRAGON,1388417,2025.12.01,"#GDRAGON,#Berry",더벤티비(theventi),"5,630","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,13,0,"Genesis Magma: Disruptive, by nature.",1372731,2025.11.21,"#Genesis,#GenesisMagma",제네시스,"1,220,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,14,+1,"📷우정 여행도 걱정 없이 떠나자, 트립을 믿고✈️🏨 ｜ Trip.com",1332103,2025.11.24,"#트립닷컴,#Tripcom",트립닷컴,"2,710","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,15,-1,"💑커플 여행도 걱정 없이 떠나자, 트립을 믿고✈️🏨 ｜ Trip.com",1313308,2025.11.24,"#트립닷컴,#Tripcom",트립닷컴,"2,710",https://i.playboard.app/p/fcd64f39a7d7c398678b4d9049f08d3f/100x100.jpg
일간,2025-12-08,video,한국,16,0,[한화그룹 광고] 자원 순환으로 에너지 전환편,1312165,2025.11.17,"#한화,#태양광",한화TV (Hanwha TV),"147,000",https://i.playboard.app/p/fde71365daf89708383fab569c24dc64/100x100.jpg
일간,2025-12-08,video,한국,17,-5,VERIVERY - 'RED (Beggin')' Official M/V,1177506,2025.12.01,"#베리베리,#VERIVERY",VERIVERY,"402,000",https://i.playboard.app/p/ZaW5GhH5WhcILBMql8LhXTkM_kq0DO2lr4ehe8vvL8gZbrrj2Y2oUa2R1Ex8hh6Bk_O1Cwn9/100x100.jpg
일간,2025-12-08,video,한국,18,+14,LGE.COM 홈스타일 오프닝 편 | LGE.COM,1175573,2025.11.21,"#LGECOM,#홈스타일",LG전자,"411,000",https://i.playboard.app/p/X-00ikAbY4t2vLl63zvsvdzSzhq7dh1mNOiwj2RgJKTJf-AiewIL-5Q23nF7rQPkboH0BDdgSA/100x100.jpg
