Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,이거 나 좋아하는 거 맞지?,636149,2025.12.06,"#띱,#연애",띱 Deep,"2,080,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,0,면접,387913,2025.12.05,"#스케치코미디,#숏박스",숏박스,"3,700,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,+101,[밥묵자] 꼰대희 최대 위기 찐 부산 달맞이고개 출신 배우 임수향과 김치제육 한끼,342677,2025.12.06,"#꼰대희,#밥묵자",꼰대희,"1,980,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,NEW,간신히 모셨습니다,252852,2025.12.06,,피식대학Psick Univ,"2,830,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,+5,페브리즈 실내건조 15s,214948,2025.10.31,,페브리즈 Febreze,"8,390","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,NEW,[유브이 녹음실] 폴킴 고막 먹는 뮤지 (ENG),202047,2025.12.05,"#고막,#남친",유브이 방 - UV BANG,"496,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,NEW,올데프 베일리와 리한나 DM 답장을 기다리며,193110,2025.12.06,"#올데이프로젝트,#베일리",빠더너스 BDNS,"2,250,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,-4,"[EN] 251204 mini핑계고 : 유재석, 올데이 프로젝트(애니, 타잔, 우찬)  @뜬뜬편집실 (OneCam)｜EP.24",168383,2025.12.04,,뜬뜬 DdeunDdeun,"2,820,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,+62,아니 그래서 얼마로 숏을 치냐구요,162029,2025.12.06,"#미장은지금,#숏",머니코믹스 Money Comics,"1,260,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,-5,20대 남성들은 정말 이준석을 좋아할까?,159580,2025.12.06,"#정영진,#최욱",웃다가!,"427,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
