Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,0,이거 나 좋아하는 거 맞지?,636149,2025.12.06,"#띱,#연애",띱 Deep,"2,080,000",https://i.playboard.app/p/Y3r0eeqgkFziHcflNnErI13tSnEqCnU3g03wxiVtFNuUWSVDYnSVWO-iGSl6SFGl6k8GP1DJSw/100x100.jpg
일간,2025-12-08,video,한국,2,0,면접,387913,2025.12.05,"#스케치코미디,#숏박스",숏박스,"3,700,000",https://i.playboard.app/p/zxq1JmbQt6HEzZP2fzSD-wImF4zdxaQ8nYYKf9cdO9DltO0F0KNEbziJkpGqE40fWoyKuEvlGQ/100x100.jpg
일간,2025-12-08,video,한국,3,+101,[밥묵자] 꼰대희 최대 위기 찐 부산 달맞이고개 출신 배우 임수향과 김치제육 한끼,342677,2025.12.06,"#꼰대희,#밥묵자",꼰대희,"1,980,000",https://i.playboard.app/p/AAUvwnj9OckPoK4X-SPbFnrLHu1JEIqnYvRCdpySbOJg/100x100.jpg
일간,2025-12-08,video,한국,4,NEW,간신히 모셨습니다,252852,2025.12.06,,피식대학Psick Univ,"2,830,000",https://i.playboard.app/p/P-1t1vvIsi75Rrye9f5fYIL7vY26HS-Gpq11RP7RY9R7VxRyvDTOvI8laDLoNhMvwbjezdjWCjs/100x100.jpg
일간,2025-12-08,video,한국,5,+5,페브리즈 실내건조 15s,214948,2025.10.31,,페브리즈 Febreze,"8,390",https://i.playboard.app/p/jhpGFzMb712Wiu4--gcR6HfvHRvzUX0g22LzKWxLzVmNYcKfZslCgm36HX8KTB7h2h5-DoiJ/100x100.jpg
일간,2025-12-08,video,한국,6,NEW,[유브이 녹음실] 폴킴 고막 먹는 뮤지 (ENG),202047,2025.12.05,"#고막,#남친",유브이 방 - UV BANG,"496,000",https://i.playboard.app/p/662f7b2d33a775a3836b2dc1a965805a/100x100.jpg
일간,2025-12-08,video,한국,7,NEW,올데프 베일리와 리한나 DM 답장을 기다리며,193110,2025.12.06,"#올데이프로젝트,#베일리",빠더너스 BDNS,"2,250,000",https://i.playboard.app/p/AAUvwniijH75j3mYxdhJDtUQmpurhVXiXaD2k8bJQ3Shmg/100x100.jpg
일간,2025-12-08,video,한국,8,-4,"[EN] 251204 mini핑계고 : 유재석, 올데이 프로젝트(애니, 타잔, 우찬)  @뜬뜬편집실 (OneCam)｜EP.24",168383,2025.12.04,,뜬뜬 DdeunDdeun,"2,820,000",https://i.playboard.app/p/D0eRDrxMc6Yu0AZSQobnV21TwXPPUo9GWk4a5RunYUXpjyLqJdqw-WNeEZ1RjVfH39TeHr37ng/100x100.jpg
일간,2025-12-08,video,한국,9,+62,아니 그래서 얼마로 숏을 치냐구요,162029,2025.12.06,"#미장은지금,#숏",머니코믹스 Money Comics,"1,260,000",https://i.playboard.app/p/ZiHnOy7IalMsVBs7IQvQwj76D64owvasKTautJinTdhLh8UbXoPhlRe-iGTQLLAoGtJhLtWoIA/100x100.jpg
일간,2025-12-08,video,한국,10,-5,20대 남성들은 정말 이준석을 좋아할까?,159580,2025.12.06,"#정영진,#최욱",웃다가!,"427,000",https://i.playboard.app/p/pTtM9MXCszbkt8xjoxAme8lUbB2uRafqdktcmO-KrH0siG0UmmQnPcqMKEzSTWwj_DvlZNYiuQ/100x100.jpg
일간,2025-12-08,video,한국,11,+4,COLOR FOOD MUKBANG🔥 [Mint🤢 • Pink🍬 • BLACK💀],155227,2023.06.03,"#asmr,#color",CuRe 구래,"32,500,000",https://i.playboard.app/p/ESeFH2AUcsxtnfxFOPxL3OBkZzpLmxF39-NAjXM5DiVj7qcVvL-2Wt6DINB0RjHAKzJdNEiJ/100x100.jpg
일간,2025-12-08,video,한국,12,NEW,숯불구이,148916,2025.12.07,"#스케치코미디,#숏무비",180초,"856,000",https://i.playboard.app/p/e2ce928616ced8ab45e22a5d04ea6668/100x100.jpg
일간,2025-12-08,video,한국,13,NEW,외국인은 선배도 아니냐?,134670,2025.12.07,"#웃기시네,#스케치코미디",웃기시네,"754,000",https://i.playboard.app/p/02967577c93dc26c15bc2ab8d0079896/100x100.jpg
일간,2025-12-08,video,한국,14,-3,페브리즈 실내건조 6s (5),133058,2025.10.31,,페브리즈 Febreze,"8,390",https://i.playboard.app/p/jhpGFzMb712Wiu4--gcR6HfvHRvzUX0g22LzKWxLzVmNYcKfZslCgm36HX8KTB7h2h5-DoiJ/100x100.jpg
일간,2025-12-08,video,한국,15,+6,"3차 상법 개정,  자사주 의무 소각 법안 발의",125771,2025.12.06,,슈카월드,"3,620,000",https://i.playboard.app/p/AIdro_kqf6MgVU6c8LWzVAVqpggLLS4bTxdKe_aiQzM17HsqRhk/100x100.jpg
일간,2025-12-08,video,한국,16,NEW,여러분들이 그토록 원하던 귀여운 꾸꾸 모음집,119559,2025.12.07,"#고양이,#동물",우정잉,"847,000",https://i.playboard.app/p/pvmn92jRU22Oi4BX1ALHcl0ygk-70cwYs3UAC1hzAtp4p9EKnp234krP192A-BjnkSAmGZSy3A/100x100.jpg
일간,2025-12-08,video,한국,17,NEW,참을 수 없는 맛,115317,2025.12.07,"#스케치코미디,#숏무비",또오숏,"311,000",https://i.playboard.app/p/OID-3ga_K8j4kX_mDLUAzHb9uH7PTzXDHFcC-vxfB_PliMcNfn-e-OW5-9fxrg64OQwsKzlL_A/100x100.jpg
일간,2025-12-08,video,한국,18,+1,COLOR FOOD MUKBANG🔥 [Pink🧠 • Purple😈 • Brown💩],113807,2023.07.29,"#asmr,#color",CuRe 구래,"32,500,000",https://i.playboard.app/p/ESeFH2AUcsxtnfxFOPxL3OBkZzpLmxF39-NAjXM5DiVj7qcVvL-2Wt6DINB0RjHAKzJdNEiJ/100x100.jpg
일간,2025-12-08,video,한국,19,-11,페브리즈 실내건조 6s (1),107929,2025.10.31,,페브리즈 Febreze,"8,390",https://i.playboard.app/p/jhpGFzMb712Wiu4--gcR6HfvHRvzUX0g22LzKWxLzVmNYcKfZslCgm36HX8KTB7h2h5-DoiJ/100x100.jpg
일간,2025-12-08,video,한국,20,NEW,[폭스클럽] EP.185 논현 먹자골목에서 쪼인베리 성공했다니께는~!,102745,2025.12.07,"#페이크다큐,#헌팅",밈고리즘,"486,000",https://i.playboard.app/p/baITHua5dRUsA_uNE0uNRCdJt60YJZa7nh5_Z-r-FGor5sk54uo-L0XOKt1WJK6XVJ_SuFiSZg/100x100.jpg
일간,2025-12-08,video,한국,21,-15,프로옷파일러 키(KEY)의 배우 이상이 장롱템 소생 프로젝트 (🚨보넥도보다 어려움🤯)｜옷장털이범 리부트 EP.2,94240,2025.12.05,"#뜬뜬,#옷장털이범",뜬뜬 DdeunDdeun,"2,820,000",https://i.playboard.app/p/D0eRDrxMc6Yu0AZSQobnV21TwXPPUo9GWk4a5RunYUXpjyLqJdqw-WNeEZ1RjVfH39TeHr37ng/100x100.jpg
일간,2025-12-08,video,한국,22,-13,[무공해] 전화랑 낯가려도 심은경과 무조건 공감합니다,92890,2025.12.05,,유병재,"1,770,000",https://i.playboard.app/p/AATXAJy0KEzCZUY-D07mcGiCgaQLVWIGa9j32l5Wqdp9/100x100.jpg
일간,2025-12-08,video,한국,23,NEW,나이 합쳐서 100살인 성인들끼리 유치한 단어 하나로 긁히면 생기는 일ㅋㅋㅋㅋㅋ,92066,2025.12.07,"#돌잼,#바보",돌잼,"529,000",https://i.playboard.app/p/u07BFl38Ep2cM1JhiVBr4n_Jb5DI4G8a_Wv8Cpr-nyhMFsDKK39u3dt5DWZQyimL0n36Fx-ZXQ/100x100.jpg
일간,2025-12-08,video,한국,24,-7,트럼프 염전노예 VLOG,88414,2025.12.05,,화성인 릴도지,"472,000",https://i.playboard.app/p/CxUCero4P3hL5FesKyohh3kV70H8At8DZOTIzHj7mJvzyfbkpcLeEioxAzdSEZSG7DElITHxpz0/100x100.jpg
일간,2025-12-08,video,한국,25,NEW,여자친구 아빠가 갑자기 왔다,80465,2025.12.07,"#루키치,#스케치코미디",루키치,"265,000",https://i.playboard.app/p/6uiTi4-0T0a-9ziDjcA-AHBXuoLLFfmHTZM7GRIcSn-JWslexRIm742f5WvuZR2QTSKVnJba/100x100.jpg
일간,2025-12-08,video,한국,26,NEW,생각하는 그거 아니야,79101,2025.12.07,"#스케치코미디,#싱글벙글",싱글벙글 SGBG,"1,490,000",https://i.playboard.app/p/NMese3xj7Q6k4GyetZmY5Av__4sGWlh5OaKCC-ksSUNfhY68Rk4CaNn3gE21fBGEHeLVDNQmEA/100x100.jpg
일간,2025-12-08,video,한국,27,-11,원알못은 원피스 정상결전의 낭만을 이해할 수 있을까? [애니유튜버 조삭 초대석],73222,2025.12.06,"#원피스,#정상결전",우정잉,"847,000",https://i.playboard.app/p/pvmn92jRU22Oi4BX1ALHcl0ygk-70cwYs3UAC1hzAtp4p9EKnp234krP192A-BjnkSAmGZSy3A/100x100.jpg
일간,2025-12-08,video,한국,28,NEW,상위 1% 여미새가 피팅 모델 만나면 벌어지는 일,72453,2025.12.07,"#현실고증,#페이크다큐",몬난놈,"261,000",https://i.playboard.app/p/6IwMW1Up-XMBgdr9i9BRkFMf-w-3C7qsNZ60JH3tO8al3Qwgkm0ONee0-dhcT4g2o4a8adwqF00/100x100.jpg
일간,2025-12-08,video,한국,29,-26,골프 한번도 안 쳐본 골프 지읒밥들 골프장에서 돈 걸고 대결 시키기 ㅋㅋㅋㅋㅋㅋ(지읒밥대전),70631,2025.12.05,,보물섬,"2,050,000",https://i.playboard.app/p/UJgYdxs2w6CgqOOZSEsdSHl9Hcxn-ntszg6o9Q4QNEx9BVn1SpFdwtfjFr_jUXR0ocjrorfP6xc/100x100.jpg
일간,2025-12-08,video,한국,30,-8,[한글자막] 딘딘에게 연예인병을 묻다,67331,2025.11.30,"#피식대학,#피식쇼",피식대학Psick Univ,"2,830,000",https://i.playboard.app/p/P-1t1vvIsi75Rrye9f5fYIL7vY26HS-Gpq11RP7RY9R7VxRyvDTOvI8laDLoNhMvwbjezdjWCjs/100x100.jpg
일간,2025-12-08,video,한국,31,NEW,사단장의 극대노로 지옥 훈련 받은 병역 특례자들,63393,2025.12.07,"#사단장,#교관",오인용데빌,"462,000",https://i.playboard.app/p/c0d620053a48045aa2f672d5ad909945/100x100.jpg
일간,2025-12-08,video,한국,32,-9,집안일,62950,2025.12.03,"#스케치코미디,#숏무비",180초,"856,000",https://i.playboard.app/p/e2ce928616ced8ab45e22a5d04ea6668/100x100.jpg
일간,2025-12-08,video,한국,33,-20,"홍콩 대화재 참사, 슬픔과 분노에 찬 홍콩",61223,2025.12.05,,슈카월드,"3,620,000",https://i.playboard.app/p/AIdro_kqf6MgVU6c8LWzVAVqpggLLS4bTxdKe_aiQzM17HsqRhk/100x100.jpg
일간,2025-12-08,video,한국,34,NEW,남친찾기 그 후 이야기 모아봤쩜,56535,2025.12.07,"#민쩌미,#쩜by쩜",민쩌미,"659,000",https://i.playboard.app/p/3204c5a2e24c365cace7697e33fb2dee/100x100.jpg
