Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,NEW,[공식Live] 2025 로스트아크 윈터 쇼케이스 / LOST ARK WINTER SHOWCASE,1553173,2025.12.07,"#로스트아크,#겨울업데이트",로스트아크 LOST ARK,"233,000",https://i.playboard.app/p/AATXAJxTJN6nje34KU6yJ9AOtQ9zMdyYOEGKUPk0AAIg/100x100.jpg
일간,2025-12-08,video,한국,2,-1,[냥코대전쟁] '에반게리온' 콜라보 이벤트 재시동 PV [공식],916724,2025.12.05,"#냥코대전쟁,#에반게리온",냥코대전쟁 공식 채널,"63,500",https://i.playboard.app/p/49pptYrBqfo8pW9U89ay2x0rlhWz9z0T9G-lMoqxXv8aYDLMN5a16g5Ttw7ITLoED8PxrSOV/100x100.jpg
일간,2025-12-08,video,한국,3,-1,[AION] 아이온 | 신규 클래스 '마검성',777377,2025.11.28,,아이온,"2,610",https://i.playboard.app/p/ZjpAGtw-8RcIDfYNWYiL9GA88Ve8klA5OXmqXK_dqxh_ZfQ7C3pKmqsgX0GD8RCTmh6nEfm3/100x100.jpg
일간,2025-12-08,video,한국,4,0,"어쩌면 이건 신이 주신 기회, 아마 내가 주는 기회 | Zlatan | 김도훈 | FC온라인",686406,2025.12.04,,EA SPORTS FC 온라인,"361,000",https://i.playboard.app/p/n0IBP9RFCv7rHOgnetNl5YACTBGJ6FS8ugRJG-vSHun6ij123z7Ntz84aG56f_OaabystTxf4A/100x100.jpg
일간,2025-12-08,video,한국,5,+8,[메이플 키우기] 메키송 풀버전 공개♬,686214,2025.11.11,"#메이플키우기,#넥슨신작",넥슨 YouTube,"163,000",https://i.playboard.app/p/bCvB352wWLYLNgDOur81pLmVROHQwjQsmc8YLoXX_DLPMiMUTAX5KroeS9zqv7gxYRH5rrvd/100x100.jpg
일간,2025-12-08,video,한국,6,-1,[Google Play Games x 오딘] 마침내 신들의 영역이 열렸다,658734,2025.11.27,"#GooglePlay게임즈,#구글플레이게임즈",Google Play Korea,"374,000",https://i.playboard.app/p/2f6f1887d6e7c7844cadfca92b6f4abc/100x100.jpg
일간,2025-12-08,video,한국,7,-4,"최초의 오리지널 클래스, 마기(魔氣)사 등장 | 12월 3일 UPDATE",639583,2025.11.20,,BNS NEO,"3,820",https://i.playboard.app/p/Z5hzjWW42eF0bhLiCE9QL2_iGWRdTwBoYL3eEPT-JDZbGqegsJm-gn3M43MNHLmafKIEUrodYw/100x100.jpg
일간,2025-12-08,video,한국,8,NEW,MLBB | INDONESIA vs TURKIYE  - PLAYOFF 3rd Place Match | IESF WEC25 | DAY 5,498649,2025.12.07,"#IESF,#WorldEsports",IESF - International Esports Federation,"155,000",https://i.playboard.app/p/A87nY9EaNbGSEQ6Z0n3BFO3VNooN1iddPVfQxnH2LtRr3H2ybvOFDXG86O1DbvrhEy81BuQd0Q/100x100.jpg
일간,2025-12-08,video,한국,9,-3,[디지몬 슈퍼럼블] 3주년 기념 대규모 이벤트!,481783,2025.11.05,"#디지몬슈퍼럼블,#디지몬",Move Interactive : 무브인터렉티브,"11,000",https://i.playboard.app/p/47dbef9e673e9e4e1d01183c3822dade/100x100.jpg
일간,2025-12-08,video,한국,10,0,TFT 신화와 전설: 너만의 신화를 써봐! l 전략적 팀 전투,474932,2025.12.03,"#전략적팀전투,#Teamfighttactics",전략적 팀 전투,"49,600",https://i.playboard.app/p/vA6Y0tVga6dCe-FzW5HNo3bLOA4wK77RdnUdU5HAgCoTvQBWL_K8loCv6ch38UWBeWXLj5Si/100x100.jpg
