Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2025-12-08,video,한국,1,+5,유창조 (You Chang Jo) - 남북왕래 평화통일을 기원하는 당구연습 南北往来の平和統一を祈願するビリヤード練習,817842,2025.12.05,,유창조 You Chang Jo,"13,500,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,2,+1,최립우 (CHUEI LI YU) - ‘UxYOUxU’ MV,785597,2025.12.03,"#최립우,#CHUEILIYU",CHUEI LI YU,"34,900","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,3,NEW,계속 회사 소유 집에서 불륜녀랑 섹X하는 상사가 괘씸해서 밤중에 상사 와이프랑 직원들 다 데리고 급습한 ㅈ소 사원 ㅋㅋㅋㅋㅋ 혼돈의 중소기업 레전드 모음집 ㅋㅋㅋㅋㅋ,654828,2025.12.06,,김준표,"1,290,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,4,+11,"[환승연애4, 13~14화] 차린 환승은 쥐뿔도 없지만..",586443,2025.12.05,,찰스엔터,"1,010,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,5,+6,"킨더조이 속 마법의 세계,해리포터 퀴디치 시리즈 9x16_6s",545097,2025.10.21,,Kinder Korea,"34,900","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,6,+2,킨더조이와 새로운 공룡 장난감 9x16_6s,541822,2025.10.21,,Kinder Korea,"34,900","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,7,+3,킨더조이와 새로운 공룡 장난감 16x9_6s,478960,2025.10.21,,Kinder Korea,"34,900","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,8,+11,"킨더조이 속 마법의 세계,해리포터 퀴디치 시리즈 16x9_6s",473799,2025.10.21,,Kinder Korea,"34,900","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,9,NEW,괴롭힘 당하는 왕따를 구해주는 MZ조폭,391922,2025.12.06,"#맨포뮬러,#MZ조폭",별놈들,"1,430,000","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
일간,2025-12-08,video,한국,10,+3,2025 시작부터 써마지 FLX,385327,2025.11.03,"#써마지FLX,#시작부터써마지",써마지FLX,"1,820","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
