Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2026-01-04,video,한국,1,NEW,[리니지 클래식] 그 시절로의 귀환 | 공식 티징,2835268,2026.01.01,"#리니지,#리니지클래식",리니지 클래식,"6,350",https://img.youtube.com/vi/sYMtR-Yf7t8/mqdefault.jpg
일간,2026-01-04,video,한국,2,-1,마비노기 모바일 X 산리오캐릭터즈,1137010,2025.12.18,"#마비노기모바일,#mabinogimobile",마비노기 모바일,"54,400",https://img.youtube.com/vi/RydLaomv7Zk/mqdefault.jpg
일간,2026-01-04,video,한국,3,-1,[메이플 키우기] 글로벌 정식 출시!,853804,2025.11.06,"#메이플키우기,#글로벌정식출시",넥슨 YouTube,"164,000",https://img.youtube.com/vi/XtJVPkF0q88/mqdefault.jpg
일간,2026-01-04,video,한국,4,+5,감스트 롤 복귀 했습니다!!,286322,2026.01.02,"#롤,#리그오브레전드",감스트GAMST,"2,950,000",https://img.youtube.com/vi/4M4zQ6OSGdE/mqdefault.jpg
일간,2026-01-04,video,한국,5,NEW,《天堂：經典版》 回到，那個經典時代 | Teaser,280987,2026.01.01,"#天堂,#天堂:經典版",리니지 클래식,"6,350",https://img.youtube.com/vi/tcrSZ-mxLMA/mqdefault.jpg
일간,2026-01-04,video,한국,6,NEW,월즈를 우승했으니 공약을 지키러 왔습니다.,265742,2026.01.03,"#T1,#도란",T1,"1,710,000",https://img.youtube.com/vi/fT8uofUeEwc/mqdefault.jpg
일간,2026-01-04,video,한국,7,+10,[메이플 키우기] 메키송 풀버전 공개♬,254097,2025.11.11,"#메이플키우기,#넥슨신작",넥슨 YouTube,"164,000",https://img.youtube.com/vi/HwdU3NbBcgY/mqdefault.jpg
일간,2026-01-04,video,한국,8,NEW,이상호 피파 복귀 기념 유봉훈의 뮤지컬 쇼 ㅋㅋㅋㅋ,239091,2026.01.02,"#유봉훈,#FC온라인",이상호,"959,000",https://img.youtube.com/vi/IzUwyOg5BoM/mqdefault.jpg
일간,2026-01-04,video,한국,9,NEW,"카이TOP10도전 : 수명 갈아 만든 미친 챌린저스 캐릭터 탄생 [팡이요,  메이플스토리]",214602,2026.01.02,"#팡이요,#메이플",팡이요,"575,000",https://img.youtube.com/vi/K96rdCdtn5c/mqdefault.jpg
일간,2026-01-04,video,한국,10,+1,[삼국지 왕전] 이게 된다고? 정형돈의 초스피드 유관장 '도원결의' 완성?!,209638,2025.12.31,"#삼국지왕전,#삼국지전략대작",BBGAME_KR,"4,400",https://img.youtube.com/vi/Nuq8NaYAZ68/mqdefault.jpg
