Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2026-01-04,video,한국,1,0,바보야 문제는 단어야 (비비) 15s,3582232,2025.12.19,,말해보카,"18,100",https://img.youtube.com/vi/8lugt2iy4Ws/mqdefault.jpg
일간,2026-01-04,video,한국,2,0,바보야 문제는 단어야 (비비) full ver.,662013,2025.12.19,,말해보카,"18,100",https://img.youtube.com/vi/0bAnsAz_kxg/mqdefault.jpg
일간,2026-01-04,video,한국,3,+20,"2026.1.2 | 성경통독 레시피 2과, 족장사 | 통독성경 2일, 창3-5장 | 통박사 조병호와 함께 그리스도인 공직자 신앙을 성경으로 새롭게",540257,2026.01.02,"#성경통독,#통독성경",조병호 통박사 Byoungho Zoh Dr. of Tong,"60,900",https://img.youtube.com/vi/DixSELjX9e8/mqdefault.jpg
일간,2026-01-04,video,한국,4,-1,[밀크티광고 TV CF] 전과목 성적향상 & 1:1맞춤학습 원한다면? | 다다다 모두 다 밀크T초등(15초),521991,2025.12.01,"#초등학습지,#초등인강",밀크TV_초등,"13,600",https://img.youtube.com/vi/i-h1qS7yq8k/mqdefault.jpg
일간,2026-01-04,video,한국,5,0,바보야 문제는 단어야 (비비) 30s,458765,2025.12.19,,말해보카,"18,100",https://img.youtube.com/vi/GPe3YiyM9ik/mqdefault.jpg
일간,2026-01-04,video,한국,6,-2,✨이벤트✨EP4. 주식에 물렸을 때 연고가 필요한 이유,452945,2025.12.31,"#KB증권,#케이비증권",깨비증권 마블TV [KB증권],"588,000",https://img.youtube.com/vi/r8L_TOuT-ao/mqdefault.jpg
일간,2026-01-04,video,한국,7,-1,"[메가젠X황정민] 임플란트 기술의 파란, 블루 다이아몬드 임플란트 (TVCF)",431844,2025.01.03,"#메가젠임플란트,#블루다이아몬드임플란트",메가젠임플란트,"12,900",https://img.youtube.com/vi/l076GOTY1MQ/mqdefault.jpg
일간,2026-01-04,video,한국,8,+86,"ALL FOR YOU, 2027 메가패스(30')",388987,2025.11.03,"#메가스터디,#2027메가패스",theMEGASTUDY,"235,000",https://img.youtube.com/vi/XtY8zS__Fug/mqdefault.jpg
일간,2026-01-04,video,한국,9,NEW,미국에서 한국식 '노팁' 시도했더니.. 난리 난 미국인들 반응,350354,2026.01.03,,영알남YAN,"1,210,000",https://img.youtube.com/vi/22OgXzR5jg4/mqdefault.jpg
일간,2026-01-04,video,한국,10,+33,강나미랑 일본어 할래말래 (Japanese Ver.) │ 뇌새김,253723,2025.12.29,"#더위크일본어,#강남",뇌새김 영어회화 공식 유튜브,"13,100",https://img.youtube.com/vi/TGtRBgBIJD4/mqdefault.jpg
일간,2026-01-04,video,한국,11,NEW,,244219,2026.01.04,"#퀴즈,#puiz",소떡소떡,"7,320",https://img.youtube.com/vi/pVV2RSAuYMM/mqdefault.jpg
일간,2026-01-04,video,한국,12,NEW,스페이스X 공모주 청약... 여러분만 하세요 쉿!,222839,2026.01.02,,재테크읽어주는 파일럿,"1,200,000",https://img.youtube.com/vi/QCJgS3pGUUQ/mqdefault.jpg
일간,2026-01-04,video,한국,13,-5,"2026.1.1 | 성경통독 레시피 1과, 원역사 | 통독성경 1일, 창1-2장 | 통박사 조병호와 함께 그리스도인 공직자 신앙을 성경으로 새롭게",180177,2026.01.01,"#성경통독,#통독성경",조병호 통박사 Byoungho Zoh Dr. of Tong,"60,900",https://img.youtube.com/vi/mzPMau5L1cQ/mqdefault.jpg
일간,2026-01-04,video,한국,14,-3,KB증권 연금 패키지로 빵빵하게 불어나라,175819,2025.12.19,"#KB증권,#깨비증권",깨비증권 마블TV [KB증권],"588,000",https://img.youtube.com/vi/a-lphyDk0VI/mqdefault.jpg
일간,2026-01-04,video,한국,15,NEW,"베트남전쟁 후, 북베트남에 점령된 남베트남 사람들은 어떻게 되었을까?",155912,2026.01.02,,별별역사,"786,000",https://img.youtube.com/vi/Cnm3GUXDc0o/mqdefault.jpg
일간,2026-01-04,video,한국,16,0,과일과 야채 수확하기 놀이 트랙터 어린이 영어 색깔배우기 | ZORIP,146619,2019.07.02,"#Zorip-Nursery,#Learncolors",Zorip - Nursery Rhymes,"3,200,000",https://img.youtube.com/vi/AVIBLFl28vo/mqdefault.jpg
일간,2026-01-04,video,한국,17,-5,지금부터 서로 죽여라! 다니엘 vs 친엄마 vs 양엄마 (어도어의 갈라치기),139557,2026.01.02,"#아는변호사,#다니엘",아는 변호사,"520,000",https://img.youtube.com/vi/TwKZ1n73Wyw/mqdefault.jpg
일간,2026-01-04,video,한국,18,-5,"""제 2의 IMF사태 터지나..."" 대한민국 자영업 붕괴 시작했다 살다살다 이런 불경기는 처음 현재 몰락중인 업종 8가지 [이슈임당]",136882,2026.01.01,,신사임당,"2,540,000",https://img.youtube.com/vi/9xa_xTiqdZs/mqdefault.jpg
일간,2026-01-04,video,한국,19,NEW,"[특별 방송 ] 미국,  '베네수엘라 대통령 부부 체포' ｜ - 오선의 미국 증시 라이브",135510,2026.01.04,,오선의 미국 증시 라이브,"921,000",https://img.youtube.com/vi/IIsPp_ZqUPA/mqdefault.jpg
일간,2026-01-04,video,한국,20,NEW,"중국, 한국에 노골적 압박 시작...“하나의 중국 입장 밝히라”",121464,2026.01.02,,센서스튜디오,"574,000",https://img.youtube.com/vi/dAjVf9KRBjg/mqdefault.jpg
일간,2026-01-04,video,한국,21,NEW,"중국 줄줄이 파산, 야반도주 분열. 곳곳에 비상사태 속출 했다 | 김정호 교수 풀버전 2",120435,2026.01.02,"#대만,#미국",달란트투자,"1,520,000",https://img.youtube.com/vi/H-Uxy78EaJE/mqdefault.jpg
일간,2026-01-04,video,한국,22,+10,스펙의 기준을 바꾸다! 나답게 Re:SPEC!,116415,2025.11.25,"#KOICA,#한국국제협력단",WFK KOICA 해외봉사단,"15,500",https://img.youtube.com/vi/quZOZlrzLgc/mqdefault.jpg
일간,2026-01-04,video,한국,23,NEW,이 꼴을 보며 부끄러워야 정상입니다,113058,2026.01.03,,호밀밭의 우원재,"538,000",https://img.youtube.com/vi/duiyS6LbqMo/mqdefault.jpg
일간,2026-01-04,video,한국,24,+17,"히브리인, 유대인, 그리스도인이란? | 성경통독 레시피 | 통박사 조병호의 최고의 베스트셀러",110631,2025.12.26,"#성경통독,#통독성경",조병호 통박사 Byoungho Zoh Dr. of Tong,"60,900",https://img.youtube.com/vi/mVt_9Xxk87A/mqdefault.jpg
일간,2026-01-04,video,한국,25,-8,"""중국 믿고 한국 건드렸는데..."" 중국에게 배신당한 인도네시아의 몰락 결국 망해가는 인도네시아 고속철도  [이슈임당]",103513,2026.01.02,,신사임당,"2,540,000",https://img.youtube.com/vi/yqafBJP9Mc4/mqdefault.jpg
일간,2026-01-04,video,한국,26,-2,[대성마이맥] 2027 승리의 깃발을 올리다｜김승리 X 이대호,99670,2025.12.01,,대성마이맥,"105,000",https://img.youtube.com/vi/cLChokQHksU/mqdefault.jpg
일간,2026-01-04,video,한국,27,-9,[대성마이맥] 너의 영어에게｜ REAL 공감영어 이명학,98841,2025.12.30,"#대성마이맥,#수능영어",대성마이맥,"105,000",https://img.youtube.com/vi/qQ3RIz81xpU/mqdefault.jpg
일간,2026-01-04,video,한국,28,-13,"""울릉도, 포항 사람도 배도 싹 다 끊겼다"" 결국 망해버린 바닷가 지방 근황 (이슈임당/ 지방 특집)",98469,2026.01.02,,신사임당,"2,540,000",https://img.youtube.com/vi/lsoTAuPa3OI/mqdefault.jpg
일간,2026-01-04,video,한국,29,NEW,"""2차전지 업계에 퍼진 수상한 소문"" 2차전지 급락 나온 진짜 이유, 포스코와 '이 주식' 곧 무섭게 오를 겁니다 ( 조진표 대표 )",93608,2026.01.02,"#2차전지,#에코프로",경제 원탑,"344,000",https://img.youtube.com/vi/DQr3DRjFmLY/mqdefault.jpg
일간,2026-01-04,video,한국,30,+122,"침대에 누워 살 것인가, 내 발로 걸어 다닐 것인가? 노년 건강을 결정짓는 65세 생애 전환기 관리법 I KBS 20240101 방송",88018,2026.01.02,"#노년건강,#관리",KBS 생로병사의 비밀,"837,000",https://img.youtube.com/vi/WJf10mJb0Sc/mqdefault.jpg
일간,2026-01-04,video,한국,31,NEW,"[이슈점검] 샤를, 필리조선소를 가다! 한화가 들어오자 판이 바뀌었다!",82178,2026.01.03,"#샤를세환,#샤를의군사연구소",샤를의 군사연구소,"652,000",https://img.youtube.com/vi/_0Ss4HCqEDQ/mqdefault.jpg
일간,2026-01-04,video,한국,32,-5,[건강캠페인] HIV 예방은 제대로 감염은 제로로!,81992,2025.11.19,"#세계에이즈의날,#HIV예방",질병관리청 아프지마TV,"102,000",https://img.youtube.com/vi/k4VbQMSfc6c/mqdefault.jpg
일간,2026-01-04,video,한국,33,+2,"2027 대성마이맥, Believe it. (Full ver.)",81511,2025.10.14,,대성마이맥,"105,000",https://img.youtube.com/vi/xJa-1uRksBM/mqdefault.jpg
일간,2026-01-04,video,한국,34,-13,"AI 행정 시대, 과연 안전할까? 보안 문제 해결했다는 ‘범정부 AI 공통기반’ 알아봄 / 14F",80347,2025.12.30,"#행정안전부,#행안부",14F 일사에프,"2,350,000",https://img.youtube.com/vi/zOyTWRW-2ZM/mqdefault.jpg
일간,2026-01-04,video,한국,35,-1,2026학년도 방송통신중고등학교 홍보 영상,79459,2025.12.02,,방송통신중고등학교,"2,550",https://img.youtube.com/vi/QKwWIWvOV2M/mqdefault.jpg
일간,2026-01-04,video,한국,36,+14,"[대성마이맥] 수능 수학의 새 역사, 수학 1위 이미지",78428,2025.12.29,,대성마이맥,"105,000",https://img.youtube.com/vi/tpYIBu-aIrE/mqdefault.jpg
일간,2026-01-04,video,한국,37,NEW,미국 월가에 떠도는 비트코인 폭락의 비밀 [김창익 대표 1부],77269,2026.01.02,,부읽남TV_내집마련부터건물주까지,"1,680,000",https://img.youtube.com/vi/KaY7Qsbl88k/mqdefault.jpg
일간,2026-01-04,video,한국,38,-24,"""저에게 수능 시험은 과외 시급을 결정하는 자리였어요"" 2026수능 만점자 중 표준점수 총점 1등을 차지한 현역의 신 | N수의신 75화",75781,2026.01.01,,미미미누,"1,910,000",https://img.youtube.com/vi/WG1htiWQXC0/mqdefault.jpg
