Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2026-01-04,video,한국,1,NEW,[단독]“차량 뒷좌석 원치 않는 상황 강제 인지” / 채널A / 뉴스A,1508997,2026.01.02,"#채널A단독,#박나래",채널A News,"3,350,000",https://img.youtube.com/vi/3V4c8fiE89M/mqdefault.jpg
일간,2026-01-04,video,한국,2,NEW,"""영토에 대한 도전""...장원영 발언에 분노한 中 누리꾼들, 심상찮은 조짐 [지금이뉴스] / YTN",1117115,2026.01.02,#지금이뉴스,YTN,"5,250,000",https://img.youtube.com/vi/M9i1d6dpx8c/mqdefault.jpg
일간,2026-01-04,video,한국,3,+146,"[정준희의 논] ""인생도, 세상도, 민주주의도, 그렇게 꾸역꾸역 잘될 거예요""ㅣ유시민 작가ㅣ2026년 1월 2일 금요일",793266,2026.01.02,"#김어준,#정준희",김어준의 겸손은힘들다 뉴스공장,"2,300,000",https://img.youtube.com/vi/aoXec7Xmu90/mqdefault.jpg
일간,2026-01-04,video,한국,4,+3,새해에는 기쁜 일 가득하길~ (양아치 쿠팡) | 풀버전,734658,2026.01.02,"#최욱,#매불쇼",[팟빵] 매불쇼,"2,870,000",https://img.youtube.com/vi/2WcA-PQG2wU/mqdefault.jpg
일간,2026-01-04,video,한국,5,NEW,"[속보] “트럼프 대통령, 베네수엘라 공격 명령” 수차례 폭발음 / KBS  2026.01.03.",510188,2026.01.03,"#베네수엘라,#미국",KBS News,"3,510,000",https://img.youtube.com/vi/PChMlWhyEP8/mqdefault.jpg
일간,2026-01-04,video,한국,6,NEW,"""나가면 증거 인멸"" 감방 탈출의 꿈 '물거품' [뉴스.zip/MBC뉴스]",483981,2026.01.03,"#윤석열,#일반이적",MBCNEWS,"6,080,000",https://img.youtube.com/vi/qctI3qsVSbI/mqdefault.jpg
일간,2026-01-04,video,한국,7,-4,"""틀X"" 할아버지 조롱 초등생에…고등학생 무리 다가오더니 ""와..""  / JTBC News",410215,2026.01.02,"#뉴스다,#초등생",JTBC News,"4,790,000",https://img.youtube.com/vi/0OXcQluCWeY/mqdefault.jpg
일간,2026-01-04,video,한국,8,NEW,"美, 베네수엘라 수도 전격 공습…트럼프 ""마두로 대통령 부부 생포"" [뉴스7]",409137,2026.01.03,"#미국,#베네수엘라",뉴스TVCHOSUN,"3,030,000",https://img.youtube.com/vi/KdmA0h2ILh0/mqdefault.jpg
일간,2026-01-04,video,한국,9,NEW,[뉴스 '꾹'] '사우나 얘기는 들었는데..' '비밀 문' 열수록 '입이 떡' (2026.01.02/MBC뉴스),386884,2026.01.02,"#대통령실,#사우나",MBCNEWS,"6,080,000",https://img.youtube.com/vi/2l70QniGEi4/mqdefault.jpg
일간,2026-01-04,video,한국,10,NEW,[무간다] 횡단보도 여성 알아보더니…한 달 전과 같은 소름돋는 행동 / 연합뉴스TV (YonhapnewsTV),366548,2026.01.03,"#골목길,#서울",연합뉴스TV,"2,160,000",https://img.youtube.com/vi/m2JO3aBXd5s/mqdefault.jpg
일간,2026-01-04,video,한국,11,-3,'친족상도례' 폐지 ··· 형법 개정안 국회 통과 [세상만사],358066,2025.12.31,"#친족상도례폐지,#박수홍",YTN dmb,"186,000",https://img.youtube.com/vi/6g46nc4VCeg/mqdefault.jpg
일간,2026-01-04,video,한국,12,+591,들불처럼 타오르는 이란 민심…36년 독재 하메네이 정권 무너지나,351842,2026.01.02,"#이란,#시위",뉴스1TV,"918,000",https://img.youtube.com/vi/diKmN4ZpKx0/mqdefault.jpg
일간,2026-01-04,video,한국,13,NEW,"종각역 사고 '15명 사상'‥택시기사, 약물 '양성' (2026.01.03/12MBC뉴스)",340294,2026.01.03,"#종각역,#3중추돌사고",MBCNEWS,"6,080,000",https://img.youtube.com/vi/PRWRBEG2pfA/mqdefault.jpg
일간,2026-01-04,video,한국,14,NEW,"[속보] 법원, 윤석열 추가 구속영장 발부..최장 6개월 구속 연장..'평양무인기' 일반이적 혐의 ""증거인멸 염려"" - [MBC뉴스속보] 2026년 01월 02일",339683,2026.01.03,"#윤석열,#추가구속",MBCNEWS,"6,080,000",https://img.youtube.com/vi/g9xT1EXUQ4E/mqdefault.jpg
일간,2026-01-04,video,한국,15,+247,[실화Pick] 50년 된 떡방앗간 소금빵과 쫓겨난 할머니   MBC260101방송,319651,2026.01.02,"#실화탐사대,#실화On",실화 On,"905,000",https://img.youtube.com/vi/RSoqGTWjrNY/mqdefault.jpg
일간,2026-01-04,video,한국,16,+527,"[뉴스 '꾹'] '참교육'에 턱 찢어진 강도..""뭐 정당방위? 인정 못해"" (2026.01.02/MBC뉴스)",313778,2026.01.02,"#나나,#강도",MBCNEWS,"6,080,000",https://img.youtube.com/vi/aJzrZbdwzRg/mqdefault.jpg
일간,2026-01-04,video,한국,17,NEW,[단독] 국방비 1.8조 초유의 미지급…일선 부대 '비상' / SBS 8뉴스,270522,2026.01.03,"#군부대,#국방비",SBS 뉴스,"5,120,000",https://img.youtube.com/vi/X9o-S0tIYvE/mqdefault.jpg
일간,2026-01-04,video,한국,18,NEW,"""이건 미친 기적이야!"" 즐거운 비명…대한민국에 날아든 복덩어리 / SBS / 모아보는 뉴스",269265,2026.01.03,"#멸종,#멸종위기",SBS 뉴스,"5,120,000",https://img.youtube.com/vi/-EWcu0wWUWg/mqdefault.jpg
일간,2026-01-04,video,한국,19,NEW,박나래 '차량내 ○○ 행위' 충격보도!...이혜훈과 공통점은?,267729,2026.01.03,,뉴스데일리베스트,"1,000,000",https://img.youtube.com/vi/rvx0eBxw5YE/mqdefault.jpg
일간,2026-01-04,video,한국,20,-15,"[현장영상] “미치겠다, 진짜” 연기대상 받은 엄지원 울린 마지막 영상 / KBS 2026.01.01.",256867,2026.01.01,"#연기대상,#엄지원",KBS News,"3,510,000",https://img.youtube.com/vi/uZZNI1WV3Sg/mqdefault.jpg
일간,2026-01-04,video,한국,21,NEW,서울 종각역 앞 3중 추돌 사고‥1명 사망·9명 부상 (2026.01.02/뉴스데스크/MBC),255183,2026.01.02,"#종각역,#택시",MBCNEWS,"6,080,000",https://img.youtube.com/vi/kfNRlNbNVVU/mqdefault.jpg
