Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2026-01-04,video,한국,1,NEW,누구인가 누가 밥 먹는데 트림 소리를 내었는가 |,330693,2026.01.02,#판다와쏭,에버랜드 - EVERLAND,"1,460,000",https://img.youtube.com/vi/sk_quGc6Uk0/mqdefault.jpg
일간,2026-01-04,video,한국,2,NEW,강인한 고양이가 되기 위한 첫걸음,327741,2026.01.03,"#고양이,#집사",언더월드 UNDER WORLD,"1,570,000",https://img.youtube.com/vi/XDp6Iws1hL8/mqdefault.jpg
일간,2026-01-04,video,한국,3,-2,한 남자가 나무 구멍에 갇혀 6개월 동안 죽어가던 사자를 발견했습니다. 그리고 놀라운 일이 일어났습니다!,202388,2025.12.30,"#감동적인이야기,#사자구조",SAVANNA RUSH,"218,000",https://img.youtube.com/vi/0TpoaCpQ9bM/mqdefault.jpg
일간,2026-01-04,video,한국,4,NEW,중요한 것은 다짐,117184,2026.01.02,,정서불안 김햄찌,"667,000",https://img.youtube.com/vi/XhqkDVy6c1A/mqdefault.jpg
일간,2026-01-04,video,한국,5,-1,"[힐스] 오랫동안 건강하게 힐스, 액티브 바이옴+ 멀티 베네핏 신제품_16:9_15초_CAT MOM",97363,2025.08.06,,힐스코리아,"2,360",https://img.youtube.com/vi/gd7fNUqM5vs/mqdefault.jpg
일간,2026-01-04,video,한국,6,0,구독자 30만 기념 🎉 유기견 보호소 봉사활동 (덕분에 기부까지 했어요💛) | 설채현 행동학 수의사,82479,2025.12.29,,설채현의 놀로와,"305,000",https://img.youtube.com/vi/SKmEiBw8hKM/mqdefault.jpg
일간,2026-01-04,video,한국,7,NEW,강형욱에게 쫄지 않기 위해 기립한 콩알 치와와씨 [퍼피교육],75966,2026.01.03,"#강형욱,#강아지",강형욱의 보듬TV,"2,150,000",https://img.youtube.com/vi/0chbMAzvlnk/mqdefault.jpg
일간,2026-01-04,video,한국,8,-5,"[힐스] 오랫동안 건강하게 힐스, 액티브 바이옴+ 멀티 베네핏 신제품_16:9_15초_LATE DAD",74142,2025.08.06,,힐스코리아,"2,360",https://img.youtube.com/vi/uGtuFJsYVQ0/mqdefault.jpg
일간,2026-01-04,video,한국,9,-7,"도대체 얼마나 작길래?, 세상에서 가장 작은 강아지 I KBS 생생정보 101110 방송",45583,2025.12.31,"#말티즈,#강아지",KBS동물티비 : 애니멀포유 animal4u,"1,550,000",https://img.youtube.com/vi/4vCkrsRtQqo/mqdefault.jpg
일간,2026-01-04,video,한국,10,NEW,새해부터 큰형 작은형이랑 데이트 하기(큰형 얼굴 공개✨),45259,2026.01.02,,뚜비TV,"406,000",https://img.youtube.com/vi/xUZa3ICGqi0/mqdefault.jpg
일간,2026-01-04,video,한국,11,-6,엄마에게 맡긴 고양이 2마리가..,42756,2025.12.26,"#고양이탐정,#고양이실종",고양이탐정 : 원룸사는 고양이,"215,000",https://img.youtube.com/vi/__UdOpj8XHI/mqdefault.jpg
일간,2026-01-04,video,한국,12,NEW,11마리 고양이들과 온돌방에서 새해 맞이하기,35995,2026.01.02,"#고양이,#온돌",산골짜기동물칭구Valley Cat Friends,"171,000",https://img.youtube.com/vi/9k-ZakgGUqs/mqdefault.jpg
일간,2026-01-04,video,한국,13,+55,이 고양이가 9살이라는 게 믿기지 않아요,35107,2026.01.02,"#고양이,#크집사",크집사,"1,340,000",https://img.youtube.com/vi/HKdQ_LSVAbc/mqdefault.jpg
일간,2026-01-04,video,한국,14,NEW,평생 뜬장에서 목줄하고 살던 개를 넓은 견사에 풀어줬을때 반응은?,34652,2026.01.03,"#dog,#poordog",하필유필(HaFeelYouFeel),"144,000",https://img.youtube.com/vi/Uu-3gf2wTbI/mqdefault.jpg
일간,2026-01-04,video,한국,15,NEW,더 긁어,33010,2026.01.02,"#재롱이,#말티즈",재롱잔치,"476,000",https://img.youtube.com/vi/amhM29tiL9Q/mqdefault.jpg
일간,2026-01-04,video,한국,16,+3,한 남자가 타이어에 갇혀 2년 동안 죽어가던 사자를 발견했습니다. 그리고 그들의 놀라운 이야기가 시작됩니다!,32257,2025.12.10,"#야생동물구조,#사자구조",SAVANNA RUSH,"218,000",https://img.youtube.com/vi/GFTObK_61IU/mqdefault.jpg
일간,2026-01-04,video,한국,17,NEW,드디어 산실 밖에서 걷기 시작한 아기 고양이들!!,31463,2026.01.02,"#고양이,#마일로",털복숭이들과 베베집사 Bebe8Cats,"301,000",https://img.youtube.com/vi/spF_yEhkiNU/mqdefault.jpg
일간,2026-01-04,video,한국,18,NEW,최대수심 100m의 거대 호수에 만들어진 민물아쿠아리움엔 어떤 생물들이 살까?,29090,2026.01.02,,TV생물도감,"907,000",https://img.youtube.com/vi/o9LZwgLuCoc/mqdefault.jpg
일간,2026-01-04,video,한국,19,NEW,🔴24 Hours of Dog TV🎵🐶Calming Music for Dogs to Sleep🐾🩷Soothing Music for Anxious and Stressed Dogs,29045,2025.12.02,"#DogTV,#DogWellbeing",Sweet Pet Music,"21,400",https://img.youtube.com/vi/MFCbPibefRA/mqdefault.jpg
일간,2026-01-04,video,한국,20,-9,얼음 속 잉어를 노리는 고양이,28992,2020.07.11,,haha ha,"1,270,000",https://img.youtube.com/vi/moFB-j5iY2E/mqdefault.jpg
일간,2026-01-04,video,한국,21,NEW,큰언니 깝순이 겁순이 한꺼번에 와서 정수리 만지면 생기는 일 (대환장 연말 파티),28704,2026.01.02,,예삐♡보름,"125,000",https://img.youtube.com/vi/Kj-blUSOhjg/mqdefault.jpg
일간,2026-01-04,video,한국,22,-13,걷기 시작한 아기집사(육냥이)와 고양이들 친해질까?,28490,2017.01.05,,수리노을SuriNoel,"2,100,000",https://img.youtube.com/vi/Mio1sajTS7s/mqdefault.jpg
일간,2026-01-04,video,한국,23,-11,하얀 아기 사자가 남자에게 도움을 요청했습니다. 그리고 놀라운 여정이 시작되었습니다!,28293,2025.12.06,"#아기사자,#동물구조",SAVANNA RUSH,"218,000",https://img.youtube.com/vi/-wLark_d3fU/mqdefault.jpg
일간,2026-01-04,video,한국,24,-3,[레전드 풀버전] 사람 물어 뜯는 미친 웰시코기 단숨에 제압하는 강형욱 ㄷㄷ I KBS 개는 훌륭하다 240226 방송,25954,2025.11.22,"#강형욱,#개통령",KBS동물티비 : 애니멀포유 animal4u,"1,550,000",https://img.youtube.com/vi/QPH02Qr-zN4/mqdefault.jpg
일간,2026-01-04,video,한국,25,+2,"강아지 기다려 대회 나가서 남매가 나란히 1,2등 함ㅋㅋㅋ",23609,2025.10.22,"#홍설,#바미",홍설 HONG SNOW,"504,000",https://img.youtube.com/vi/Lt5eYJdSP2c/mqdefault.jpg
일간,2026-01-04,video,한국,26,NEW,강아지분양💟분양가 할인💟실시간 라이브 상담💟,22596,2026.01.02,"#강아지분양,#강아지입양",강아지분양💝도그하우스,"11,299",https://img.youtube.com/vi/vjbPmoQbVgY/mqdefault.jpg
일간,2026-01-04,video,한국,27,-4,개와 고양이를 위해 매일 새로운 도전을 하는 주인들,21886,2024.10.21,"#개,#허스키",North Yuki Husky,"320,000",https://img.youtube.com/vi/tVnbMc-87Wk/mqdefault.jpg
일간,2026-01-04,video,한국,28,NEW,광복/푸들 똥꾸 발랄 ㅋㅋㅋ,21347,2026.01.03,,반갑다,"18,200",https://img.youtube.com/vi/-r5CLNJnOUw/mqdefault.jpg
일간,2026-01-04,video,한국,29,NEW,그동안 감사했어요 여러분,21144,2026.01.02,,보리 빛나는 밤 kiyomi_bori,"322,000",https://img.youtube.com/vi/rBzoYRpxORI/mqdefault.jpg
일간,2026-01-04,video,한국,30,-4,고양이 대 허스키:누가 미로의 탈출구를 찾을 첫 번째가 될 것인가?,21003,2025.03.07,"#허스키,#개",North Yuki Husky,"320,000",https://img.youtube.com/vi/Fnqk7iZOlWc/mqdefault.jpg
일간,2026-01-04,video,한국,31,NEW,드뎌 재혼에 성공한(?) 돌싱 그녀,20998,2026.01.03,,김메주와 고양이들,"648,000",https://img.youtube.com/vi/OMixZJ3-guM/mqdefault.jpg
일간,2026-01-04,video,한국,32,+3,태어난 김에 보더콜리로 살아가는 아기 고양이,20550,2025.12.27,,From SOLA,"256,000",https://img.youtube.com/vi/4m-AjfPTIX8/mqdefault.jpg
일간,2026-01-04,video,한국,33,NEW,마이브라운 X 유승호 [마법 같은 보험료],19992,2025.12.31,,마이브라운,78,https://img.youtube.com/vi/SrLp7QxAYmY/mqdefault.jpg
일간,2026-01-04,video,한국,34,-26,20분 동안 물고기 변비 치료하는 영상,19630,2025.12.31,,푸른상어,"155,000",https://img.youtube.com/vi/0BwKWi4-1l0/mqdefault.jpg
일간,2026-01-04,video,한국,35,-4,하이에나들이 아기 사자를 공격합니다! 그 다음에 무슨 일이 벌어질지 충격적입니다.,19141,2025.12.01,"#야생동물구조,#아기사자",SAVANNA RUSH,"218,000",https://img.youtube.com/vi/Xt4ZVonClpo/mqdefault.jpg
일간,2026-01-04,video,한국,36,-11,길냥이보다 집냥이가 더 자유롭다고요? 수의사가 알려주는 ‘진짜 자유,18111,2026.01.01,"#고양이,#수의사",윤샘의 마이펫상담소-Pet Clinic,"309,000",https://img.youtube.com/vi/S3nfPMxPG14/mqdefault.jpg
일간,2026-01-04,video,한국,37,-20,[Full] 고양이를 부탁해 - 오구오구 내 새끼,18067,2026.01.02,"#고양이를부탁해,#고부해",EBS 세나개 x 고부해 - 왜그러냥? 귀엽개!,"410,000",https://img.youtube.com/vi/kw-Elen-hLw/mqdefault.jpg
일간,2026-01-04,video,한국,38,-8,"20251227 안마 Massage 맛사지, 빗질 Brushing 털고르기, 간식 Snacks - 따야 Ddaya🥰",17882,2025.12.28,"#왕크왕귀,#진도믹스",🐕따야 사랑🥰,"13,600",https://img.youtube.com/vi/ZDJp2pHkD5Y/mqdefault.jpg
일간,2026-01-04,video,한국,39,NEW,이 영상을 보면 복이 들어갈겨~,17608,2026.01.03,,김깜순,"73,500",https://img.youtube.com/vi/wSFk5BpPK64/mqdefault.jpg
일간,2026-01-04,video,한국,40,NEW,바보같이 또 속았습니다,16462,2026.01.02,"#진도개,#고양이",남피디와 아이들,"153,000",https://img.youtube.com/vi/nMpA2nJfgYQ/mqdefault.jpg
일간,2026-01-04,video,한국,41,-4,구명조끼 없이 수영할 수 있지?,15030,2025.08.25,"#포메라니안,#루퐁이네",[THE SOY]루퐁이네,"2,320,000",https://img.youtube.com/vi/RMKEWhOR48c/mqdefault.jpg
일간,2026-01-04,video,한국,42,-3,지식재산처 기술자문제도,14925,2025.12.19,,한국지식재산보호원,"8,380",https://img.youtube.com/vi/nfoI_X5wbao/mqdefault.jpg
일간,2026-01-04,video,한국,43,-23,저항할 수 없는 힘,14726,2025.12.30,,정서불안 김햄찌,"667,000",https://img.youtube.com/vi/bQKBHkt9K2M/mqdefault.jpg
일간,2026-01-04,video,한국,44,NEW,"[EN] 매 맞던 집에서 구조된 강아지, 새해에 전한 감동 근황 | 타이탄 EP.3",14688,2026.01.02,"#유기동물,#유기견",개st하우스,"126,000",https://img.youtube.com/vi/I1Uaj5ky6hk/mqdefault.jpg
