Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2026-01-04,video,한국,1,+2,2026년 '새해 복'이 배달되었습니다 🚚💨,2733043,2025.12.31,,배달의민족,"87,700",https://img.youtube.com/vi/DuIYxbQ0xRI/mqdefault.jpg
일간,2026-01-04,video,한국,2,-1,[굽네] 소스~라치게 놀랄 맛의 한 방! 굽네 추추 치킨 스테이크! (추성훈&추사랑 무한먹방편),2197778,2025.12.31,,굽네,"13,300",https://img.youtube.com/vi/ZxQMjeYoJro/mqdefault.jpg
일간,2026-01-04,video,한국,3,-1,[굽네] 소스~라치게 놀랄 맛의 한 방! 굽네 추추 치킨 스테이크 (추성훈&추사랑 감탄먹방편),2181075,2025.12.31,,굽네,"13,300",https://img.youtube.com/vi/uHw35DvzEtQ/mqdefault.jpg
일간,2026-01-04,video,한국,4,0,SAY MY NAME (세이마이네임) ‘UFO (ATTENT!ON)’ MV,1581168,2025.12.29,"#OurVibe,#SMN_OurVibe",iNKODE Official,"94,100",https://img.youtube.com/vi/-fPz0KoVwog/mqdefault.jpg
일간,2026-01-04,video,한국,5,0,[버거킹] 이정재 돌아왔다... 콰트로로!,1419430,2025.12.31,"#버거킹,#BURGERKING",버거킹,"51,100",https://img.youtube.com/vi/Xyiq8vgTFtw/mqdefault.jpg
일간,2026-01-04,video,한국,6,NEW,[ENG]백수저들의 오만가지 비하인드 낋여왔습니다 백수저 3인방과 함께하는 [흑백요리사 시즌2] 리뷰 최초 공개(with. 임성근 정호영 샘킴) I 흑백2⚒️리뷰,1318290,2026.01.03,"#안성재,#셰프안성재",셰프 안성재 Chef Sung Anh,"972,000",https://img.youtube.com/vi/iFI44wD0HDg/mqdefault.jpg
일간,2026-01-04,video,한국,7,NEW,울보의 동네 쌍문동🥹 명장면의 추억에 주르륵💧 훌쩍 자란 진주의 등장에 주르륵💧    EP.3,1234437,2026.01.02,"#highlight,#20tvN",tvN Joy,"4,500,000",https://img.youtube.com/vi/-VXJKw2Xgr0/mqdefault.jpg
일간,2026-01-04,video,한국,8,-1,카누 싱글오리진 콜롬비아 톨리마,1170638,2025.12.09,#KANU,"세상에서 가장 작은 카페, 카누","3,270",https://img.youtube.com/vi/K4kJtdpGY9c/mqdefault.jpg
일간,2026-01-04,video,한국,9,-1,(ENG) 힙합보단 사랑 사랑보단 프리미엄 가나 겨울 에디션~♪ | EP. 15 프리미엄 가나,1099985,2025.12.31,"#EVENT,#인성의프리미엄가나페어링",맛깔스튜디오 by롯데웰푸드,"147,000",https://img.youtube.com/vi/bSrIC34u1II/mqdefault.jpg
일간,2026-01-04,video,한국,10,+3,[𝐍𝐇 𝐩𝐚𝐲×변우석] 🎬나를 완벽하게 이용해봐,1010875,2025.12.24,"#EVENT,#NHCARD",NH농협카드,"300,000",https://img.youtube.com/vi/QHqfx6WlRAs/mqdefault.jpg
일간,2026-01-04,video,한국,11,-1,"[COWAY] 청정해진 공기를 온풍으로 따뜻하게, 코웨이 히티브 온풍 공기청정기",998028,2025.12.24,"#이벤트,#EVENT",COWAY,"211,000",https://img.youtube.com/vi/6M-n7Jyh3D4/mqdefault.jpg
일간,2026-01-04,video,한국,12,+655,🐈 퍼팅 214일째 로즈킴의 실내 퍼팅 연습 Live 꾸준한 반복연습 steady repetitive practice,799770,2026.01.03,#PRISMLiveStudio,로즈킴,"88,300",https://img.youtube.com/vi/lsa0_XgeR-U/mqdefault.jpg
일간,2026-01-04,video,한국,13,+1,"[롯데그룹 광고] 가장 가까운 곳에서 가장 먼 곳까지, 롯데(30s)",736571,2025.12.15,"#롯데,#LOTTE",롯데 LOTTE,"124,000",https://img.youtube.com/vi/vrkoWpYq31Y/mqdefault.jpg
일간,2026-01-04,video,한국,14,+14,롯데리아 또 이상한 거 한다!,709272,2026.01.02,"#침착맨,#롯데리아",리아버거가게,"305,000",https://img.youtube.com/vi/k3GnHTPEgJI/mqdefault.jpg
일간,2026-01-04,video,한국,15,+1,"[COWAY] 깨끗하게 찾아온 포근한 겨울, 코웨이 히티브 온풍 공기청정기",674259,2025.12.31,,COWAY,"211,000",https://img.youtube.com/vi/4m-AGZJ1Ov4/mqdefault.jpg
일간,2026-01-04,video,한국,16,+3,"[농심] 신라면 X 에스파 ""Spicy Happiness In Noodles""(30"") |",655936,2025.12.11,"#신라면,#에스파",농심 nongshim,"43,600",https://img.youtube.com/vi/DvFglAx1yF0/mqdefault.jpg
일간,2026-01-04,video,한국,17,+1,눈으로 보고 귀로 즐기는 힐링 퍼팅 라이브 ASMR (2026년 1월 2일) 56일차,594613,2026.01.02,,파워스윙TV,"23,700",https://img.youtube.com/vi/HWkjxPw6XsA/mqdefault.jpg
일간,2026-01-04,video,한국,18,0,"나의 첫번째 AI 은행, 카카오뱅크",594089,2025.12.17,"#카카오뱅크,#AI",카카오뱅크,"79,700",https://img.youtube.com/vi/GOsq9cHtqmY/mqdefault.jpg
일간,2026-01-04,video,한국,19,NEW,"[바비톡] 딱 맞는걸 찾을 땐, 바비톡💜",588433,2026.01.02,#툭하면바비톡💜,바비톡 - Babitalk,"24,700",https://img.youtube.com/vi/wtdwYB9kgUc/mqdefault.jpg
일간,2026-01-04,video,한국,20,NEW,"국내 최초 24명 걸그룹 매니저..를 제가요..? | 아이돌 매니저 알바 | 워크맨 | 이준, 트리플에스 (tripleS)",561432,2026.01.02,"#워크맨,#이준",워크맨-Workman,"4,200,000",https://img.youtube.com/vi/zNvRUtbPq40/mqdefault.jpg
일간,2026-01-04,video,한국,21,+4,"[ 나의 미식 파트너, 코카-콜라! 15’ ​",551097,2025.12.31,"#코카콜라],#코카콜라",Coca-Cola Korea,"97,200",https://img.youtube.com/vi/s5PlCF1yC24/mqdefault.jpg
일간,2026-01-04,video,한국,22,NEW,"기특하고 반가운 손님, 진주가 왔어요🥹 기쁘지만 눈물도 나는 이 생경한 느낌은 뭐지💦   EP.3 | tvN 260102 방송",520602,2026.01.02,"#20tvN,#응답하라198810주년",tvN Joy,"4,500,000",https://img.youtube.com/vi/G5fvAiR8BrE/mqdefault.jpg
일간,2026-01-04,video,한국,23,+4,[NH농협손해보험 브랜드광고] 모두를 웃게 하는 긍정보험 (30초),510229,2025.12.08,"#NH농협손해보험,#왕구",NH농협손해보험,"4,170",https://img.youtube.com/vi/QP4ehRhFXGA/mqdefault.jpg
일간,2026-01-04,video,한국,24,-15,[릴레이댄스] 2025 Special | ALLDAY PROJECT부터 JENNIE까지! 2025년을 뜨겁게 달군 K-POP 스페셜 릴댄🔥 (4K),456960,2025.12.31,"#릴레이댄스,#RelayDance",M2,"10,500,000",https://img.youtube.com/vi/27P3EL2HDMA/mqdefault.jpg
일간,2026-01-04,video,한국,25,-1,[ 제니 - Seoul City + ZEN + like JENNIE  (4K) |,451182,2025.12.20,"#MMA2025],#제니",멜론 Melon,"1,060,000",https://img.youtube.com/vi/mvnLt4dLwZQ/mqdefault.jpg
일간,2026-01-04,video,한국,26,NEW,"운동 전후 컨디션 관리, 핵심은 이것? | 메디카유레카 EP. 7-1 |  아르기닌 비타민 젤리 스틱 | 손문선 | 전민기 | 심수창 | 김희재",429309,2026.01.02,"#포텐플러스,#전민기",스튜디오 상상인,"206,000",https://img.youtube.com/vi/cN-t2sava1Q/mqdefault.jpg
일간,2026-01-04,video,한국,27,+1,보고 있으면 너무 졸리는 퍼팅 라이브 ASMR (2026년 1월 2일),418376,2026.01.02,,파워스윙TV,"23,700",https://img.youtube.com/vi/Vf_KyuN9wPo/mqdefault.jpg
일간,2026-01-04,video,한국,28,NEW,보은의 신 - 한해동안 고생한 에그사우들에게 고마워서 그래 | ☎소통의 신,346104,2026.01.02,"#채널십오야,#보은의신",채널십오야,"7,450,000",https://img.youtube.com/vi/PGR6s1Y2BkI/mqdefault.jpg
일간,2026-01-04,video,한국,29,+9,머신러닝으로 더 빨라진 AI 워시타워｜LG 트롬 AI 오브제컬렉션 워시타워,343670,2025.12.17,"#LG전자,#LG트롬",LG전자,"412,000",https://img.youtube.com/vi/ckpZVYawI4w/mqdefault.jpg
일간,2026-01-04,video,한국,30,NEW,진짜 흔한가족 마지막 영상입니다,333368,2026.01.02,,흔한남매,"3,010,000",https://img.youtube.com/vi/n76STeOY1c8/mqdefault.jpg
일간,2026-01-04,video,한국,31,+8,"Canva | 뭐든지 해낸다, 다함께",329179,2026.01.01,"#canva,#캔바",캔바 Canva,"70,600",https://img.youtube.com/vi/8gev6N415lI/mqdefault.jpg
일간,2026-01-04,video,한국,32,+4,2026년 신라면 40주년 기념 신제품 ❝신라면 GOLD❞ |,328972,2025.12.30,"#신라면GOLD,#신라면골드",농심 nongshim,"43,600",https://img.youtube.com/vi/r_r9ytEoHlg/mqdefault.jpg
일간,2026-01-04,video,한국,33,+4,페이커가 들려주는 행운버거®의 따뜻한 이야기(30’s),328318,2025.12.26,"#맥도날드,#행운버거",한국 맥도날드,"103,000",https://img.youtube.com/vi/uE_le2vrAss/mqdefault.jpg
