Period,Ranking Date,Type,Country,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail
일간,2026-01-04,video,한국,1,+1,[모두닥X카더가든] 라식라섹 진짜 리뷰는 모두닥! (6s),994246,2025.12.02,"#스마일라식,#라식",모두닥 | 대표 의료플랫폼,"7,340",https://img.youtube.com/vi/7WM4ZbpPsIw/mqdefault.jpg
일간,2026-01-04,video,한국,2,-1,유창조 (You Chang Jo) - 2026년 병오년 [丙午年] 새해 천복 많이 받으세요.,969947,2026.01.01,,유창조 You Chang Jo,"14,000,000",https://img.youtube.com/vi/7REliSEGr6c/mqdefault.jpg
일간,2026-01-04,video,한국,3,NEW,삿포로 마지막)대식가 직원도 놀랐습니다🤣 총 몇접시 먹었을까..? 홋카이도 회전초밥 xxx접시 먹방,870991,2026.01.02,,tzuyang쯔양,"12,900,000",https://img.youtube.com/vi/ixi_hfZlEWE/mqdefault.jpg
일간,2026-01-04,video,한국,4,-1,"[써브웨이] 새해 당신을 찾아온 선물, 랍스터 컬렉션🦞",855793,2025.12.26,,써브웨이,"16,299",https://img.youtube.com/vi/yG6eYDW52Bg/mqdefault.jpg
일간,2026-01-04,video,한국,5,0,2026 DB손해보험 ㅣ 새해에도 약속한 사이,638804,2025.12.30,"#DB손해보험,#2026년",프로미TV-DB손해보험,"606,000",https://img.youtube.com/vi/-KuxJd4Mq0o/mqdefault.jpg
일간,2026-01-04,video,한국,6,0,"리쥬비넥스크림 TVC💝 피부재생, 영양이 필요할 때?",576579,2025.12.12,"#약국에서만나요,#리쥬비넥스크림",파마리서치,"1,690",https://img.youtube.com/vi/59vb7dV1Nbg/mqdefault.jpg
일간,2026-01-04,video,한국,7,+16,샤브올데이 TVCF [Shabu New Year!] 연시편 15”,520781,2025.12.29,"#샤브올데이,#김우빈",샤브올데이,435,https://img.youtube.com/vi/3lL8_j1VFR0/mqdefault.jpg
일간,2026-01-04,video,한국,8,NEW,"임성근: ""저희 가게 레시피 공개합니다"" (가게 없음) 현재 개떡상 중인 임짱TV 근황 ㅋㅋㅋㅋㅋㅋ 끝나지 않는 흑백요리사2 모음집 레전드 ㅋㅋㅋㅋㅋㅋ",411247,2026.01.03,,김준표,"1,300,000",https://img.youtube.com/vi/Vx5TvugVcTc/mqdefault.jpg
일간,2026-01-04,video,한국,9,+7,중화요리? 난 집에서! 차오차이 - 고추잡채 편,400571,2025.12.02,,차오차이,651,https://img.youtube.com/vi/CgFO4Z1GJ4A/mqdefault.jpg
일간,2026-01-04,video,한국,10,0,"[🎉이벤트🎉] 위기의 순간, 신한과 함께 - 신한 위기가정 지원사업(30s) ㅣ신한금융그룹",395312,2025.12.29,"#신한,#금융으로세상을이롭게",신한금융그룹,"371,000",https://img.youtube.com/vi/57qWq4lMgik/mqdefault.jpg
일간,2026-01-04,video,한국,11,+7,"보통남자는 접근도 못한다는 최화정의 충격적 관상 (역술가 박성준,풍수지리)",381445,2026.01.01,"#최화정,#관상",안녕하세요 최화정이에요,"778,000",https://img.youtube.com/vi/K3znxgn-ck0/mqdefault.jpg
일간,2026-01-04,video,한국,12,+3,"양념치킨의 바삭한 유혹, 스윗칠리킹_15s ver.",379538,2025.11.20,,bhc치킨,"31,000",https://img.youtube.com/vi/xozj22Nr-Uk/mqdefault.jpg
일간,2026-01-04,video,한국,13,+1,Sleepisol Bio App: Your Personal Bio Condition Manager,362739,2024.11.18,,슬리피솔 sleepisol,800,https://img.youtube.com/vi/4f6fDWGxh74/mqdefault.jpg
일간,2026-01-04,video,한국,14,+3,"오후 2시 뮤신 루틴, 올더뮤",359826,2025.12.26,,올더뮤,"5,790",https://img.youtube.com/vi/gEAVgVsLGak/mqdefault.jpg
일간,2026-01-04,video,한국,15,NEW,남동생이랑 삿포로 여행가면 생기는 일 (ft.합법적 꼬봉),342126,2026.01.02,"#야노시호,#아줌마",야노시호 YanoShiho,"340,000",https://img.youtube.com/vi/OFZXHPppP2Q/mqdefault.jpg
일간,2026-01-04,video,한국,16,+4,BABYMONSTER - 'DRIP' M/V,336105,2024.11.01,"#BABYMONSTER,#베이비몬스터",BABYMONSTER,"11,000,000",https://img.youtube.com/vi/Zp-Jhuhq0bQ/mqdefault.jpg
일간,2026-01-04,video,한국,17,NEW,(ENG DUB) 18년 장기미제 사건 용의자 황주연에 대한 수많은 의혹  [형수다2] EP.22,327829,2026.01.02,"#센트럴시티살인사건,#형사들의수다",형사들의 수다,"74,200",https://img.youtube.com/vi/vtg388TMBbg/mqdefault.jpg
일간,2026-01-04,video,한국,18,-14,"[스픽x김우빈] 영어, 새해엔 트일 것이다! (오피스 ver.)",321485,2025.12.22,,스픽 - Speak,"140,000",https://img.youtube.com/vi/mjc66rHibLg/mqdefault.jpg
일간,2026-01-04,video,한국,19,NEW,funny festival of joy challenge game is live! Part 27,312541,2026.01.02,"#spin,#funny",U BRAIN TEST,"7,520",https://img.youtube.com/vi/I82EqStc7-A/mqdefault.jpg
일간,2026-01-04,video,한국,20,+27,러닝에 미친 사람들의 어마어마한 고기 먹방 (션 최애 맛집),312117,2026.01.02,,션과 함께,"465,000",https://img.youtube.com/vi/EYvAHKDuWts/mqdefault.jpg
일간,2026-01-04,video,한국,21,NEW,"""이걸 다 드실줄이야.."" 잔치국수 양보고 기겁하더니 국물까지 싹 비운 캐나다 가족! 마지막 육전을 두고 기싸움하는 부모님",307435,2026.01.02,"#잔치국수,#육전",jellainkorea 젤라인코리아,"215,000",https://img.youtube.com/vi/qyP-lu4456g/mqdefault.jpg
일간,2026-01-04,video,한국,22,+4,[toy asmr] Pororo Poop Training & Food Play 🍴💩 크롱 밥먹고 배변훈련 장난감놀이 언박싱 | Satisfying Unboxing,299425,2025.07.04,"#ASMR,#ToyUnboxing",POMPOM TOY,"150,000",https://img.youtube.com/vi/pUKWgMOPtSM/mqdefault.jpg
일간,2026-01-04,video,한국,23,-1,الليلة الأولى | ليالي الامتحان الأخيرة| ثالثة ثانوي ٢٠٢٥ مع أ. محمد صلاح,284841,2025.12.01,"#ثالثة_ثانوي,#خلاصة_الخلاويص",Cuckoo,"2,390,000",https://img.youtube.com/vi/Gav2ZCIvfw0/mqdefault.jpg
일간,2026-01-04,video,한국,24,-5,ไฮ! ฤดูหนาวมาก!,262274,2025.12.31,,컬렌 Cullen HateBerry,"3,040,000",https://img.youtube.com/vi/-UHanGqW4u4/mqdefault.jpg
일간,2026-01-04,video,한국,25,NEW,남자가 억지로 사랑할때,247159,2026.01.03,,그냥 필름,"287,000",https://img.youtube.com/vi/AxekJCY7-qk/mqdefault.jpg
일간,2026-01-04,video,한국,26,+16,"프랑스 댄서 찐친들과 댄스 배틀 (연말 파티, 크리스마스, 홈 파티) | 카니를 찾아서 EP.28 [EN]",245636,2025.12.24,"#카니를찾아서,#카니",광 gwang series,"586,000",https://img.youtube.com/vi/C0r4YDN_G0w/mqdefault.jpg
일간,2026-01-04,video,한국,27,-15,강남 이상화 부부의 삶,221144,2025.12.30,"#라식,#라섹",인생84,"1,480,000",https://img.youtube.com/vi/UmQBviQkx3s/mqdefault.jpg
일간,2026-01-04,video,한국,28,+73,중화요리? 난 집에서! 차오차이 - 간짜장 편,218174,2025.12.02,"#차오차이,#130직화간짜장",차오차이,652,https://img.youtube.com/vi/pk_8Jlo43NM/mqdefault.jpg
일간,2026-01-04,video,한국,29,+4,BLACKPINK - '붐바야 (BOOMBAYAH)' M/V,217246,2016.08.08,"#‎BLACKPINK,#‎붐바야",BLACKPINK,"99,500,000",https://img.youtube.com/vi/bwmSjveL3Lc/mqdefault.jpg
일간,2026-01-04,video,한국,30,-23,박시은 진태현의 2026 여러분에게 드리는 영상 편지,216617,2026.01.01,"#진태현,#박시은",박시은 진태현 작은 테레비,"114,000",https://img.youtube.com/vi/mTdHqCW8PtA/mqdefault.jpg
일간,2026-01-04,video,한국,31,NEW,"산후조리원 없는 미국, 셀프 산후조리 준비  |  밀프렙, 애기방 꾸미기부터 강아지 미용까지",207808,2026.01.02,"#미국출산,#셀프산후조리",푸디젠 Foodie Jen,"621,000",https://img.youtube.com/vi/Clg0iuzUKXk/mqdefault.jpg
일간,2026-01-04,video,한국,32,+19,남자는 신나! ITZY 유나와 함께하는 신한 나라사랑카드 (15s),205064,2025.12.15,"#신한나라사랑카드,#신나사카",신한은행,"522,000",https://img.youtube.com/vi/4iLzH22-F_M/mqdefault.jpg
일간,2026-01-04,video,한국,33,-3,우리는 집에서 작은 집을 짓습니다 Multi DO Smile,201595,2025.02.28,,Multi DO Smile Korean,"678,000",https://img.youtube.com/vi/qouyccpgcmk/mqdefault.jpg
일간,2026-01-04,video,한국,34,-2,ASMR ICE CREAM BLUE PORORO JELLY RECIPE PARTY 직접 만든 블루 뽀로로 꿀젤리 먹방 DESSERTS MUKBANG EATING SOUNDS,200709,2023.08.10,,JaeYeol ASMR 재열,"5,540,000",https://img.youtube.com/vi/Md-F3RtJSzM/mqdefault.jpg
일간,2026-01-04,video,한국,35,-4,230831목.승맘64 축하외식(노스그릴.10.8 ㅡ다올카페 ㅡ재인폭포.주차 25분 데크 안쪽에).아데스 공사중지로 8.31까지 근무통보.처 쿠팡 마카다미아 주문.하모니카 신청,195241,2023.08.31,,다미(삶의 모든 답은 한마리의 개안에 있다),"30,500",https://img.youtube.com/vi/irf8W0sG1Bg/mqdefault.jpg
일간,2026-01-04,video,한국,36,+36,저질체력 한가인이 정기적으로 러닝을 했더니 나타난 놀라운 변화 (션의 한수),194250,2026.01.01,"#한가인,#한가인유튜브",자유부인 한가인,"426,000",https://img.youtube.com/vi/AUVTmK1Wt3M/mqdefault.jpg
일간,2026-01-04,video,한국,37,NEW,"🍓최고의 딸기 케이크를 찾아서 | 쉐프조, 키친205, 스트로베리32, 모어댄버터, 크림라벨, 김영모과자점, 터틀힙, 르빵",190853,2026.01.02,"#주우재,#주우재먹방",오늘의 주우재,"1,340,000",https://img.youtube.com/vi/DQI4K_WB9V4/mqdefault.jpg
일간,2026-01-04,video,한국,38,NEW,"Let's wrap up the first day of ""Super Show"" by eating crab. Round 2",190484,2026.01.03,,트기트기 이특 LEETEUK,"379,000",https://img.youtube.com/vi/cqWehVUURLI/mqdefault.jpg
일간,2026-01-04,video,한국,39,-5,"따듯한 한 잔의 빠른 효과, 테라플루 (15"" Lumberjack)",189107,2025.09.01,,테라플루 THERAFLU KOREA,492,https://img.youtube.com/vi/66vzMmDmNhE/mqdefault.jpg
일간,2026-01-04,video,한국,40,+35,샤브올데이 TVCF [Shabu New Year!] 연시편 30”,185569,2025.12.29,"#샤브올데이,#김우빈",샤브올데이,435,https://img.youtube.com/vi/3kE58twIK4Y/mqdefault.jpg
