Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,게임,조회수 순위,1,+11,저 이상한 백룸 다운한 거 같아요💀 I think I got the wrong Backrooms,2461684,2026.06.07,"#backrooms,#roblox",부끄부끄,"136,000",https://img.youtube.com/vi/uvta_W_05L0/mqdefault.jpg,uvta_W_05L0
일간,2026-06-10,shorts,한국,게임,조회수 순위,2,-1,[15] Frog Dissection Day 🐸 - Creepy Things | EMOTIA,2138453,2026.05.12,,계향쓰 GH'S,"27,600,000",https://img.youtube.com/vi/7URzcgnk3i0/mqdefault.jpg,7URzcgnk3i0
일간,2026-06-10,shorts,한국,게임,조회수 순위,3,+5,Airsoft KAC MOD 2.1 Build,1245106,2026.05.20,"#airsoft,#ar15",NyamNyom,"150,000",https://img.youtube.com/vi/lGkFFpPyKg0/mqdefault.jpg,lGkFFpPyKg0
일간,2026-06-10,shorts,한국,게임,조회수 순위,4,+22,월클 손흥민과 함께하는 마지막 불꽃!(feat.LAST FLAME 이벤트),1200985,2026.05.28,"#FC온라인,#손흥민",EA SPORTS FC 온라인,"355,000",https://img.youtube.com/vi/ubD2hSR5GJI/mqdefault.jpg,ubD2hSR5GJI
일간,2026-06-10,shorts,한국,게임,조회수 순위,5,NEW,몇번을 봐도 사람들이 꼭 기억해줬으면 하는 말,1181754,2026.06.08,"#넷플릭스,#드라마",1분의행복,"1,440",https://img.youtube.com/vi/-WpEk9406N8/mqdefault.jpg,-WpEk9406N8
일간,2026-06-10,shorts,한국,게임,조회수 순위,6,-3,미드가 더 커졌나...?,1139673,2026.06.07,"#animation,#meme",HOWCOW uuu,"2,360,000",https://img.youtube.com/vi/q1fjbk4c-NE/mqdefault.jpg,q1fjbk4c-NE
일간,2026-06-10,shorts,한국,게임,조회수 순위,7,NEW,상상도 하지 못할 법무부 장관 임명 이유,1128839,2026.06.08,,걍봐걍,"37,200",https://img.youtube.com/vi/9YhFWWas1EE/mqdefault.jpg,9YhFWWas1EE
일간,2026-06-10,shorts,한국,게임,조회수 순위,8,NEW,Why Did We All Do This? - ROBLOX ANIMATION,1094866,2026.06.08,,계향쓰 GH'S,"27,600,000",https://img.youtube.com/vi/nhTJFU_Wuf0/mqdefault.jpg,nhTJFU_Wuf0
일간,2026-06-10,shorts,한국,게임,조회수 순위,9,-4,키 작은 그 친구의 집,1028243,2026.05.27,"#마인크래프트,#밈",무싹,"238,000",https://img.youtube.com/vi/gS0RBQpz3rU/mqdefault.jpg,gS0RBQpz3rU
일간,2026-06-10,shorts,한국,게임,조회수 순위,10,+4,POV: 스피키가 잘때 트럼펫 부는 영상 🎺😴 Trickcal Speaki,1015148,2026.05.02,#스피키,스피키 Speaki Cuayo ｽﾋﾟｷ  斯嗶奇,"66,800",https://img.youtube.com/vi/4AbwXbeVc9I/mqdefault.jpg,4AbwXbeVc9I
일간,2026-06-10,shorts,한국,게임,조회수 순위,11,NEW,200만원 써서 만든 밤티 리소스팩,976384,2026.06.08,,이루의 마인크래프트,"472,000",https://img.youtube.com/vi/8X_Is8oW4B0/mqdefault.jpg,8X_Is8oW4B0
일간,2026-06-10,shorts,한국,게임,조회수 순위,12,-5,공짜를 믿으면 안 되는 이유,886637,2026.04.29,"#Shorts,#트릭컬",스피키 Speaki Cuayo ｽﾋﾟｷ  斯嗶奇,"66,800",https://img.youtube.com/vi/EkFuiGtS3rw/mqdefault.jpg,EkFuiGtS3rw
일간,2026-06-10,shorts,한국,게임,조회수 순위,13,+11,어떤 이불에서 자고 싶나요?,867562,2026.05.31,"#Blender,#Minecraft",Gorilland,"127,000",https://img.youtube.com/vi/6DgK3TfNoZY/mqdefault.jpg,6DgK3TfNoZY
일간,2026-06-10,shorts,한국,게임,조회수 순위,14,NEW,무슨 노래예요?,835971,2026.06.09,"#minecraft,#mana",Mana Craft,"7,400,000",https://img.youtube.com/vi/gj1eltLbSWU/mqdefault.jpg,gj1eltLbSWU
일간,2026-06-10,shorts,한국,게임,조회수 순위,15,-2,경수진의 진심이 담긴 고백ㅋㅋㅋ |,795881,2026.06.05,"#구기동프렌즈,#tvN",디글 클래식 :Diggle Classic,"3,370,000",https://img.youtube.com/vi/umhU2K_4a1Q/mqdefault.jpg,umhU2K_4a1Q
일간,2026-06-10,shorts,한국,게임,조회수 순위,16,NEW,Axe VS Stick Simulation,767957,2026.06.08,"#minecraft,#simulation",ooosimulation,"75,100",https://img.youtube.com/vi/d76VO7fkakg/mqdefault.jpg,d76VO7fkakg
일간,2026-06-10,shorts,한국,게임,조회수 순위,17,+4,얼어붙은 세계에 불을 붙여라! | 화이트아웃 서바이벌 | Google Play,730701,2026.06.01,"#구글플레이,#화이트아웃서바이벌",Google Play Korea,"379,000",https://img.youtube.com/vi/g9ks3PQciXs/mqdefault.jpg,g9ks3PQciXs
일간,2026-06-10,shorts,한국,게임,조회수 순위,18,-9,알파벳 로어 게임vs현실,725007,2022.11.19,"#Shorts,#로블록스",범석TV,"3,520,000",https://img.youtube.com/vi/HWq8VsWFfFs/mqdefault.jpg,HWq8VsWFfFs
일간,2026-06-10,shorts,한국,게임,조회수 순위,19,-15,Dark JJ&Dark JJ sister Bumble Bee - MAIZEN Minecraft Animation,699807,2026.06.07,"#maizen,#minecraft",Keubyeok Animation,"121,000",https://img.youtube.com/vi/wWWW2mhUTQ0/mqdefault.jpg,wWWW2mhUTQ0
일간,2026-06-10,shorts,한국,게임,조회수 순위,20,+14,전복은 얼마나 구워야 맛있을까?🦪🔥,672469,2026.06.03,"#shorts,#전복",준맛 jun taste,"191,000",https://img.youtube.com/vi/tq_bfbVNX40/mqdefault.jpg,tq_bfbVNX40
일간,2026-06-10,shorts,한국,게임,조회수 순위,21,+8,우연처럼 또 만났습니다 | Google Play,652266,2026.05.15,"#페이커,#카리나",Google Play Korea,"379,000",https://img.youtube.com/vi/P0WzjPcWzmQ/mqdefault.jpg,P0WzjPcWzmQ
일간,2026-06-10,shorts,한국,게임,조회수 순위,22,-2,최후의 생존자에서 설원의 지배자로! | 화이트아웃 서바이벌 | Google Play,651339,2026.06.02,"#구글플레이,#WOS화이트아웃서바이벌",Google Play Korea,"379,000",https://img.youtube.com/vi/mr9QPDLdVYc/mqdefault.jpg,mr9QPDLdVYc
일간,2026-06-10,shorts,한국,게임,조회수 순위,23,NEW,베드락에 자꾸 빠질 때,637154,2026.06.08,"#minecraft,#마인크래프트",리채 Richae,"56,500",https://img.youtube.com/vi/GEPXr0pNZtY/mqdefault.jpg,GEPXr0pNZtY
일간,2026-06-10,shorts,한국,게임,조회수 순위,24,-18,"JJ&JJ sister, MJ 45º Notice how you did this  - MAIZEN Minecraft Animation",612526,2026.06.05,"#maizen,#minecraft",Keubyeok Animation,"121,000",https://img.youtube.com/vi/vUVzk9t50lQ/mqdefault.jpg,vUVzk9t50lQ
일간,2026-06-10,shorts,한국,게임,조회수 순위,25,+6,PVP 게임에서 튀플하는 애들 시점 :,588422,2026.05.24,"#forsakenedit,#robloxgames",AKI_아키,"7,020",https://img.youtube.com/vi/VQzchB3aLHY/mqdefault.jpg,VQzchB3aLHY
일간,2026-06-10,shorts,한국,게임,조회수 순위,26,+211,本物の猛者だけが被る帽子,577841,2026.06.08,,ちょい語,"75,600",https://img.youtube.com/vi/1Cfff7zFYbY/mqdefault.jpg,1Cfff7zFYbY
일간,2026-06-10,shorts,한국,게임,조회수 순위,27,NEW,"Dark JJ&Dark JJ sister, MJ 45º Notice how you did this  - MAIZEN Minecraft Animation",573535,2026.06.08,"#maizen,#minecraft",Keubyeok Animation,"121,000",https://img.youtube.com/vi/OQVQCWGhl5E/mqdefault.jpg,OQVQCWGhl5E
일간,2026-06-10,shorts,한국,게임,조회수 순위,28,NEW,상상도 하지 못할 한중 정상회담 장소,570572,2026.06.08,,걍봐걍,"37,200",https://img.youtube.com/vi/EFcExy0_q4k/mqdefault.jpg,EFcExy0_q4k
일간,2026-06-10,shorts,한국,게임,조회수 순위,29,-6,'페이커가 프로라 확신한' 매서운 탈리야의 정체ㄷㄷ,563525,2026.06.06,"#t1,#페이커",롤따봉,"17,500",https://img.youtube.com/vi/lBOFx9_MAvE/mqdefault.jpg,lBOFx9_MAvE
일간,2026-06-10,shorts,한국,게임,조회수 순위,30,-12,roblox Troller VS Troller,557879,2025.11.29,"#shorts,#roblox",어케,"85,000",https://img.youtube.com/vi/uIJol2-BVI0/mqdefault.jpg,uIJol2-BVI0
일간,2026-06-10,shorts,한국,게임,조회수 순위,31,NEW,"""Excuse me, sir""",552041,2026.06.09,"#shorts,#forsaken",밀리 MeLee,"213,000",https://img.youtube.com/vi/sZBjmrzT8Lg/mqdefault.jpg,sZBjmrzT8Lg
일간,2026-06-10,shorts,한국,게임,조회수 순위,32,+7,쿨감 93.3% 카서스,541124,2026.06.06,,텔론,"1,070,000",https://img.youtube.com/vi/FZlg12e0eAQ/mqdefault.jpg,FZlg12e0eAQ
일간,2026-06-10,shorts,한국,게임,조회수 순위,33,+15,광부 친구가 돌아올 때 건축가의 모습은...☠️,537473,2026.04.24,"#shorts,#마인크래프트",뿌앵쨩,"161,000",https://img.youtube.com/vi/FqiGtRlwU4E/mqdefault.jpg,FqiGtRlwU4E
일간,2026-06-10,shorts,한국,게임,조회수 순위,34,-15,Прыжок веры в риал лайф,532841,2026.06.05,,KEKTAR,"1,530,000",https://img.youtube.com/vi/c3l2BaKwkcM/mqdefault.jpg,c3l2BaKwkcM
일간,2026-06-10,shorts,한국,게임,조회수 순위,35,+9,POV: 스피키 나팔 2탄 네르ㅋ  바로 끌려감ㅋㅋ｜ネール召喚w｜Speaki Got Dragged Out 😂,528134,2026.05.03,"#Shorts,#트릭컬",스피키 Speaki Cuayo ｽﾋﾟｷ  斯嗶奇,"66,800",https://img.youtube.com/vi/n0gvrl0mRKA/mqdefault.jpg,n0gvrl0mRKA
일간,2026-06-10,shorts,한국,게임,조회수 순위,36,NEW,젠슨 황 밥 사준 네이버 의장이 똑똑한 이유,516036,2026.06.08,,짧주,"15,000",https://img.youtube.com/vi/zz4e_gzv3IA/mqdefault.jpg,zz4e_gzv3IA
