Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,게임,조회수 순위,1,+13,무슨 노래예요?,2220467,2026.06.09,"#minecraft,#mana",Mana Craft,"7,400,000",https://img.youtube.com/vi/gj1eltLbSWU/mqdefault.jpg,gj1eltLbSWU
일간,2026-06-10,shorts,한국,게임,조회수 순위,2,0,[15] Frog Dissection Day 🐸 - Creepy Things | EMOTIA,1753929,2026.05.12,,계향쓰 GH'S,"27,600,000",https://img.youtube.com/vi/7URzcgnk3i0/mqdefault.jpg,7URzcgnk3i0
일간,2026-06-10,shorts,한국,게임,조회수 순위,3,+10,어떤 이불에서 자고 싶나요?,1502448,2026.05.31,"#Blender,#Minecraft",Gorilland,"129,000",https://img.youtube.com/vi/6DgK3TfNoZY/mqdefault.jpg,6DgK3TfNoZY
일간,2026-06-10,shorts,한국,게임,조회수 순위,4,+2,미드가 더 커졌나...?,1465700,2026.06.07,"#animation,#meme",HOWCOW uuu,"2,360,000",https://img.youtube.com/vi/q1fjbk4c-NE/mqdefault.jpg,q1fjbk4c-NE
일간,2026-06-10,shorts,한국,게임,조회수 순위,5,NEW,prison JJ&police JJ sister Bumble Bee - MAIZEN Minecraft Animation,1367204,2026.06.09,"#maizen,#minecraft",Keubyeok Animation,"124,000",https://img.youtube.com/vi/W26-dR3uTvc/mqdefault.jpg,W26-dR3uTvc
일간,2026-06-10,shorts,한국,게임,조회수 순위,6,+3,키 작은 그 친구의 집,1273817,2026.05.27,"#마인크래프트,#밈",무싹,"238,000",https://img.youtube.com/vi/gS0RBQpz3rU/mqdefault.jpg,gS0RBQpz3rU
일간,2026-06-10,shorts,한국,게임,조회수 순위,7,-2,몇번을 봐도 사람들이 꼭 기억해줬으면 하는 말,993392,2026.06.08,"#넷플릭스,#드라마",1분의행복,"2,050",https://img.youtube.com/vi/-WpEk9406N8/mqdefault.jpg,-WpEk9406N8
일간,2026-06-10,shorts,한국,게임,조회수 순위,8,+2,POV: 스피키가 잘때 트럼펫 부는 영상 🎺😴 Trickcal Speaki,926208,2026.05.02,#스피키,스피키 Speaki Cuayo ｽﾋﾟｷ  斯嗶奇,"69,500",https://img.youtube.com/vi/4AbwXbeVc9I/mqdefault.jpg,4AbwXbeVc9I
일간,2026-06-10,shorts,한국,게임,조회수 순위,9,-6,Airsoft KAC MOD 2.1 Build,914452,2026.05.20,"#airsoft,#ar15",NyamNyom,"151,000",https://img.youtube.com/vi/lGkFFpPyKg0/mqdefault.jpg,lGkFFpPyKg0
일간,2026-06-10,shorts,한국,게임,조회수 순위,10,NEW,300만명의 외국인이 보고 감탄한 아칼링의 플레이,913605,2026.06.09,,아칼링 AKALING,"58,500",https://img.youtube.com/vi/NO7n_yGB-d8/mqdefault.jpg,NO7n_yGB-d8
일간,2026-06-10,shorts,한국,게임,조회수 순위,11,-10,저 이상한 백룸 다운한 거 같아요💀 I think I got the wrong Backrooms,903069,2026.06.07,"#backrooms,#roblox",부끄부끄,"138,000",https://img.youtube.com/vi/uvta_W_05L0/mqdefault.jpg,uvta_W_05L0
일간,2026-06-10,shorts,한국,게임,조회수 순위,12,+26,裁判官も吹き出した愛人への復讐話,894276,2026.06.07,,ちょい語,"75,900",https://img.youtube.com/vi/wZ5_NxHtFCk/mqdefault.jpg,wZ5_NxHtFCk
일간,2026-06-10,shorts,한국,게임,조회수 순위,13,NEW,연세빵이 초대박나는 방법,885203,2026.06.09,,김블루,"2,250,000",https://img.youtube.com/vi/4TGLDDJiP5o/mqdefault.jpg,4TGLDDJiP5o
일간,2026-06-10,shorts,한국,게임,조회수 순위,14,-7,상상도 하지 못할 법무부 장관 임명 이유,801884,2026.06.08,,걍봐걍,"37,200",https://img.youtube.com/vi/9YhFWWas1EE/mqdefault.jpg,9YhFWWas1EE
일간,2026-06-10,shorts,한국,게임,조회수 순위,15,+27,""" 범부가 되어버린 케리아..? """,795428,2026.06.06,"#lck,#t1",LCK 아카이브,"60,300",https://img.youtube.com/vi/1diQDVrgabY/mqdefault.jpg,1diQDVrgabY
일간,2026-06-10,shorts,한국,게임,조회수 순위,16,+9,PVP 게임에서 튀플하는 애들 시점 :,786689,2026.05.24,"#forsakenedit,#robloxgames",AKI_아키,"8,080",https://img.youtube.com/vi/VQzchB3aLHY/mqdefault.jpg,VQzchB3aLHY
일간,2026-06-10,shorts,한국,게임,조회수 순위,17,+1,알파벳 로어 게임vs현실,767491,2022.11.19,"#Shorts,#로블록스",범석TV,"3,520,000",https://img.youtube.com/vi/HWq8VsWFfFs/mqdefault.jpg,HWq8VsWFfFs
일간,2026-06-10,shorts,한국,게임,조회수 순위,18,-14,월클 손흥민과 함께하는 마지막 불꽃!(feat.LAST FLAME 이벤트),753553,2026.05.28,"#FC온라인,#손흥민",EA SPORTS FC 온라인,"355,000",https://img.youtube.com/vi/ubD2hSR5GJI/mqdefault.jpg,ubD2hSR5GJI
일간,2026-06-10,shorts,한국,게임,조회수 순위,19,+2,우연처럼 또 만났습니다 | Google Play,743115,2026.05.15,"#페이커,#카리나",Google Play Korea,"379,000",https://img.youtube.com/vi/P0WzjPcWzmQ/mqdefault.jpg,P0WzjPcWzmQ
일간,2026-06-10,shorts,한국,게임,조회수 순위,20,-8,공짜를 믿으면 안 되는 이유,733078,2026.04.29,"#Shorts,#트릭컬",스피키 Speaki Cuayo ｽﾋﾟｷ  斯嗶奇,"69,500",https://img.youtube.com/vi/EkFuiGtS3rw/mqdefault.jpg,EkFuiGtS3rw
일간,2026-06-10,shorts,한국,게임,조회수 순위,21,+11,쿨감 93.3% 카서스,703532,2026.06.06,,텔론,"1,070,000",https://img.youtube.com/vi/FZlg12e0eAQ/mqdefault.jpg,FZlg12e0eAQ
