Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,1,+1,İnsanlar Doğası Gereği En Sakin Olanı Takip Eder #,1380082,2026.06.07,"#kişiselgelişim,#girişimcilik",비전학,"20,900",https://img.youtube.com/vi/JS9GoMzifXk/mqdefault.jpg,JS9GoMzifXk
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,2,-1,전사한 적군의 폰으로 전화를 하는 이유,1053180,2026.06.06,"#군대,#밀리터리",말이죠,"12,500",https://img.youtube.com/vi/svPCdnDryQE/mqdefault.jpg,svPCdnDryQE
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,3,NEW,Dış Görünüşe Güvenmenin Asla İyi Bir Fikir Olmamasının Nedeni Budur:,1043927,2026.06.09,"#insandavranışı,#psikoloji",비전학,"20,900",https://img.youtube.com/vi/Bmscpm0bcng/mqdefault.jpg,Bmscpm0bcng
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,4,+2,농장에서 기르는 소의 뿔을 깎는 과정,759494,2026.05.31,N/A,Asmodeus,"419,000",https://img.youtube.com/vi/EMo7jZAput4/mqdefault.jpg,EMo7jZAput4
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,5,-2,눈에 렌즈만 꼈는데..? 약 없이 우울증 치료,513560,2026.06.02,"#shorts,#우울증",YTN 사이언스 투데이,"129,000",https://img.youtube.com/vi/cjQQGuhrMzA/mqdefault.jpg,cjQQGuhrMzA
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,6,-1,세차중 갑자기 나타난 강아지,480396,2026.06.04,N/A,순사사삭,"10,600",https://img.youtube.com/vi/AMHChoAUqz4/mqdefault.jpg,AMHChoAUqz4
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,7,+1,(AI 예술성: 귀여운 영혼의 힐링 바이브),476163,2026.02.26,"#나무사랑공예,#힐링",나무사랑공예,"135,000",https://img.youtube.com/vi/MxnGhbGBYVQ/mqdefault.jpg,MxnGhbGBYVQ
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,8,+29,기름불에 폭탄을 던지는 이유,470569,2026.06.02,N/A,찾다보니,"7,180",https://img.youtube.com/vi/wrjkJ6Le2UM/mqdefault.jpg,wrjkJ6Le2UM
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,9,NEW,비버의 이빨,469988,2026.06.08,N/A,깔끔맨,"73,200",https://img.youtube.com/vi/ylrpgQXV-eQ/mqdefault.jpg,ylrpgQXV-eQ
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,10,-6,전동 드릴을 사용하여 틈새에서 남은 벽면 테이프를 제거합니다,332837,2026.06.01,N/A,Asmodeus,"419,000",https://img.youtube.com/vi/uUvFw3f2fn4/mqdefault.jpg,uUvFw3f2fn4
