Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,1,NEW,[6.9 이정후 하이라이트] 5번째 4히트 경기! .333 타율로 MLB 타격 공동 2위 등극,1080322,2026.06.09,"#이정후,#메이저리그",이상훈,"18,600",https://img.youtube.com/vi/iIGkwnexyWQ/mqdefault.jpg,iIGkwnexyWQ
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,2,-1,İnsanlar Doğası Gereği En Sakin Olanı Takip Eder #,901257,2026.06.07,"#kişiselgelişim,#girişimcilik",비전학,"21,600",https://img.youtube.com/vi/JS9GoMzifXk/mqdefault.jpg,JS9GoMzifXk
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,3,-1,전사한 적군의 폰으로 전화를 하는 이유,730525,2026.06.06,"#군대,#밀리터리",말이죠,"12,600",https://img.youtube.com/vi/svPCdnDryQE/mqdefault.jpg,svPCdnDryQE
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,4,NEW,"Gerçek Zeka, İnsanların Kendilerini Nasıl Ele Verdiğini Bilmektir:",641869,2026.06.10,"#zekagelişimi,#kişiselgelişim",비전학,"21,600",https://img.youtube.com/vi/Z2O1t_XeuN4/mqdefault.jpg,Z2O1t_XeuN4
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,5,NEW,Ona Sorumluluğu Hayat Öğretmeden Önce Öğretmek İstedi:,551053,2026.06.08,"#sorumluluk,#hayatdersleri",비전학,"21,600",https://img.youtube.com/vi/yPV3Wc4qwM8/mqdefault.jpg,yPV3Wc4qwM8
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,6,-2,농장에서 기르는 소의 뿔을 깎는 과정,467349,2026.05.31,,Asmodeus,"419,000",https://img.youtube.com/vi/EMo7jZAput4/mqdefault.jpg,EMo7jZAput4
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,7,+2,비버의 이빨,457033,2026.06.08,,깔끔맨,"73,300",https://img.youtube.com/vi/ylrpgQXV-eQ/mqdefault.jpg,ylrpgQXV-eQ
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,8,-2,세차중 갑자기 나타난 강아지,394819,2026.06.04,,순사사삭,"10,700",https://img.youtube.com/vi/AMHChoAUqz4/mqdefault.jpg,AMHChoAUqz4
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,9,NEW,고압 컵 세척기 압착식 싱크대 설치형,393015,2026.06.09,,Asmodeus,"419,000",https://img.youtube.com/vi/b9i0JGB41zo/mqdefault.jpg,b9i0JGB41zo
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,10,-7,Dış Görünüşe Güvenmenin Asla İyi Bir Fikir Olmamasının Nedeni Budur:,387998,2026.06.09,"#insandavranışı,#psikoloji",비전학,"21,600",https://img.youtube.com/vi/Bmscpm0bcng/mqdefault.jpg,Bmscpm0bcng
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,11,0,LX 25년 캠페인 - 엘엑씁니다 (30s),352345,2025.12.17,"#LX,#LX그룹",LX그룹,"2,550",https://img.youtube.com/vi/ewoCO-H0ZQE/mqdefault.jpg,ewoCO-H0ZQE
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,12,NEW,Farkına Bile Varmadan Evliliklerini Kurtardı.,318266,2026.06.10,"#ilişkiler,#çiftler",비전학,"21,600",https://img.youtube.com/vi/7BtruH-VBRk/mqdefault.jpg,7BtruH-VBRk
일간,2026-06-10,shorts,한국,과학기술,조회수 순위,13,+3,당신의 건강한 '이'가 곧 나의 행복입니다.,306894,2026.06.02,"#디오임플란트,#임플란트",DIO IMPLANT,"19,800",https://img.youtube.com/vi/A93XSAwlosk/mqdefault.jpg,A93XSAwlosk
