Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,교육,조회수 순위,1,+6,6년간 딸에게 월급은 커녕 반찬값도 안주던 90살 아버지의 진심,1697063,2026.06.05,,캠히어로,"159,000",https://img.youtube.com/vi/t4T2P-Ahdr4/mqdefault.jpg,t4T2P-Ahdr4
일간,2026-06-10,shorts,한국,교육,조회수 순위,2,0,위이잉~ 튼튼쌤과 색깔 모기를 잡아요 🦟,1591252,2026.05.26,"#핑크퐁,#튼튼쌤",핑크퐁 (인기 동요・동화),"16,500,000",https://img.youtube.com/vi/qBKbtylVlhE/mqdefault.jpg,qBKbtylVlhE
일간,2026-06-10,shorts,한국,교육,조회수 순위,3,0,수영 천재가 집에서 하는 미친 훈련법,1273567,2026.05.18,"#수영,#수영선수",지구촌픽,"104,000",https://img.youtube.com/vi/KVAQJMDo2Eo/mqdefault.jpg,KVAQJMDo2Eo
일간,2026-06-10,shorts,한국,교육,조회수 순위,4,+1,눈만 보고 맞추면 진짜 특급 주술사 인정 ㄷㄷ 이 주술회전 캐릭터는 누구일까요? (정답은 영상 속에!),1081127,2026.06.06,#shorts,Clay Zoo,"433,000",https://img.youtube.com/vi/ACmNpL3nEY8/mqdefault.jpg,ACmNpL3nEY8
일간,2026-06-10,shorts,한국,교육,조회수 순위,5,+18,역대급 분노하는 추성훈,965837,2026.06.03,"#동기부여,#감동",짧은명언:AWAKE,"205,000",https://img.youtube.com/vi/3FEadcJGaMM/mqdefault.jpg,3FEadcJGaMM
일간,2026-06-10,shorts,한국,교육,조회수 순위,6,+2,태어나자마자 너무 착하면 생기는 일,865809,2026.06.06,"#강형욱,#강아지",숏슈타인,"2,840",https://img.youtube.com/vi/4I0FDWIJEVo/mqdefault.jpg,4I0FDWIJEVo
일간,2026-06-10,shorts,한국,교육,조회수 순위,7,+26,도심 한복판에서 불꽃이? 중장비 작업 중 마주친 아찔한 전기 화재,823722,2026.06.05,"#worker,#process",Core Craft (코어 크래프트),"3,830",https://img.youtube.com/vi/7H0WtsAHfMA/mqdefault.jpg,7H0WtsAHfMA
일간,2026-06-10,shorts,한국,교육,조회수 순위,8,+3,아기가 된 뽀로로 10초 요약👶🏻,808094,2026.05.08,"#아기뽀로로,#뽀로로9기",뽀로로(Pororo),"7,400,000",https://img.youtube.com/vi/vwi2jUC3Bhs/mqdefault.jpg,vwi2jUC3Bhs
일간,2026-06-10,shorts,한국,교육,조회수 순위,9,-5,영수증을 만지지 마세요! 🧾,798319,2026.06.05,,The Daily Short,"60,700",https://img.youtube.com/vi/nIVdNUNmdlM/mqdefault.jpg,nIVdNUNmdlM
일간,2026-06-10,shorts,한국,교육,조회수 순위,10,-9,교권보호국이 시험지를 바꾼 이유,785303,2026.06.06,"#참교육,#김무열",영화한입하실,"24,300",https://img.youtube.com/vi/-3SFcnEHV3A/mqdefault.jpg,-3SFcnEHV3A
