Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,1,+1,그녀가 사나운소를잠재운 방법,9467593,2026.05.12,"#투우,#황소",주주줍줍,"76,300",https://img.youtube.com/vi/J_IzgVHU33U/mqdefault.jpg,J_IzgVHU33U
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,2,+7,베테랑 선원이 보여주는 완벽한 타이밍의 선박 닻 투하 현장,3314733,2026.06.02,"#worker,#process",Runtime Log,"26,800",https://img.youtube.com/vi/_Da5vfqSjUU/mqdefault.jpg,_Da5vfqSjUU
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,3,+4,덤프트럭 무게로 철근 구부리기,2680739,2026.06.05,"#worker,#process",방구석장인,"9,710",https://img.youtube.com/vi/ZUx8IAghPlQ/mqdefault.jpg,ZUx8IAghPlQ
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,4,+55,건축물 유도 해체 공법: 구조적 계산을 통한 안전한 건물 철거 과정,2323986,2026.06.07,"#worker,#process",Runtime Log,"26,800",https://img.youtube.com/vi/_V80tgTp0_4/mqdefault.jpg,_V80tgTp0_4
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,5,-2,공중에 뜬 거대 구조물이 완벽하게 맞물리는 경이로운 조립 순간,2165790,2026.06.04,"#worker,#process",Runtime Log,"26,800",https://img.youtube.com/vi/Ax57IBeorEE/mqdefault.jpg,Ax57IBeorEE
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,6,0,공사장 천재들이 벽돌을 옮기는 소름 돋는 방법,2104713,2026.05.30,"#worker,#process",웃겻냥,"7,240",https://img.youtube.com/vi/68qfrmS0Pnw/mqdefault.jpg,68qfrmS0Pnw
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,7,-2,지붕 벌집 제거 전문가의 손길 | 도구 하나로 완벽 포획,2097540,2026.03.22,"#worker,#process",Worker's Brief,"49,400",https://img.youtube.com/vi/gGeTwDI8UgU/mqdefault.jpg,gGeTwDI8UgU
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,8,-7,습식 숫돌 그라인더로 완벽하게 도끼 날 갈기,2015724,2026.06.05,"#worker,#process",방구석장인,"9,710",https://img.youtube.com/vi/_y_6NiU0Zog/mqdefault.jpg,_y_6NiU0Zog
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,9,+1,수동 대형 톱(Single Buck)으로 통나무를 완벽하게 절단하는 프로의 기술,1687898,2026.06.08,"#worker,#process",웃겻냥,"7,240",https://img.youtube.com/vi/DdULykKe09E/mqdefault.jpg,DdULykKe09E
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,10,-2,초콜릿 분수 대소동: 젤리 눈알 에디션! 🍫👀,1423109,2026.04.12,,Funtix Korean,"53,500",https://img.youtube.com/vi/KyiEX4lp5sQ/mqdefault.jpg,KyiEX4lp5sQ
