Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,1,0,그녀가 사나운소를잠재운 방법,8335394,2026.05.12,"#투우,#황소",주주줍줍,"82,500",https://img.youtube.com/vi/J_IzgVHU33U/mqdefault.jpg,J_IzgVHU33U
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,2,+2,건축물 유도 해체 공법: 구조적 계산을 통한 안전한 건물 철거 과정,6270556,2026.06.07,"#worker,#process",Runtime Log,"28,200",https://img.youtube.com/vi/_V80tgTp0_4/mqdefault.jpg,_V80tgTp0_4
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,3,+3,공사장 천재들이 벽돌을 옮기는 소름 돋는 방법,1793629,2026.05.30,"#worker,#process",웃겻냥,"7,530",https://img.youtube.com/vi/68qfrmS0Pnw/mqdefault.jpg,68qfrmS0Pnw
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,4,+6,초콜릿 분수 대소동: 젤리 눈알 에디션! 🍫👀,1668123,2026.04.12,,Funtix Korean,"54,100",https://img.youtube.com/vi/KyiEX4lp5sQ/mqdefault.jpg,KyiEX4lp5sQ
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,5,0,공중에 뜬 거대 구조물이 완벽하게 맞물리는 경이로운 조립 순간,1643930,2026.06.04,"#worker,#process",Runtime Log,"28,200",https://img.youtube.com/vi/Ax57IBeorEE/mqdefault.jpg,Ax57IBeorEE
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,6,+10,곡괭이 두 자루로 배수구 덮개 여는 기술,1378493,2026.06.07,"#worker,#process",K-hope,"29,000",https://img.youtube.com/vi/eh3gLCIiAAs/mqdefault.jpg,eh3gLCIiAAs
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,7,+15,낚시하는데 기가막히는 개소름 ㅋ,1327193,2026.05.14,"#shorts,#쇼츠",판다-픽,"38,600",https://img.youtube.com/vi/RgeASJ1MtIU/mqdefault.jpg,RgeASJ1MtIU
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,8,+7,역대급 웃긴 방탈출 랭킹 TOP5,1225439,2026.02.04,,랭킹강,"215,000",https://img.youtube.com/vi/e_jfLg0pxCw/mqdefault.jpg,e_jfLg0pxCw
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,9,+2,초귀욤🩷 음료수 미니어처 만들기🧃 DIY  miniature drink,1182651,2024.04.20,,Juno Craft 주노 크래프트,"4,840,000",https://img.youtube.com/vi/FSEsv-39q5c/mqdefault.jpg,FSEsv-39q5c
일간,2026-06-10,shorts,한국,노하우/스타일,조회수 순위,10,-7,덤프트럭 무게로 철근 구부리기,1088462,2026.06.05,"#worker,#process",방구석장인,"10,100",https://img.youtube.com/vi/ZUx8IAghPlQ/mqdefault.jpg,ZUx8IAghPlQ
