Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,1,NEW,버스보다 빨랐던 엄마의 본능  / YTN,1806348,2026.06.09,#shorts,YTN,"5,350,000",https://img.youtube.com/vi/Wf_LCsq2lD4/mqdefault.jpg,Wf_LCsq2lD4
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,2,+266,수구레국밥 먹으러 다시 왔습니다!,1761922,2026.06.08,"#청도소머리국밥,#한동훈",한동훈,"359,000",https://img.youtube.com/vi/eWhpFNt6OTc/mqdefault.jpg,eWhpFNt6OTc
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,3,NEW,잠실에 등장한 '롤스로이스'의 정체,1632626,2026.06.09,,뉴스팩트,"141,000",https://img.youtube.com/vi/E8LVobfMQFI/mqdefault.jpg,E8LVobfMQFI
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,4,+32,학폭기록 삭제한 교장에게 제대로 열받은 유기홍,920264,2026.06.04,"#정치초심,#이재명",정치초심,"45,900",https://img.youtube.com/vi/ZCcwXL9zFWY/mqdefault.jpg,ZCcwXL9zFWY
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,5,NEW,올림픽공원에 등장한... 이재명 지지자,897138,2026.06.08,,HOT이슈,"125,000",https://img.youtube.com/vi/ssSqU5sG6fo/mqdefault.jpg,ssSqU5sG6fo
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,6,+3,"""이번엔 왜 조용하냐""  / YTN",891019,2026.06.08,#shorts,YTN,"5,350,000",https://img.youtube.com/vi/iZ1oeLEG-Ec/mqdefault.jpg,iZ1oeLEG-Ec
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,7,NEW,개빡친 이준석,846935,2026.06.08,"#재선거,#선관위",정치랑,"40,199",https://img.youtube.com/vi/QueptKQplps/mqdefault.jpg,QueptKQplps
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,8,+193,"한국군을 무시한 영국군이 무릎꿇고 사과한 이유?...""충격""",804821,2026.06.07,,토종한국인,"70,400",https://img.youtube.com/vi/U3LQnJ8Ifzw/mqdefault.jpg,U3LQnJ8Ifzw
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,9,-6,예? 콜라가 공짜라고요?,778286,2026.06.07,#shorts,크라임스낵,"27,100",https://img.youtube.com/vi/brZhohLioQU/mqdefault.jpg,brZhohLioQU
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,10,+8,기초연금 탈락하셨다고요? 이제는 방문 없이 신청됩니다!📝,763260,2026.05.26,"#보건복지부,#국민연금공단",보건복지부TV,"142,000",https://img.youtube.com/vi/qCvyyZNUFU4/mqdefault.jpg,qCvyyZNUFU4
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,11,+47,"놀란 일본기자, 너무 솔직한 이대통령~!!",756591,2026.06.08,"#이재명대통령,#이대통령",이슈카톡,"530,000",https://img.youtube.com/vi/3GsKW4Z9ZtU/mqdefault.jpg,3GsKW4Z9ZtU
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,12,+99,“선관위 독립성이 곧 무책임으로 이어져서는 안 돼”,724447,2026.06.08,"#경희대학교,#대학생",TBC뉴스,"244,000",https://img.youtube.com/vi/_ppxuffIpi4/mqdefault.jpg,_ppxuffIpi4
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,13,NEW,"[브레이킹 나우] 총학생회 대표 ""제2의 민주화운동 원치 않지만...""",706656,2026.06.08,"#shorts,#브레이킹나우",뉴스TVCHOSUN,"3,100,000",https://img.youtube.com/vi/T78q8DUHEJQ/mqdefault.jpg,T78q8DUHEJQ
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,14,NEW,이재명에 경고하는 2030 청년들,704434,2026.06.08,"#이재명,#지방선거",강작가,"131,000",https://img.youtube.com/vi/bYTN-4Uba64/mqdefault.jpg,bYTN-4Uba64
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,15,NEW,다정한 남편 한동훈 의원의 눈에서 꿀 떨어지는 순간,678910,2026.06.09,"#한동훈,#진은정",정치한판,"22,200",https://img.youtube.com/vi/146uoqadmw8/mqdefault.jpg,146uoqadmw8
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,16,-12,"0:0 추가시간 6분, 그리고 VAR...",677337,2026.06.07,"#JTBC,#Shorts",JTBC News,"4,860,000",https://img.youtube.com/vi/x4Eckm4sZXg/mqdefault.jpg,x4Eckm4sZXg
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,17,NEW,선관위 꼬리자르기 걸렸다! 이 대통령의 선관위 참교육,650718,2026.06.08,#선관위방해공작,국민이 주인이다,"215,000",https://img.youtube.com/vi/xphwsQT-J4k/mqdefault.jpg,xphwsQT-J4k
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,18,-17,아무 일도 없었는데... JTBC 왜 이래?,643991,2026.06.07,,HOT이슈,"125,000",https://img.youtube.com/vi/h6Q0dC-8TJQ/mqdefault.jpg,h6Q0dC-8TJQ
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,19,-8,김부겸이 훨씬 나은데 왜? 노영희 변호사의 대구 총선 분석,630911,2026.06.06,"#김부겸,#노영희",시사맛집,"444,000",https://img.youtube.com/vi/JE6paSXqMok/mqdefault.jpg,JE6paSXqMok
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,20,+112,황당한 대통령의 일침,619357,2026.06.05,"#이재명,#한전",민심이다,"23,900",https://img.youtube.com/vi/a6GqL1IpfGo/mqdefault.jpg,a6GqL1IpfGo
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,21,NEW,"월드컵 앞둔 손흥민, ""저 뭐 달라진 거 없어요?""",608936,2026.06.09,"#JTBC,#Shorts",JTBC News,"4,860,000",https://img.youtube.com/vi/-xaMrq7wzZw/mqdefault.jpg,-xaMrq7wzZw
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,22,+296,강훈식 국무총리설 ...,604175,2026.06.06,"#강훈식,#강훈식비서실장",잼있는티브이,"17,300",https://img.youtube.com/vi/AUeINl3NkWo/mqdefault.jpg,AUeINl3NkWo
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,23,+9,중국의 살벌한 검열 수준  / YTN,600549,2026.06.05,#shorts,YTN,"5,350,000",https://img.youtube.com/vi/S86L8_2KL_8/mqdefault.jpg,S86L8_2KL_8
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,24,-17,경찰버스가 잠실에 60대나?,591838,2026.06.07,"#Shorts,#민경욱TV",[민경욱 TV],"243,000",https://img.youtube.com/vi/RpBdTzDjUo4/mqdefault.jpg,RpBdTzDjUo4
일간,2026-06-10,shorts,한국,뉴스/정치,조회수 순위,25,NEW,용남이형 낙선 인사,576564,2026.06.08,"#김용남,#민주당",정치고고,"51,200",https://img.youtube.com/vi/Bdsw-M-03qg/mqdefault.jpg,Bdsw-M-03qg
