Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,동물,조회수 순위,1,+1,아기 오셀롯을 구해준 남성.,2184960,2026.02.25,,veltor-x8c,"422,000",https://img.youtube.com/vi/-Brzf1r06-k/mqdefault.jpg,-Brzf1r06-k
일간,2026-06-10,shorts,한국,동물,조회수 순위,2,-1,猫の世界にも序列は存在する🐈,1760762,2026.06.05,"#動物,#猫",やさしい心,"62,200",https://img.youtube.com/vi/SuuDafuSPY8/mqdefault.jpg,SuuDafuSPY8
일간,2026-06-10,shorts,한국,동물,조회수 순위,3,+69,느낌 전혀 다른 짱구 한일 비교,1453134,2026.06.07,,영드락,"6,540",https://img.youtube.com/vi/JAs1_n53H6Q/mqdefault.jpg,JAs1_n53H6Q
일간,2026-06-10,shorts,한국,동물,조회수 순위,4,+3,고양이가 환장할거같은 문어 장난감ㅋㅋ,862907,2026.05.29,"#문어,#웃긴장난감",피치덕,"53,200",https://img.youtube.com/vi/99Af8Ds2jpQ/mqdefault.jpg,99Af8Ds2jpQ
일간,2026-06-10,shorts,한국,동물,조회수 순위,5,-2,물고기 인형 앞에서 무슨 일이?,812829,2025.11.16,"#댕댕이,#강아지",10초뉴스,"56,900",https://img.youtube.com/vi/iNkhOx9svW4/mqdefault.jpg,iNkhOx9svW4
일간,2026-06-10,shorts,한국,동물,조회수 순위,6,0,(6000만뷰) 창과방패,800067,2026.03.12,"#강아지,#pets",비숑타임 방탄이,"71,100",https://img.youtube.com/vi/P6Y1da-F0p8/mqdefault.jpg,P6Y1da-F0p8
일간,2026-06-10,shorts,한국,동물,조회수 순위,7,+3,건초만 먹던 말이 바나나 맛을 알아버렸더니?ㅋㅋ,783951,2026.06.08,"#동물,#말",펫파라치,"61,200",https://img.youtube.com/vi/zONJFdGTgng/mqdefault.jpg,zONJFdGTgng
일간,2026-06-10,shorts,한국,동물,조회수 순위,8,-4,집사 장난이 고양이 루틴에 추가되는 과정ㅋ,762342,2026.05.22,"#고양이,#고양이루틴",스트로베리 터틀,"82,800",https://img.youtube.com/vi/6iF8fZg5zM4/mqdefault.jpg,6iF8fZg5zM4
일간,2026-06-10,shorts,한국,동물,조회수 순위,9,-1,이번엔.. 쌀 줄 아는 녀석,746451,2026.04.29,,우스꽝스러운동물들,"28,100",https://img.youtube.com/vi/rfhQNgxB1HE/mqdefault.jpg,rfhQNgxB1HE
일간,2026-06-10,shorts,한국,동물,조회수 순위,10,+1,발톱 깎으면 자꾸 깨무는 고양이. 3년차 집사가 터득한 방법,717089,2026.06.07,,냥심멍심,"29,500",https://img.youtube.com/vi/A36pBDrVu60/mqdefault.jpg,A36pBDrVu60
일간,2026-06-10,shorts,한국,동물,조회수 순위,11,-6,너가 어떻게 맹수야,687124,2026.05.22,"#애니멀봐,#shorts",SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"5,050,000",https://img.youtube.com/vi/GUHqBexP_Fw/mqdefault.jpg,GUHqBexP_Fw
일간,2026-06-10,shorts,한국,동물,조회수 순위,12,NEW,쥐 잡다가 사람 잡겠네,660796,2026.06.07,,하얀낙타,"30,400",https://img.youtube.com/vi/NkjD99XSOJA/mqdefault.jpg,NkjD99XSOJA
일간,2026-06-10,shorts,한국,동물,조회수 순위,13,+1,달리는 차에서 던져진 아기 리트리버 이야기,659172,2026.06.02,"#강아지,#리트리버",피치덕,"53,200",https://img.youtube.com/vi/_e8BGD4ILfs/mqdefault.jpg,_e8BGD4ILfs
일간,2026-06-10,shorts,한국,동물,조회수 순위,14,NEW,드디어 인사를 제대로 배운 갱이씨,656005,2026.06.08,,김양갱은 못말려,"251,000",https://img.youtube.com/vi/o_530ECp5TM/mqdefault.jpg,o_530ECp5TM
일간,2026-06-10,shorts,한국,동물,조회수 순위,15,0,🧖‍♀️이너뷰티까지 관리하겠어,629858,2026.02.18,"#asmr,#고양이",김호섭 Hoseob,"371,000",https://img.youtube.com/vi/vfrlkOR8UIY/mqdefault.jpg,vfrlkOR8UIY
일간,2026-06-10,shorts,한국,동물,조회수 순위,16,-7,누워서 개껌먹기인 강아지 허들 실력 🐶💨,613956,2025.11.28,"#보더콜리,#천재견",귯걸,"72,200",https://img.youtube.com/vi/hJGrNZDY3Co/mqdefault.jpg,hJGrNZDY3Co
일간,2026-06-10,shorts,한국,동물,조회수 순위,17,+3,A bit disgusting but I love watching.,611637,2024.12.25,#cat,ge jin,"50,700",https://img.youtube.com/vi/L7RxVkEoxa0/mqdefault.jpg,L7RxVkEoxa0
일간,2026-06-10,shorts,한국,동물,조회수 순위,18,+89,할머니 대신 복수하는 강아지,584807,2026.03.11,"#Shorts,#강아지",오늘의 푸딩,"39,000",https://img.youtube.com/vi/D8FJvg_-gbk/mqdefault.jpg,D8FJvg_-gbk
일간,2026-06-10,shorts,한국,동물,조회수 순위,19,+11,❤️4800만뷰❤️미안해 ㅠㅠ 그런데 너 표정 너무 웃겨서 엄마 아빠 배꼽 아파 😂,570631,2026.01.14,"#강아지,#댕댕이",펀브천사,"256,000",https://img.youtube.com/vi/-QGKKwfH94Y/mqdefault.jpg,-QGKKwfH94Y
일간,2026-06-10,shorts,한국,동물,조회수 순위,20,+61,인과응보 당하는 고양이 TOP6,561392,2026.06.07,"#cat,#고양이",냥냥펀치,"17,600",https://img.youtube.com/vi/-xagxZTZaW8/mqdefault.jpg,-xagxZTZaW8
일간,2026-06-10,shorts,한국,동물,조회수 순위,21,-2,입양되고싶어서 리트리버를 따라하는 유기견이래ㅜ,557175,2026.06.07,"#유기견,#강아지",피치덕,"53,200",https://img.youtube.com/vi/6SXDpcpJHsM/mqdefault.jpg,6SXDpcpJHsM
일간,2026-06-10,shorts,한국,동물,조회수 순위,22,-1,호랑이 입에 망치질을 할 수밖에 없었던 충격적인 이유,553823,2026.03.25,"#호랑이,#동물구조",오규오규,"105,000",https://img.youtube.com/vi/pGSkXUSk8jE/mqdefault.jpg,pGSkXUSk8jE
일간,2026-06-10,shorts,한국,동물,조회수 순위,23,+35,왜 안들어가는거지?,521033,2026.06.07,,유머스테이크,"6,540",https://img.youtube.com/vi/JolVyvBt5-I/mqdefault.jpg,JolVyvBt5-I
일간,2026-06-10,shorts,한국,동물,조회수 순위,24,NEW,짱구 훈이 한일 온도 차이,510773,2026.06.09,,영드락,"6,540",https://img.youtube.com/vi/US871hxfUME/mqdefault.jpg,US871hxfUME
일간,2026-06-10,shorts,한국,동물,조회수 순위,25,NEW,리트리버가 다른 개들한테도 천사일까?,483385,2026.06.08,,아기사슴소보로,"91,300",https://img.youtube.com/vi/f6glksZIJTc/mqdefault.jpg,f6glksZIJTc
일간,2026-06-10,shorts,한국,동물,조회수 순위,26,+1,닭날개=냥다리,481589,2025.12.10,,갑꿍이 : 갑자기 궁금한 이야기,"226,000",https://img.youtube.com/vi/pQZVwYXelHI/mqdefault.jpg,pQZVwYXelHI
일간,2026-06-10,shorts,한국,동물,조회수 순위,27,-9,아기 재규어런디가 하이에나들에게 공격 받고 있었습니다.,470755,2026.03.15,,veltor-x8c,"422,000",https://img.youtube.com/vi/nHuIy2K8Geg/mqdefault.jpg,nHuIy2K8Geg
