Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,동물,조회수 순위,1,0,아기 오셀롯을 구해준 남성.,2668024,2026.02.25,,veltor-x8c,"430,000",https://img.youtube.com/vi/-Brzf1r06-k/mqdefault.jpg,-Brzf1r06-k
일간,2026-06-10,shorts,한국,동물,조회수 순위,2,+1,느낌 전혀 다른 짱구 한일 비교,1402553,2026.06.07,,영드락,"6,970",https://img.youtube.com/vi/JAs1_n53H6Q/mqdefault.jpg,JAs1_n53H6Q
일간,2026-06-10,shorts,한국,동물,조회수 순위,3,+7,발톱 깎으면 자꾸 깨무는 고양이. 3년차 집사가 터득한 방법,1206835,2026.06.07,,냥심멍심,"29,700",https://img.youtube.com/vi/A36pBDrVu60/mqdefault.jpg,A36pBDrVu60
일간,2026-06-10,shorts,한국,동물,조회수 순위,4,-2,猫の世界にも序列は存在する🐈,1019977,2026.06.05,"#動物,#猫",やさしい心,"62,200",https://img.youtube.com/vi/SuuDafuSPY8/mqdefault.jpg,SuuDafuSPY8
일간,2026-06-10,shorts,한국,동물,조회수 순위,5,-1,고양이가 환장할거같은 문어 장난감ㅋㅋ,867189,2026.05.29,"#문어,#웃긴장난감",피치덕,"53,700",https://img.youtube.com/vi/99Af8Ds2jpQ/mqdefault.jpg,99Af8Ds2jpQ
일간,2026-06-10,shorts,한국,동물,조회수 순위,6,-1,물고기 인형 앞에서 무슨 일이?,818598,2025.11.16,"#댕댕이,#강아지",10초뉴스,"57,200",https://img.youtube.com/vi/iNkhOx9svW4/mqdefault.jpg,iNkhOx9svW4
일간,2026-06-10,shorts,한국,동물,조회수 순위,7,NEW,하나만 더 줘 댕댕이가 고기를 두조각 달라는 이유,792548,2026.06.09,"#강아지,#댕댕이",무이,"79,500",https://img.youtube.com/vi/zbRTU0-53Ec/mqdefault.jpg,zbRTU0-53Ec
일간,2026-06-10,shorts,한국,동물,조회수 순위,8,NEW,계속 덤비는 웰시코기를 참교육 시킨 보더콜리 견주ㄷㄷ,780191,2026.06.10,"#보더콜리,#웰시코기",피치덕,"53,700",https://img.youtube.com/vi/9qUba6A69Pk/mqdefault.jpg,9qUba6A69Pk
일간,2026-06-10,shorts,한국,동물,조회수 순위,9,+115,짱구 록밴드 한일 비교,728741,2026.06.08,,영드락,"6,970",https://img.youtube.com/vi/weq4DhhxtH0/mqdefault.jpg,weq4DhhxtH0
일간,2026-06-10,shorts,한국,동물,조회수 순위,10,-1,이번엔.. 쌀 줄 아는 녀석,723439,2026.04.29,,우스꽝스러운동물들,"28,700",https://img.youtube.com/vi/rfhQNgxB1HE/mqdefault.jpg,rfhQNgxB1HE
일간,2026-06-10,shorts,한국,동물,조회수 순위,11,-3,집사 장난이 고양이 루틴에 추가되는 과정ㅋ,717860,2026.05.22,"#고양이,#고양이루틴",스트로베리 터틀,"83,600",https://img.youtube.com/vi/6iF8fZg5zM4/mqdefault.jpg,6iF8fZg5zM4
일간,2026-06-10,shorts,한국,동물,조회수 순위,12,+52,위급한 상황에서 선택한 어미고양이의 헌신적인 사랑,714158,2026.05.30,"#고양이,#어미고양이",멍제로,"27,500",https://img.youtube.com/vi/7fqJTXtiOR4/mqdefault.jpg,7fqJTXtiOR4
일간,2026-06-10,shorts,한국,동물,조회수 순위,13,-7,(6000만뷰) 창과방패,714077,2026.03.12,"#강아지,#pets",비숑타임 방탄이,"71,400",https://img.youtube.com/vi/P6Y1da-F0p8/mqdefault.jpg,P6Y1da-F0p8
일간,2026-06-10,shorts,한국,동물,조회수 순위,14,NEW,털 없는 머리를 처음 본 원숭이의 반응ㅋㅋ,645755,2026.06.09,"#동물,#원숭이",펫파라치,"61,200",https://img.youtube.com/vi/flBXMYWEUD0/mqdefault.jpg,flBXMYWEUD0
일간,2026-06-10,shorts,한국,동물,조회수 순위,15,+53,부처님은 보이는 모습이 전부가 아니다. buddha,644185,2026.03.10,"#buddha,#motivation",부처의마음,"103,000",https://img.youtube.com/vi/m1jnsC6cSVw/mqdefault.jpg,m1jnsC6cSVw
일간,2026-06-10,shorts,한국,동물,조회수 순위,16,-3,달리는 차에서 던져진 아기 리트리버 이야기,620030,2026.06.02,"#강아지,#리트리버",피치덕,"53,700",https://img.youtube.com/vi/_e8BGD4ILfs/mqdefault.jpg,_e8BGD4ILfs
