Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,스포츠,조회수 순위,1,0,완벽한 스윕을 만드는 골반의 힘,5117009,2026.06.02,"#fighter,#technique",풍풍이네,"24,500",https://img.youtube.com/vi/8e1YqBelxdU/mqdefault.jpg,8e1YqBelxdU
일간,2026-06-10,shorts,한국,스포츠,조회수 순위,2,0,링 위에서 펼쳐지는 예술적인 타격의 미학,2477560,2026.05.31,"#fighter,#technique",풍풍이네,"24,500",https://img.youtube.com/vi/v6qy6KuIysA/mqdefault.jpg,v6qy6KuIysA
일간,2026-06-10,shorts,한국,스포츠,조회수 순위,3,NEW,역대급 고인물의 미친 축구 IQ999,1735702,2026.06.09,"#축구,#프리킥",숏포츠,"22,300",https://img.youtube.com/vi/qNwVxrWBxKs/mqdefault.jpg,qNwVxrWBxKs
일간,2026-06-10,shorts,한국,스포츠,조회수 순위,4,NEW,"눈빛부터 달라졌다, 캡틴 손흥민!",1499213,2026.06.09,"#체코,#멕시코",KFATV 대한민국 축구 국가대표팀,"565,000",https://img.youtube.com/vi/wzxo1etKaH8/mqdefault.jpg,wzxo1etKaH8
일간,2026-06-10,shorts,한국,스포츠,조회수 순위,5,NEW,2:1인데 총대신 맞다이를 꺼내든 경찰 🤯🇺🇸,1420172,2026.06.06,"#ufc,#mma",빌랜드,"92,899",https://img.youtube.com/vi/Zke3Qfak01g/mqdefault.jpg,Zke3Qfak01g
일간,2026-06-10,shorts,한국,스포츠,조회수 순위,6,-3,F1 스탑 챌린지,1336054,2026.05.06,"#f1,#formula1",SNE - Sports Nice Entertainment,"122,000",https://img.youtube.com/vi/4KyCA_Yt-zk/mqdefault.jpg,4KyCA_Yt-zk
일간,2026-06-10,shorts,한국,스포츠,조회수 순위,7,-1,Chest Stand Challenge⁉️🫨,1285001,2026.06.05,,팀일루션 노성율,"11,400,000",https://img.youtube.com/vi/XrbIx024gR8/mqdefault.jpg,XrbIx024gR8
일간,2026-06-10,shorts,한국,스포츠,조회수 순위,8,-3,가드 안 했다가 자존심 구겨졌다,1217926,2026.05.25,"#무에타이,#격투기",세상의 모든 귀염뽀짝,"25,900",https://img.youtube.com/vi/PRhQRmXSK70/mqdefault.jpg,PRhQRmXSK70
일간,2026-06-10,shorts,한국,스포츠,조회수 순위,9,-5,Splits Challenge⁉️😱,1104700,2026.01.30,,팀일루션 노성율,"11,400,000",https://img.youtube.com/vi/U1O4jmTiXZs/mqdefault.jpg,U1O4jmTiXZs
일간,2026-06-10,shorts,한국,스포츠,조회수 순위,10,NEW,"이정후, 또 4안타! 72년 만에 대기록 ㄷㄷ",900841,2026.06.09,,조미디,"39,800",https://img.youtube.com/vi/e9bdLEEleAU/mqdefault.jpg,e9bdLEEleAU
