Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,1,+3,개웃긴 약먹는 아기 반응 랭킹 TOP7,8334511,2026.04.28,,랭킹김,"304,000",https://img.youtube.com/vi/FjpLxP6tsj0/mqdefault.jpg,FjpLxP6tsj0
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,2,+39,주사 맞는 날💉 | Reacts,7366793,2026.06.09,"#유백합,#kkubi",유백합 kkubi99,"22,700,000",https://img.youtube.com/vi/1lU24sUpv8o/mqdefault.jpg,1lU24sUpv8o
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,3,-2,뽀뽀는 몇번?💋 | Reacts,5847892,2026.06.07,"#유백합,#kkubi",유백합 kkubi99,"22,700,000",https://img.youtube.com/vi/A7Txnw35rPg/mqdefault.jpg,A7Txnw35rPg
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,4,-2,제대로 부어 주세요 | Reacts,5506063,2026.02.01,"#유백합,#kkubi",유백합 kkubi99,"22,700,000",https://img.youtube.com/vi/EHLs7YsDskc/mqdefault.jpg,EHLs7YsDskc
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,5,+3,10초 타이머 소정아 가능?,5326389,2026.06.05,"#춤추는곰돌,#춤추는곰돌의랜덤댄스",춤추는곰돌의 랜덤댄스,"3,980,000",https://img.youtube.com/vi/A60s0Lwx5bQ/mqdefault.jpg,A60s0Lwx5bQ
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,6,-1,고장난 우정💚♥️💛 | Reacts,5258986,2026.06.08,"#유백합,#kkubi",유백합 kkubi99,"22,700,000",https://img.youtube.com/vi/9elQXwxFQxI/mqdefault.jpg,9elQXwxFQxI
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,7,NEW,어미 소가 송아지에게 젖을 줄 때 생기는 일,4676142,2026.06.10,"#farming,#skills",FarmQuick,"39,300",https://img.youtube.com/vi/g3gK7S2-tlo/mqdefault.jpg,g3gK7S2-tlo
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,8,+1,When he lost his best friend🪨😭,3807972,2026.04.24,"#shorts,#funny",CuRe 구래,"33,600,000",https://img.youtube.com/vi/E64d2eYRHHU/mqdefault.jpg,E64d2eYRHHU
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,9,-6,젖소 자동 착유기 장착하는 방법,3632416,2026.06.05,"#farming,#skills",FarmQuick,"39,300",https://img.youtube.com/vi/SVm7QNeJMtE/mqdefault.jpg,SVm7QNeJMtE
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,10,0,가축 분뇨 자동 처리 장치로 우사 청소 노동력 줄이는 방법,3522806,2026.06.05,"#farming,#skills",FarmQuick,"39,300",https://img.youtube.com/vi/GNSdIQlY2Tk/mqdefault.jpg,GNSdIQlY2Tk
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,11,+5,어떤 감정이 나올까요?🤔 | Reacts,3254599,2026.01.31,"#유백합,#kkubi",유백합 kkubi99,"22,700,000",https://img.youtube.com/vi/iVimq4wUeoA/mqdefault.jpg,iVimq4wUeoA
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,12,-6,축사 안전을 위한 전기울타리 효과와 가축 교육 과정,2922646,2026.06.07,"#farming,#goat",FarmQuick,"39,300",https://img.youtube.com/vi/AHtWYBrHUj4/mqdefault.jpg,AHtWYBrHUj4
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,13,+7,Someone needs to stop her🍇🍮,2806318,2026.05.24,"#shorts,#tiktok",CuRe 구래,"33,600,000",https://img.youtube.com/vi/sEFy3W8WfiM/mqdefault.jpg,sEFy3W8WfiM
