Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,음악,조회수 순위,1,0,초대형 강철 코일의 역동적인 낙하 하역 과정,17300214,2026.06.03,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/JtpjWP9AyTk/mqdefault.jpg,JtpjWP9AyTk
일간,2026-06-10,shorts,한국,음악,조회수 순위,2,0,철근을 단단히 고정하는 방법: 기초 슬래브와 기둥 철근을 일체화하는 장인의 수작업 정착 공정,11039885,2026.06.03,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/fSjscMt7G6g/mqdefault.jpg,fSjscMt7G6g
일간,2026-06-10,shorts,한국,음악,조회수 순위,3,+16,거대 천연 원석의 놀라운 수작업 가공 기술,5534644,2026.06.02,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/E-VBsyvnurs/mqdefault.jpg,E-VBsyvnurs
일간,2026-06-10,shorts,한국,음악,조회수 순위,4,+1,배수로 콘크리트 덮개 수작업 분리 과정,5121704,2026.06.04,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/bMffoH_KpbQ/mqdefault.jpg,bMffoH_KpbQ
일간,2026-06-10,shorts,한국,음악,조회수 순위,5,+3,지하 매설 대형 하수관로 주변 암석 파쇄와 잔해 인양 과정,3655926,2026.06.03,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/jaKVj_T445A/mqdefault.jpg,jaKVj_T445A
일간,2026-06-10,shorts,한국,음악,조회수 순위,6,0,첨단 토목 기술: 지하 연속벽 공사 현장에서 쓰이는 거대 크람쉘 장비의 실제 구동 모습,3479161,2026.06.07,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/Pnu9PjXf9xM/mqdefault.jpg,Pnu9PjXf9xM
일간,2026-06-10,shorts,한국,음악,조회수 순위,7,0,철도 공사 현장에서 레일 위치를 조정하는 전문적인 방법,3478600,2026.05.26,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/fsDiedaVOHE/mqdefault.jpg,fsDiedaVOHE
일간,2026-06-10,shorts,한국,음악,조회수 순위,8,+1,전통 목조 주택 보수하는 방법: 현대식 중장비 없이 특수 철제 잭으로 대형 기둥을 정밀 인상하는 시공과정,3190891,2026.06.02,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/p6ID7h81xes/mqdefault.jpg,p6ID7h81xes
일간,2026-06-10,shorts,한국,음악,조회수 순위,9,+20,중장비를 활용한 완벽한 벽면 레벨링,3167103,2026.06.06,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/e_ICyMn3Mxg/mqdefault.jpg,e_ICyMn3Mxg
일간,2026-06-10,shorts,한국,음악,조회수 순위,10,+3,철도 작업자들이 수작업 고임목으로 거대한 열차를 멈추는 방법,3093199,2026.06.07,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/4tRykL2rYKU/mqdefault.jpg,4tRykL2rYKU
일간,2026-06-10,shorts,한국,음악,조회수 순위,11,-8,두꺼운 고철 프레임도 한 방에 관통하는 자동 천공 장비,2868843,2026.06.01,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/pre3SR0oVRM/mqdefault.jpg,pre3SR0oVRM
일간,2026-06-10,shorts,한국,음악,조회수 순위,12,+9,수작업으로 대형 화강석을 완벽하게 반으로 나누는 공정,2833714,2026.06.06,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/muYx7AyX8tw/mqdefault.jpg,muYx7AyX8tw
일간,2026-06-10,shorts,한국,음악,조회수 순위,13,+66,철골 기둥을 타고 올라가는 기발한 1인 작업대,2779408,2026.06.09,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/v10crswTIdQ/mqdefault.jpg,v10crswTIdQ
일간,2026-06-10,shorts,한국,음악,조회수 순위,14,+4,전통 아치교 구축하는 방법 : 망치질 소리와 함께 완성되는 완벽한 곡선의 미학,2646573,2026.06.06,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/rAuxK_qg4Iw/mqdefault.jpg,rAuxK_qg4Iw
일간,2026-06-10,shorts,한국,음악,조회수 순위,15,+8,전통 방식으로 선로를 놓는 방법: 현대 장비 없는 철도 시공 과정,2539112,2026.05.21,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/XdkwaAhVk8Q/mqdefault.jpg,XdkwaAhVk8Q
일간,2026-06-10,shorts,한국,음악,조회수 순위,16,+9,달궈진 철을 두드려 만드는 전통 크로우바의 모든 것,2372591,2026.06.04,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/Tj0NEmDxAuk/mqdefault.jpg,Tj0NEmDxAuk
일간,2026-06-10,shorts,한국,음악,조회수 순위,17,0,지하 인프라 구축: 전용 특수 고리와 굴착기로 완성하는 완벽한 배수관 조립 방식,2358369,2026.06.04,"#worker,#process",SnapWorks,"408,000",https://img.youtube.com/vi/kgJiaI6W05M/mqdefault.jpg,kgJiaI6W05M
