Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,코메디,조회수 순위,1,+2,간식 꿀팁🍪,2910157,2026.06.06,N/A,WOOJUN,"1,160,000",https://img.youtube.com/vi/wjnQq_KOa1k/mqdefault.jpg,wjnQq_KOa1k
일간,2026-06-10,shorts,한국,코메디,조회수 순위,2,NEW,명절날 늦잠 자면 안 되는 이유 ㅋㅋㅋ,2281366,2026.06.08,"#웃긴,#웃긴영상",사투리갬성,"71,900",https://img.youtube.com/vi/wlhp5ijl2iA/mqdefault.jpg,wlhp5ijl2iA
일간,2026-06-10,shorts,한국,코메디,조회수 순위,3,NEW,Гао Цзэюй перехитрил Вань Цзы,2079244,2026.06.08,N/A,Олег Ким,"2,710,000",https://img.youtube.com/vi/rC84dEUqC8I/mqdefault.jpg,rC84dEUqC8I
일간,2026-06-10,shorts,한국,코메디,조회수 순위,4,+1,자기방어,1849512,2026.05.30,N/A,SEUNGJAENIM 승재님,"190,000",https://img.youtube.com/vi/jVHYOHsLlUs/mqdefault.jpg,jVHYOHsLlUs
일간,2026-06-10,shorts,한국,코메디,조회수 순위,5,+21,호신술,1565495,2026.06.06,N/A,SEUNGJAENIM 승재님,"190,000",https://img.youtube.com/vi/ZxvB5bjRBsk/mqdefault.jpg,ZxvB5bjRBsk
일간,2026-06-10,shorts,한국,코메디,조회수 순위,6,NEW,Семья Тан Юйси хочет подарок от папы,1323797,2026.06.08,N/A,Олег Ким,"2,710,000",https://img.youtube.com/vi/rhSoHedYJes/mqdefault.jpg,rhSoHedYJes
일간,2026-06-10,shorts,한국,코메디,조회수 순위,7,-3,로맨틱 성공할 뻔했는데... 댕댕이의 참을성 부족으로 망함,1123874,2026.03.12,N/A,비타미니,"47,200",https://img.youtube.com/vi/B1XfsISiyUk/mqdefault.jpg,B1XfsISiyUk
일간,2026-06-10,shorts,한국,코메디,조회수 순위,8,-6,Сестра Тан Юйси хочет засмеяться,1054596,2026.06.07,N/A,Олег Ким,"2,710,000",https://img.youtube.com/vi/VclG12jZw_0/mqdefault.jpg,VclG12jZw_0
일간,2026-06-10,shorts,한국,코메디,조회수 순위,9,NEW,거미손 골키퍼 댕댕이,1045243,2026.06.08,"#shorts,#웃긴동물",킥맨,"104,000",https://img.youtube.com/vi/6YNQQE-0jZo/mqdefault.jpg,6YNQQE-0jZo
일간,2026-06-10,shorts,한국,코메디,조회수 순위,10,-9,Гао Цзэюй исполнил песню Tanir & Tyomcha - Да да да,1027210,2026.06.07,N/A,Олег Ким,"2,710,000",https://img.youtube.com/vi/WU7jzvP7hig/mqdefault.jpg,WU7jzvP7hig
