Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-13,shorts,한국,교육,조회수 순위,1,0,알록달록한 워터볼! 💦🔴🟢🔵🟡 | Pop the Colorful Balls,3980156,2026.02.11,"#리아차차,#shorts",리아차차 LiaChaCha - 인기동요,"553,000",https://img.youtube.com/vi/Fi1E25whE_M/mqdefault.jpg,Fi1E25whE_M
일간,2026-06-13,shorts,한국,교육,조회수 순위,2,+3,눈만 보고 맞추면 진짜 특급 주술사 인정 ㄷㄷ 이 주술회전 캐릭터는 누구일까요? (정답은 영상 속에!),1583516,2026.06.06,#shorts,Clay Zoo,"435,000",https://img.youtube.com/vi/ACmNpL3nEY8/mqdefault.jpg,ACmNpL3nEY8
일간,2026-06-13,shorts,한국,교육,조회수 순위,3,-1,정통 타코집의 역대급 반전,1394267,2026.06.03,"#영어듣기,#웹드라마",리핏어게인,"198,000",https://img.youtube.com/vi/WxdtbEg8v-U/mqdefault.jpg,WxdtbEg8v-U
일간,2026-06-13,shorts,한국,교육,조회수 순위,4,+2,18년 동안 매일 아침 껍질을 깐 아빠의 진짜 속마음,1332381,2026.06.07,"#오렌지,#메세지",짤파민,"17,800",https://img.youtube.com/vi/BMlvWB1fTDI/mqdefault.jpg,BMlvWB1fTDI
일간,2026-06-13,shorts,한국,교육,조회수 순위,5,-1,아기가 된 뽀로로 10초 요약👶🏻,1240917,2026.05.08,"#아기뽀로로,#뽀로로9기",뽀로로(Pororo),"7,410,000",https://img.youtube.com/vi/vwi2jUC3Bhs/mqdefault.jpg,vwi2jUC3Bhs
일간,2026-06-13,shorts,한국,교육,조회수 순위,6,+5,엘리베이터에서 모두가 같은 선택을 한 이유,1146331,2026.05.05,"#엘리베이터,#배려",지구촌픽,"109,000",https://img.youtube.com/vi/kAHsFZyA2Wk/mqdefault.jpg,kAHsFZyA2Wk
일간,2026-06-13,shorts,한국,교육,조회수 순위,7,-4,위이잉~ 튼튼쌤과 색깔 모기를 잡아요 🦟,1140486,2026.05.26,"#핑크퐁,#튼튼쌤",핑크퐁 (인기 동요・동화),"16,500,000",https://img.youtube.com/vi/qBKbtylVlhE/mqdefault.jpg,qBKbtylVlhE
일간,2026-06-13,shorts,한국,교육,조회수 순위,8,0,콤바인이 고장났어 1,1091259,2026.05.02,"#shorts,#클린뚝딱정비소",깨비키즈 [KEBIKIDS],"6,540,000",https://img.youtube.com/vi/inJIz7npVt0/mqdefault.jpg,inJIz7npVt0
일간,2026-06-13,shorts,한국,교육,조회수 순위,9,+1,봉봉이 커졌어요!,942085,2026.04.19,"#타요8기,#타요와중장비레인저스",꼬마버스 타요,"4,380,000",https://img.youtube.com/vi/K2njyGNw0w0/mqdefault.jpg,K2njyGNw0w0
일간,2026-06-13,shorts,한국,교육,조회수 순위,10,-1,뽀로로 9기 하이라이트 | 루피가 괴물에게 잡혀갔어요!,862837,2026.02.19,"#뽀로로9기,#뽀로로",뽀로로(Pororo),"7,410,000",https://img.youtube.com/vi/Gsm-1Dz5vj8/mqdefault.jpg,Gsm-1Dz5vj8
