Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,1,NEW,고등학생들이 단체로 전투복을 입고 등교한 이유,1480462,2026.06.13,"#군인,#부사관",K-엔진,"83,300",https://img.youtube.com/vi/KHB0CTvbYTE/mqdefault.jpg,KHB0CTvbYTE
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,2,NEW,이탈리아 한복 패션쇼에 영부인 등장하자 시선 집중,1458334,2026.06.13,"#이재명대통령,#김혜경여사",대한시민김상식,"95,000",https://img.youtube.com/vi/X2s5hbWzpWc/mqdefault.jpg,X2s5hbWzpWc
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,3,+93,이대통령 빙의한 김상욱 울산시장 때문에 울산이 난리난 이유,1136647,2026.06.12,"#이재명,#김상욱",정치한줄,"240,000",https://img.youtube.com/vi/DfFo-VCq-kc/mqdefault.jpg,DfFo-VCq-kc
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,4,+424,김승규라는 '벽'  / YTN,1015109,2026.06.12,#shorts,YTN,"5,350,000",https://img.youtube.com/vi/sifwU3VPmrA/mqdefault.jpg,sifwU3VPmrA
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,5,NEW,일단 돈부터 꺼내 놔,985266,2026.06.12,#shorts,크라임스낵,"28,800",https://img.youtube.com/vi/mV1IdVGlZWw/mqdefault.jpg,mV1IdVGlZWw
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,6,+36,블박차주님 톤이 살렸다ㅋㅋㅋ,982202,2026.06.12,,탄감자,"52,500",https://img.youtube.com/vi/cUfm7_lCyuQ/mqdefault.jpg,cUfm7_lCyuQ
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,7,-5,119 구급대원이 산모를 구급차에 태우지 않은 이유,879293,2026.06.10,,1분뉴스쇼,"208,000",https://img.youtube.com/vi/8P10rfDiGxU/mqdefault.jpg,8P10rfDiGxU
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,8,NEW,'핫 가이' 오현규… 월드컵 '결승골'로 증명  / KBS,849641,2026.06.12,#shorts,KBS News,"3,630,000",https://img.youtube.com/vi/rPAf3jphwEM/mqdefault.jpg,rPAf3jphwEM
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,9,NEW,이게 징역 30년? 눈물 흘린 김계리,812532,2026.06.12,,HOT이슈,"127,000",https://img.youtube.com/vi/_V7CKQBB0-k/mqdefault.jpg,_V7CKQBB0-k
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,10,NEW,4대 그룹 중에서 유일하게 이재용만 이탈리아 따라옴,811555,2026.06.12,"#이재명대통령,#이재용",대한시민김상식,"95,000",https://img.youtube.com/vi/KKafeSYkYeg/mqdefault.jpg,KKafeSYkYeg
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,11,-3,교사한테 악성민원 넣던 학부모가 장례식장까지 쫓아가 하는 말..ㄷㄷ,798236,2026.06.11,,거리의 무법자들,"166,000",https://img.youtube.com/vi/KmDSpj-zTvA/mqdefault.jpg,KmDSpj-zTvA
일간,2026-06-13,shorts,한국,뉴스/정치,조회수 순위,12,-3,기초연금 탈락하셨다고요? 이제는 방문 없이 신청됩니다!📝,737530,2026.05.26,"#보건복지부,#국민연금공단",보건복지부TV,"142,000",https://img.youtube.com/vi/qCvyyZNUFU4/mqdefault.jpg,qCvyyZNUFU4
