Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,1,0,엄마 까투리 | Shorts | 누가 내 케이크 먹었어?!,6678508,2026.06.05,"#까투리,#katuri",엄마 까투리,"1,470,000",https://img.youtube.com/vi/HCLhEh1nSsE/mqdefault.jpg,HCLhEh1nSsE
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,2,0,다 쓰러뜨려야되는데 식탁보를 너무 잘 빼서 벌어진 일,2763351,2026.06.08,,깊은밤호랑이,"16,700",https://img.youtube.com/vi/zONJ3YEUR-0/mqdefault.jpg,zONJ3YEUR-0
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,3,+60,최악의 빌런 참교육하는 김무열,1771515,2026.06.11,"#참교육,#김무열",무비포착,"38,000",https://img.youtube.com/vi/yyQx06yYf2U/mqdefault.jpg,yyQx06yYf2U
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,4,+6,115 - 엘라의 새 드레스👗🩷😶😶  |,1442594,2025.11.30,"#myghostfriend,#animation",dsand 디샌드,"10,400,000",https://img.youtube.com/vi/PWCsmXfXD24/mqdefault.jpg,PWCsmXfXD24
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,5,+129,학폭에 시달리는 아들을 강하게 키우는 방법,1428083,2026.06.11,"#영화,#영화쇼츠",숨은명화찾기,"22,300",https://img.youtube.com/vi/K5yMFju2kkE/mqdefault.jpg,K5yMFju2kkE
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,6,+3,조직을 잡기 위한 나화진의 역설계《참교육》,1129907,2026.06.11,"#참교육,#드라마",숏영드,"48,400",https://img.youtube.com/vi/KkX5riTbk38/mqdefault.jpg,KkX5riTbk38
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,7,NEW,미국에서 집 잘못 고르면 벌어지는 일,1103869,2026.06.13,,쑈옷,"464,000",https://img.youtube.com/vi/41_239Zr8b0/mqdefault.jpg,41_239Zr8b0
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,8,NEW,학생 팰 수 있는 교권국 나화진《참교육》,1103485,2026.06.13,"#참교육,#드라마",숏영드,"48,400",https://img.youtube.com/vi/ZerLPvELMrY/mqdefault.jpg,ZerLPvELMrY
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,9,-5,도박에 빠진 학생 참교육하는 김무열,1064388,2026.06.10,"#참교육,#김무열",무비포착,"38,000",https://img.youtube.com/vi/W2iBeUpYR5s/mqdefault.jpg,W2iBeUpYR5s
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,10,+1,"""저 같은 놈이 다시는 안 나오게 해주세요.""",1062565,2026.06.11,"#참교육,#영화추천",무비오션,"4,320",https://img.youtube.com/vi/RpZDzvzryEY/mqdefault.jpg,RpZDzvzryEY
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,11,+212,한국인 삥을 뜯으려다 터키에서 쫓겨난 도둑놈,1027026,2026.06.11,"#해외여행,#여행추천",세상에서 가장 가치있는 1분,"263,000",https://img.youtube.com/vi/OoyVHf65U1U/mqdefault.jpg,OoyVHf65U1U
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,12,+11,CHUL-SU VS YOUNG-HEE Squid Game Jump Rope Jelly Battle ASMR🦑,1011056,2025.08.02,"#오징어게임3,#줄넘기젤리",애플퐁 AFFLEFONG,"877,000",https://img.youtube.com/vi/2b5VIFQq-zM/mqdefault.jpg,2b5VIFQq-zM
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,13,-5,최고의 쉐프 이호영을 감동시킨 강성재의 오성잡채,1004436,2026.06.08,"#취사병전설이되다,#박지훈",어도어,"8,230",https://img.youtube.com/vi/aobzWGF9FdM/mqdefault.jpg,aobzWGF9FdM
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,14,NEW,마트 캐셔의 비참한 현실...,977402,2026.06.12,"#영화소개,#영화추천",리씨네,"476,000",https://img.youtube.com/vi/7-vP4_lc62A/mqdefault.jpg,7-vP4_lc62A
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,15,-10,촉법소년 제대로 응징하는 김무열,972101,2026.06.07,"#참교육,#김무열",무비포착,"38,000",https://img.youtube.com/vi/HVUoRFt2_Xs/mqdefault.jpg,HVUoRFt2_Xs
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,16,+28,킬러에게서 살아남는 방법,929148,2026.06.09,"#영화,#레옹",영화미슐랭,"148,000",https://img.youtube.com/vi/vEWYLgeb75w/mqdefault.jpg,vEWYLgeb75w
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,17,+4,숨어있는 저격수를 찾아내는 신박한 방법,909913,2026.06.11,"#영어단어,#영어듣기",뇌빼영,"44,600",https://img.youtube.com/vi/p1gZ8AB27oQ/mqdefault.jpg,p1gZ8AB27oQ
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,18,-4,먹방 연기중인데 음식이 폐닭에 필리핀 김치찌개면 벌어지는 일ㅋㅋㅋㅋ,848211,2026.06.09,,영콕드콕,"11,800",https://img.youtube.com/vi/82sMqcpYS3k/mqdefault.jpg,82sMqcpYS3k
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,19,NEW,임한림과 나화진의 시작된 인연《참교육》,828602,2026.06.12,"#참교육,#드라마",숏영드,"48,400",https://img.youtube.com/vi/ijGEAXkOUCU/mqdefault.jpg,ijGEAXkOUCU
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,20,-8,촉법소년도 교도소 참교육하는 김무열,778001,2026.06.06,"#참교육,#김무열",무비포착,"38,000",https://img.youtube.com/vi/MKfrgU1GGGc/mqdefault.jpg,MKfrgU1GGGc
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,21,-14,진상 학부모 고소장 먹인 김무열,766361,2026.06.06,"#참교육,#김무열",무비포착,"38,000",https://img.youtube.com/vi/63t7MW9EhMk/mqdefault.jpg,63t7MW9EhMk
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,22,NEW,내 이름이 이상할땐,762212,2026.06.13,"#영화,#라이프오브파이",영화미슐랭,"148,000",https://img.youtube.com/vi/DMqs98eE9DM/mqdefault.jpg,DMqs98eE9DM
일간,2026-06-13,shorts,한국,영화/애니메이션,조회수 순위,23,-17,촉법소년한테 교도소 참교육 해주는 김무열,746690,2026.06.07,"#참교육,#김무열",무비포착,"38,000",https://img.youtube.com/vi/kalkD83f7DQ/mqdefault.jpg,kalkD83f7DQ
