Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-13,shorts,한국,음악,조회수 순위,1,+12,산업용 분쇄기 스크루 날 정밀 조립 공정,12860028,2026.05.24,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/TUHbYxeES1w/mqdefault.jpg,TUHbYxeES1w
일간,2026-06-13,shorts,한국,음악,조회수 순위,2,+8,중장비로 지반을 다지는 놀라운 토목 현장,11156523,2026.06.11,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/TwLbI2XZ2Rg/mqdefault.jpg,TwLbI2XZ2Rg
일간,2026-06-13,shorts,한국,음악,조회수 순위,3,-2,압도적 스케일:  대형 스테인리스 대접의 자동화 분류 및 고속 정렬 과정,10309984,2026.06.08,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/sc4dLYts7Ss/mqdefault.jpg,sc4dLYts7Ss
일간,2026-06-13,shorts,한국,음악,조회수 순위,4,-2,수작업으로 진행하는 굴착기 트랙 슈 분해 방법,9164578,2026.06.07,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/2b6tc3wJslQ/mqdefault.jpg,2b6tc3wJslQ
일간,2026-06-13,shorts,한국,음악,조회수 순위,5,+6,경이로운 수작업: 콘크리트 믹서 트럭 드럼 내벽 잔여물 파쇄 및 내부 청소 과정,7478004,2026.06.10,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/2IA9hEvO57o/mqdefault.jpg,2IA9hEvO57o
일간,2026-06-13,shorts,한국,음악,조회수 순위,6,+10,현장 노하우: 간결한 콘크리트 블록 정렬 작업,6774202,2026.06.09,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/1pce2aZJA9M/mqdefault.jpg,1pce2aZJA9M
일간,2026-06-13,shorts,한국,음악,조회수 순위,7,-4,나무 지렛대를 이용한 대형 목재 보 설치,6565507,2026.06.10,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/5FJWF233X4U/mqdefault.jpg,5FJWF233X4U
일간,2026-06-13,shorts,한국,음악,조회수 순위,8,+1,전통 목공 기계를 이용한 건축 가구용 원목 자재 준비 공정,5304975,2026.05.19,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/IC81b7fysBw/mqdefault.jpg,IC81b7fysBw
일간,2026-06-13,shorts,한국,음악,조회수 순위,9,-3,목재 통을 완벽하게 깎는 방법: 특수 가이드 지지대를 활용한 초정밀 연마 시공,5296574,2026.06.09,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/hchU4QVQciU/mqdefault.jpg,hchU4QVQciU
일간,2026-06-13,shorts,한국,음악,조회수 순위,10,-5,기계가 못을 만드는 중독성 있는 순간,4593556,2026.05.24,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/pT9RGxeEbdc/mqdefault.jpg,pT9RGxeEbdc
일간,2026-06-13,shorts,한국,음악,조회수 순위,11,NEW,Why Is This So Hard?? 😡🎨,4589945,2026.06.12,"#beatbox,#tiktok",BeatBox RipPick,"271,000",https://img.youtube.com/vi/VoHHOmezh-A/mqdefault.jpg,VoHHOmezh-A
일간,2026-06-13,shorts,한국,음악,조회수 순위,12,NEW,Our new collaborative Single ICONIC BY MISTAKE is OUT NOW! ‪@ILLIT_official‬ ‪@katseyeworld‬,4246383,2026.06.12,"#LE_SSERAFIM,#ILLIT",LE SSERAFIM,"7,770,000",https://img.youtube.com/vi/VetRvrzMGCI/mqdefault.jpg,VetRvrzMGCI
일간,2026-06-13,shorts,한국,음악,조회수 순위,13,NEW,금속 가공의 정석: 유압 프레스로 정밀하게 제작하는 맞춤형 구조용 강판 브래킷 성형 공정,4223786,2026.06.13,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/ihQrgYT6uNM/mqdefault.jpg,ihQrgYT6uNM
일간,2026-06-13,shorts,한국,음악,조회수 순위,14,+8,"🇰🇷[Sumin] "" 67 🚿❓""",4198445,2026.05.25,"#Rpd,#Challenge",전수민,"75,600",https://img.youtube.com/vi/ajhWJh6izfg/mqdefault.jpg,ajhWJh6izfg
일간,2026-06-13,shorts,한국,음악,조회수 순위,15,-11,플라즈마 절단기로 두꺼운 체크 철판 완벽하게 자르는 방법,4178610,2026.06.08,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/gk4OF_rb7ns/mqdefault.jpg,gk4OF_rb7ns
일간,2026-06-13,shorts,한국,음악,조회수 순위,16,NEW,장인이 두꺼운 선지 뭉치를 정밀하게 재단하는 공정,3578929,2026.06.13,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/bROgz2DX8wA/mqdefault.jpg,bROgz2DX8wA
일간,2026-06-13,shorts,한국,음악,조회수 순위,17,-5,놀라운 정밀함: 숙련공의 망치질로 조각나는 거대 철기둥,3537546,2026.06.09,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/vSxVcax6UtQ/mqdefault.jpg,vSxVcax6UtQ
일간,2026-06-13,shorts,한국,음악,조회수 순위,18,+12,H빔을 사다리 없이 올라가는 특수 발판 작업 장비,2990006,2026.06.09,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/AV50bpnfCkE/mqdefault.jpg,AV50bpnfCkE
일간,2026-06-13,shorts,한국,음악,조회수 순위,19,-12,초대형 강철 코일의 역동적인 낙하 하역 과정,2950986,2026.06.03,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/JtpjWP9AyTk/mqdefault.jpg,JtpjWP9AyTk
일간,2026-06-13,shorts,한국,음악,조회수 순위,20,+5,드디어 앉아서 가나 싶었는데..,2410640,2026.06.08,"#노래,#song",노래조하,"56,300",https://img.youtube.com/vi/qcMNC0252ag/mqdefault.jpg,qcMNC0252ag
일간,2026-06-13,shorts,한국,음악,조회수 순위,21,0,철도 작업자들이 수작업 고임목으로 거대한 열차를 멈추는 방법,2224744,2026.06.07,"#worker,#process",SnapWorks,"474,000",https://img.youtube.com/vi/4tRykL2rYKU/mqdefault.jpg,4tRykL2rYKU
일간,2026-06-13,shorts,한국,음악,조회수 순위,22,+109,난 될 줄 알았어..,2107775,2026.06.12,"#shorts,#song",윤설,"21,900",https://img.youtube.com/vi/_ihIBiDwzSk/mqdefault.jpg,_ihIBiDwzSk
