Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-13,shorts,한국,인물/블로그,조회수 순위,1,0,피부 미백에 미친자의 개하얘진 방법...,9911374,2026.06.06,#shorts,남진 Douyin Makeup,"4,100,000",https://img.youtube.com/vi/my4I5OW-Qvg/mqdefault.jpg,my4I5OW-Qvg
일간,2026-06-13,shorts,한국,인물/블로그,조회수 순위,2,0,레전드 치킨 스크림 모먼트2,8496976,2026.05.30,,히또,"215,000",https://img.youtube.com/vi/ozCghA_fVhc/mqdefault.jpg,ozCghA_fVhc
일간,2026-06-13,shorts,한국,인물/블로그,조회수 순위,3,+6,🇨🇳 空中飞天舞：悬挂于巨伞之下的艺术传奇🇬🇧 Dancers in the Sky: The Graceful Feats Beneath a Giant Canopy,8313599,2026.06.02,"#爱,#空中飞天",임하나 (Cute Hana),"521,000",https://img.youtube.com/vi/jSHsBt_L5h0/mqdefault.jpg,jSHsBt_L5h0
일간,2026-06-13,shorts,한국,인물/블로그,조회수 순위,4,-1,Mix Juicy Drop💕,8238396,2026.02.26,"#김프로,#유백합",김프로KIMPRO,"133,000,000",https://img.youtube.com/vi/DLVCQZ5OEIA/mqdefault.jpg,DLVCQZ5OEIA
일간,2026-06-13,shorts,한국,인물/블로그,조회수 순위,5,-1,농장 꿀팁! 소 한 마리도 쉽게 트럭에 싣는 현장 기술 | 소 운송 방법,7460271,2026.02.06,,시골 생활,"740,000",https://img.youtube.com/vi/UuoDvC5kqgs/mqdefault.jpg,UuoDvC5kqgs
일간,2026-06-13,shorts,한국,인물/블로그,조회수 순위,6,-1,EAT CARDBOARD RAMEN!,7413431,2026.04.02,"#김프로,#유백합",김프로KIMPRO,"133,000,000",https://img.youtube.com/vi/nTH9ZGVgoqo/mqdefault.jpg,nTH9ZGVgoqo
일간,2026-06-13,shorts,한국,인물/블로그,조회수 순위,7,0,"""소 머리가 파이프에 끼인 위기! 대나무 망치로 구출하는 순간 [농촌 현장 해결사]"" (80자 이내, 키워드: 농촌 현장 해결사)",7125679,2025.12.21,,시골 생활,"740,000",https://img.youtube.com/vi/vhqZglm9y3U/mqdefault.jpg,vhqZglm9y3U
일간,2026-06-13,shorts,한국,인물/블로그,조회수 순위,8,NEW,안전 장비를 잊지 마세요,6936634,2026.06.12,"#김프로,#유백합",김프로KIMPRO,"133,000,000",https://img.youtube.com/vi/53VqDUwszQ4/mqdefault.jpg,53VqDUwszQ4
일간,2026-06-13,shorts,한국,인물/블로그,조회수 순위,9,+34,음료수 나누기,6086391,2026.06.11,"#김프로,#유백합",김프로KIMPRO,"133,000,000",https://img.youtube.com/vi/XCsOJoDnAfg/mqdefault.jpg,XCsOJoDnAfg
일간,2026-06-13,shorts,한국,인물/블로그,조회수 순위,10,-2,토끼에게서 탈출할 수 있을까요,5963984,2026.06.08,"#김프로,#유백합",김프로KIMPRO,"133,000,000",https://img.youtube.com/vi/a_z_G80oQys/mqdefault.jpg,a_z_G80oQys
