Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-13,shorts,한국,전체,조회수 순위,1,+2,전기 유도봉 이용한 돼지 상차,19739675,2026.06.08,"#farming,#skills",FarmQuick,"104,000",https://img.youtube.com/vi/qzJhQzuBOFI/mqdefault.jpg,qzJhQzuBOFI
일간,2026-06-13,shorts,한국,전체,조회수 순위,2,0,제대로 부어 주세요 | Reacts,15167958,2026.02.01,"#유백합,#kkubi",유백합 kkubi99,"22,900,000",https://img.youtube.com/vi/EHLs7YsDskc/mqdefault.jpg,EHLs7YsDskc
일간,2026-06-13,shorts,한국,전체,조회수 순위,3,+48,산업용 분쇄기 스크루 날 정밀 조립 공정,12860028,2026.05.24,"#worker,#process",SnapWorks,"488,000",https://img.youtube.com/vi/TUHbYxeES1w/mqdefault.jpg,TUHbYxeES1w
일간,2026-06-13,shorts,한국,전체,조회수 순위,4,+1,중장비로 소를 트럭에 싣는 방법,12740687,2026.06.09,"#farming,#skills",FarmQuick,"104,000",https://img.youtube.com/vi/r6tdetXQ-b0/mqdefault.jpg,r6tdetXQ-b0
일간,2026-06-13,shorts,한국,전체,조회수 순위,5,+21,소의 난산 해결을 위한 분만 보조 과정,11494243,2026.06.09,"#farming,#skills",FarmQuick,"104,000",https://img.youtube.com/vi/N1vwrBL5rwg/mqdefault.jpg,N1vwrBL5rwg
일간,2026-06-13,shorts,한국,전체,조회수 순위,6,+34,중장비로 지반을 다지는 놀라운 토목 현장,11156523,2026.06.11,"#worker,#process",SnapWorks,"488,000",https://img.youtube.com/vi/TwLbI2XZ2Rg/mqdefault.jpg,TwLbI2XZ2Rg
일간,2026-06-13,shorts,한국,전체,조회수 순위,7,-6,압도적 스케일:  대형 스테인리스 대접의 자동화 분류 및 고속 정렬 과정,10309984,2026.06.08,"#worker,#process",SnapWorks,"488,000",https://img.youtube.com/vi/sc4dLYts7Ss/mqdefault.jpg,sc4dLYts7Ss
일간,2026-06-13,shorts,한국,전체,조회수 순위,8,-4,피부 미백에 미친자의 개하얘진 방법...,9911374,2026.06.06,#shorts,남진 Douyin Makeup,"4,110,000",https://img.youtube.com/vi/my4I5OW-Qvg/mqdefault.jpg,my4I5OW-Qvg
일간,2026-06-13,shorts,한국,전체,조회수 순위,9,-2,수작업으로 진행하는 굴착기 트랙 슈 분해 방법,9164578,2026.06.07,"#worker,#process",SnapWorks,"488,000",https://img.youtube.com/vi/2b6tc3wJslQ/mqdefault.jpg,2b6tc3wJslQ
일간,2026-06-13,shorts,한국,전체,조회수 순위,10,-4,레전드 치킨 스크림 모먼트2,8496976,2026.05.30,,히또,"224,000",https://img.youtube.com/vi/ozCghA_fVhc/mqdefault.jpg,ozCghA_fVhc
