Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-13,shorts,한국,코메디,조회수 순위,1,0,명절날 늦잠 자면 안 되는 이유 ㅋㅋㅋ,3072455,2026.06.08,"#웃긴,#웃긴영상",사투리갬성,"73,700",https://img.youtube.com/vi/wlhp5ijl2iA/mqdefault.jpg,wlhp5ijl2iA
일간,2026-06-13,shorts,한국,코메디,조회수 순위,2,NEW,아주 자연스럽게 2인분 먹는 방법 ㅋㅋㅋㅋ,2717618,2026.06.12,"#웃긴썰,#웃긴영상",깃털유머,"846,000",https://img.youtube.com/vi/t9tkXwqvMS0/mqdefault.jpg,t9tkXwqvMS0
일간,2026-06-13,shorts,한국,코메디,조회수 순위,3,NEW,금지시킬만 했네 ㅋㅋㅋㅋㅋㅋ,2689046,2026.06.12,"#웃긴썰,#웃긴영상",깃털유머,"846,000",https://img.youtube.com/vi/Kfn_CtNanBU/mqdefault.jpg,Kfn_CtNanBU
일간,2026-06-13,shorts,한국,코메디,조회수 순위,4,NEW,불의의 사고로 출근을 못한 남자,1650052,2026.06.13,,땅콩music,"154,000",https://img.youtube.com/vi/D2Qi5k5J2gs/mqdefault.jpg,D2Qi5k5J2gs
일간,2026-06-13,shorts,한국,코메디,조회수 순위,5,-1,자기방어,1635742,2026.05.30,,SEUNGJAENIM 승재님,"213,000",https://img.youtube.com/vi/jVHYOHsLlUs/mqdefault.jpg,jVHYOHsLlUs
일간,2026-06-13,shorts,한국,코메디,조회수 순위,6,0,엄마표 토마토가 인상적이었던 아들,1472114,2026.06.09,,썰로별,"87,200",https://img.youtube.com/vi/Hd1vTPFfGS4/mqdefault.jpg,Hd1vTPFfGS4
일간,2026-06-13,shorts,한국,코메디,조회수 순위,7,+14,빛 차단율 99.9% 검정색으로 차 도색하기,1176258,2026.06.07,,모르면개손해,"364,000",https://img.youtube.com/vi/XQ7vg3fT6f0/mqdefault.jpg,XQ7vg3fT6f0
일간,2026-06-13,shorts,한국,코메디,조회수 순위,8,+28,한국 여행 사진이 화제가 된 일본 여배우,1088725,2026.06.12,,썰로별,"87,200",https://img.youtube.com/vi/bJcPdcgivPo/mqdefault.jpg,bJcPdcgivPo
일간,2026-06-13,shorts,한국,코메디,조회수 순위,9,+32,말벌들이 제일 무서워 하는 것 ㅋㅋㅋㅋ,1077613,2026.05.20,"#웃긴썰,#웃긴영상",깃털유머,"846,000",https://img.youtube.com/vi/MjZ16i4ENw0/mqdefault.jpg,MjZ16i4ENw0
일간,2026-06-13,shorts,한국,코메디,조회수 순위,10,+12,호신술,1033633,2026.06.06,,SEUNGJAENIM 승재님,"213,000",https://img.youtube.com/vi/ZxvB5bjRBsk/mqdefault.jpg,ZxvB5bjRBsk
일간,2026-06-13,shorts,한국,코메디,조회수 순위,11,+4,부산역까지 아주 빠르게 가주세요.. !!!,1003211,2026.06.10,"#웃긴썰,#웃긴영상",깃털유머,"846,000",https://img.youtube.com/vi/hzEGpAiaCqU/mqdefault.jpg,hzEGpAiaCqU
일간,2026-06-13,shorts,한국,코메디,조회수 순위,12,+33,윙이 비트박스하면서 실수 안(?) 하는 이유,913188,2026.06.11,"#꼰대희,#윙",1분순삭,"436,000",https://img.youtube.com/vi/pHKdNXImx8A/mqdefault.jpg,pHKdNXImx8A
