Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,전체,댓글 순위,1,NEW,"with BTS. To everyone who keeps swimming no matter what, we send our love and support.",9200,2026.06.13,#KEEPSWIMMING,BANGTANTV,"84,800,000",https://img.youtube.com/vi/3ZOFQ33sLBE/mqdefault.jpg,3ZOFQ33sLBE
일간,2026-06-14,shorts,한국,전체,댓글 순위,2,+39,일본은 안전교육도 진심입니다,4200,2026.06.13,"#교통안전,#안전교육",지구촌픽,"112,000",https://img.youtube.com/vi/F2siA16Q0FY/mqdefault.jpg,F2siA16Q0FY
일간,2026-06-14,shorts,한국,전체,댓글 순위,3,NEW,손흥민을 월드컵에서 빼라고?,3000,2026.06.14,,타임싸커,"25,700",https://img.youtube.com/vi/N5g0EhB216U/mqdefault.jpg,N5g0EhB216U
일간,2026-06-14,shorts,한국,전체,댓글 순위,4,-2,"""지방 사니까 최저시급 덜 받아라?",2700,2026.06.13,"#대구,#최저임금",폴리버스,"153,000",https://img.youtube.com/vi/k_GTxlEp38k/mqdefault.jpg,k_GTxlEp38k
일간,2026-06-14,shorts,한국,전체,댓글 순위,5,NEW,매불쇼 최욱 휴방결정에 오윤혜의 진심어린 한마디,2600,2026.06.13,"#이재명,#조국",The민주피플,"50,100",https://img.youtube.com/vi/3B-Vd1XUoac/mqdefault.jpg,3B-Vd1XUoac
일간,2026-06-14,shorts,한국,전체,댓글 순위,6,NEW,이 성씨는 없다에 로벅스 걸겠습니다,2500,2026.06.14,"#로블록스,#로블",주윈,"109,000",https://img.youtube.com/vi/h6WZMC85MSA/mqdefault.jpg,h6WZMC85MSA
일간,2026-06-14,shorts,한국,전체,댓글 순위,7,NEW,"(속보) ""장동혁이 문제에요"", 한동훈 폭탄발언 발칵...",2500,2026.06.13,"#정치,#이슈",우팔롬아,"339,000",https://img.youtube.com/vi/nPqAzdxoG7U/mqdefault.jpg,nPqAzdxoG7U
일간,2026-06-14,shorts,한국,전체,댓글 순위,8,NEW,위장해서 빠져나가다 시민들에게 딱걸린 선관위 직원들,2200,2026.06.14,,딱선비,"166,000",https://img.youtube.com/vi/oJAZLlhdkTg/mqdefault.jpg,oJAZLlhdkTg
일간,2026-06-14,shorts,한국,전체,댓글 순위,9,NEW,"한국 vs 체코 월드컵, 대만과 일본 반응",2100,2026.06.14,"#황인범,#김승규",이거잠깐,"9,940",https://img.youtube.com/vi/9T2ItsPWzEw/mqdefault.jpg,9T2ItsPWzEw
일간,2026-06-14,shorts,한국,전체,댓글 순위,10,NEW,"강남역 곳곳에 깃발행진.   ""방첩사 해체"" 논란 속 강남역 상황은?",2100,2026.06.14,"#대한민국,#정치",브리핑코리아,"78,600",https://img.youtube.com/vi/rLfjXGdUvUw/mqdefault.jpg,rLfjXGdUvUw
