Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,전체,조회수 순위,1,0,전기 유도봉 이용한 돼지 상차,22664612,2026.06.08,"#farming,#skills",FarmQuick,"104,000",https://img.youtube.com/vi/qzJhQzuBOFI/mqdefault.jpg,qzJhQzuBOFI
일간,2026-06-14,shorts,한국,전체,조회수 순위,2,+74,Oil vs Water (Part 4),17884776,2026.06.13,"#Shorts,#Food",DoubleBite,"1,840,000",https://img.youtube.com/vi/QSlcUrZpEBE/mqdefault.jpg,QSlcUrZpEBE
일간,2026-06-14,shorts,한국,전체,조회수 순위,3,+3,중장비로 지반을 다지는 놀라운 토목 현장,15393798,2026.06.11,"#worker,#process",SnapWorks,"488,000",https://img.youtube.com/vi/TwLbI2XZ2Rg/mqdefault.jpg,TwLbI2XZ2Rg
일간,2026-06-14,shorts,한국,동물,조회수 순위,1,NEW,집사 장난이 고양이 루틴에 추가되는 과정ㅋ,7896682,2026.05.22,"#고양이,#고양이루틴",스트로베리 터틀,"90,200",https://img.youtube.com/vi/6iF8fZg5zM4/mqdefault.jpg,6iF8fZg5zM4
일간,2026-06-14,shorts,한국,동물,조회수 순위,2,-1,사납게 덤벼드는 리트리버 참교육 방법 교육,6204866,2026.06.07,"#서열1위,#입질",라온이네하우스 Raonine House,"243,000",https://img.youtube.com/vi/VqQavd7jIkk/mqdefault.jpg,VqQavd7jIkk
일간,2026-06-14,shorts,한국,동물,조회수 순위,3,-1,아기 오셀롯을 구해준 남성.,2592123,2026.02.25,,veltor-x8c,"459,000",https://img.youtube.com/vi/-Brzf1r06-k/mqdefault.jpg,-Brzf1r06-k
일간,2026-06-14,shorts,한국,음악,조회수 순위,1,+1,중장비로 지반을 다지는 놀라운 토목 현장,15393798,2026.06.11,"#worker,#process",SnapWorks,"488,000",https://img.youtube.com/vi/TwLbI2XZ2Rg/mqdefault.jpg,TwLbI2XZ2Rg
일간,2026-06-14,shorts,한국,음악,조회수 순위,2,-1,산업용 분쇄기 스크루 날 정밀 조립 공정,13115302,2026.05.24,"#worker,#process",SnapWorks,"488,000",https://img.youtube.com/vi/TUHbYxeES1w/mqdefault.jpg,TUHbYxeES1w
일간,2026-06-14,shorts,한국,음악,조회수 순위,3,+7,기계가 못을 만드는 중독성 있는 순간,10941606,2026.05.24,"#worker,#process",SnapWorks,"488,000",https://img.youtube.com/vi/pT9RGxeEbdc/mqdefault.jpg,pT9RGxeEbdc
일간,2026-06-14,shorts,한국,게임,조회수 순위,1,0,이 노래 제목이 뭐죠?,4811095,2026.06.11,"#minecraft,#mana",Mana Craft,"7,410,000",https://img.youtube.com/vi/nPdf1tK3nGg/mqdefault.jpg,nPdf1tK3nGg
