Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,게임,댓글 순위,1,NEW,이 성씨는 없다에 로벅스 걸겠습니다,2500,2026.06.14,"#로블록스,#로블",주윈,"109,000",https://img.youtube.com/vi/h6WZMC85MSA/mqdefault.jpg,h6WZMC85MSA
일간,2026-06-14,shorts,한국,게임,댓글 순위,2,NEW,티젠전 승부예측,1500,2026.06.14,"#롤,#롤쇼츠",궁복동 유튜브,"63,000",https://img.youtube.com/vi/tqnTRPqvE1Y/mqdefault.jpg,tqnTRPqvE1Y
일간,2026-06-14,shorts,한국,게임,댓글 순위,3,-2,allah ke 3 SABSE BADI DUSHMAN KON hai,1000,2026.05.30,,YUSUF,"297,000",https://img.youtube.com/vi/vCI55ee0Sv4/mqdefault.jpg,vCI55ee0Sv4
일간,2026-06-14,shorts,한국,게임,댓글 순위,4,+5,배터리를 못 맞추면 로벅스?,944,2026.06.13,"#로블록스,#로블",주윈,"109,000",https://img.youtube.com/vi/13Je5lxNIOU/mqdefault.jpg,13Je5lxNIOU
일간,2026-06-14,shorts,한국,게임,댓글 순위,5,NEW,문형배 부정선거 없다 가능성 없다,890,2026.06.14,,비트코인엑손,"50,700",https://img.youtube.com/vi/Q4KsmEQgrbg/mqdefault.jpg,Q4KsmEQgrbg
일간,2026-06-14,shorts,한국,게임,댓글 순위,6,NEW,This is T1,785,2026.06.14,"#t1,#페이커",대유쾌마운틴,"61,800",https://img.youtube.com/vi/4OUOev3ItXg/mqdefault.jpg,4OUOev3ItXg
일간,2026-06-14,shorts,한국,게임,댓글 순위,7,NEW,남아있는 이유,710,2026.06.13,"#쿠키런킹덤,#cookierunkingdom",김짱크,"26,700",https://img.youtube.com/vi/LP9byvmWvLo/mqdefault.jpg,LP9byvmWvLo
일간,2026-06-14,shorts,한국,게임,댓글 순위,8,NEW,쓰리핏? 우리가 막아.,545,2026.06.14,"#t1,#페이커",대유쾌마운틴,"61,800",https://img.youtube.com/vi/9fXxExzYMlU/mqdefault.jpg,9fXxExzYMlU
일간,2026-06-14,shorts,한국,게임,댓글 순위,9,-2,옵치 신캐 디자인에 화난 레딧유저들?,537,2026.06.13,,해텀,"5,490",https://img.youtube.com/vi/Op9r5wcQovg/mqdefault.jpg,Op9r5wcQovg
일간,2026-06-14,shorts,한국,게임,댓글 순위,10,NEW,스피드 키보드 탈출에서 무조건 알아야 하는 꿀팁 3가지,525,2026.06.14,"#로블록스,#로블",치유,"84,800",https://img.youtube.com/vi/mPrLKZz1hrA/mqdefault.jpg,mPrLKZz1hrA
일간,2026-06-14,shorts,한국,게임,댓글 순위,11,-7,현재 불타고 있는 도란 상황,500,2026.06.12,"#롤,#롤쇼츠",궁복동 유튜브,"63,000",https://img.youtube.com/vi/_2Fjm8bYaKk/mqdefault.jpg,_2Fjm8bYaKk
일간,2026-06-14,shorts,한국,게임,댓글 순위,12,-1,스피드키보드에서 67레벨 때 무적이 되는 이스터에그가 숨어있대!,493,2026.06.13,"#로블록스,#로블",루제이,"138,000",https://img.youtube.com/vi/iyN1A_L0tlE/mqdefault.jpg,iyN1A_L0tlE
일간,2026-06-14,shorts,한국,게임,댓글 순위,13,NEW,여대에서 외부인 출입 규정이 논란인 이유,450,2026.06.14,,딱대,"20,800",https://img.youtube.com/vi/nZoUckyxs9I/mqdefault.jpg,nZoUckyxs9I
일간,2026-06-14,shorts,한국,게임,댓글 순위,14,NEW,T1은 바텀이 지면 승리 패턴이 안 보인다,433,2026.06.14,,롤스냅,"3,810",https://img.youtube.com/vi/qM0hmEELo0I/mqdefault.jpg,qM0hmEELo0I
일간,2026-06-14,shorts,한국,게임,댓글 순위,15,+8,+1 Speed Keyboard Escape 33s👟,426,2026.06.11,,순록,"2,170,000",https://img.youtube.com/vi/btdfIryeHQ8/mqdefault.jpg,btdfIryeHQ8
일간,2026-06-14,shorts,한국,게임,댓글 순위,16,NEW,군대 가면 게임과 너무 달라 놀라는 무기,410,2026.06.13,,풀네임,"287,000",https://img.youtube.com/vi/_9pcZYoFlFQ/mqdefault.jpg,_9pcZYoFlFQ
