Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,과학기술,댓글 순위,1,+31,2026 월드컵 우승팀 예측!,416,2026.06.12,"#월드컵,#박펠레",아만보! 아는 만큼 보인다,"101,000",https://img.youtube.com/vi/N-31loaM4Xg/mqdefault.jpg,N-31loaM4Xg
일간,2026-06-14,shorts,한국,과학기술,댓글 순위,2,0,경력직  지게차의 센스,280,2026.06.05,,야가다,"16,600",https://img.youtube.com/vi/V88mdmgtAzU/mqdefault.jpg,V88mdmgtAzU
일간,2026-06-14,shorts,한국,과학기술,댓글 순위,3,+9,긴 터널은 왜 일부러 S자로 만들까?,188,2026.06.13,"#터널안전,#고속도로최면",안될과학 Unrealscience,"1,390,000",https://img.youtube.com/vi/j_pBV080t7A/mqdefault.jpg,j_pBV080t7A
일간,2026-06-14,shorts,한국,과학기술,댓글 순위,4,+7,대한민국 월드컵 아이폰 배경화면 드립니다,167,2026.06.12,"#일산휴대폰성지,#달인폰센터고양점",달인폰센터 고양점,"4,530",https://img.youtube.com/vi/8IoTyJV-g_M/mqdefault.jpg,8IoTyJV-g_M
일간,2026-06-14,shorts,한국,과학기술,댓글 순위,5,NEW,까마귀의 부리를 만지면 생기는 일,100,2026.05.16,,깔끔맨,"73,900",https://img.youtube.com/vi/RHH2_dEhr6c/mqdefault.jpg,RHH2_dEhr6c
일간,2026-06-14,shorts,한국,과학기술,댓글 순위,6,-2,전사한 적군의 폰으로 전화를 하는 이유,100,2026.06.06,"#군대,#밀리터리",말이죠,"12,700",https://img.youtube.com/vi/svPCdnDryQE/mqdefault.jpg,svPCdnDryQE
일간,2026-06-14,shorts,한국,과학기술,댓글 순위,7,NEW,남편이 휠체어를 타야 할수도 있다고 말한다면?,100,2026.06.03,,지리는TV,"36,600",https://img.youtube.com/vi/Sw48w4J8Oy4/mqdefault.jpg,Sw48w4J8Oy4
일간,2026-06-14,shorts,한국,과학기술,댓글 순위,8,NEW,눈에 렌즈만 꼈는데..? 약 없이 우울증 치료,100,2026.06.02,"#shorts,#우울증",YTN 사이언스 투데이,"129,000",https://img.youtube.com/vi/cjQQGuhrMzA/mqdefault.jpg,cjQQGuhrMzA
일간,2026-06-14,shorts,한국,과학기술,댓글 순위,9,+7,석유의 마지막 진화형,92,2026.06.08,,방구석지구촌,"542,000",https://img.youtube.com/vi/SAcwlNd0TQ8/mqdefault.jpg,SAcwlNd0TQ8
일간,2026-06-14,shorts,한국,과학기술,댓글 순위,10,-1,GPS 없어도 길 안 잃는 방법,91,2026.06.09,"#shorts,#생존기술",찐숏픽,"4,850",https://img.youtube.com/vi/NnTBtk7J2pE/mqdefault.jpg,NnTBtk7J2pE
