Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,교육,댓글 순위,1,0,일본은 안전교육도 진심입니다,4200,2026.06.13,"#교통안전,#안전교육",지구촌픽,"112,000",https://img.youtube.com/vi/F2siA16Q0FY/mqdefault.jpg,F2siA16Q0FY
일간,2026-06-14,shorts,한국,교육,댓글 순위,2,+6,[1분역사] 진짜 민주화 세력이 나타났다!,837,2026.06.12,,홍익학당,"164,000",https://img.youtube.com/vi/tmxObZVvSLI/mqdefault.jpg,tmxObZVvSLI
일간,2026-06-14,shorts,한국,교육,댓글 순위,3,0,정통 타코집의 역대급 반전,400,2026.06.03,"#영어듣기,#웹드라마",리핏어게인,"198,000",https://img.youtube.com/vi/WxdtbEg8v-U/mqdefault.jpg,WxdtbEg8v-U
일간,2026-06-14,shorts,한국,교육,댓글 순위,4,-2,이 사람한테 면허 준 사람 나와,400,2026.06.11,,59.9초,"1,320",https://img.youtube.com/vi/oxxv3_98HAU/mqdefault.jpg,oxxv3_98HAU
일간,2026-06-14,shorts,한국,교육,댓글 순위,5,+24,작은 행동 하나로 사람을 알아보는 기안84,397,2026.06.10,,귀한장면,"7,980",https://img.youtube.com/vi/-tvDs_Bj5b4/mqdefault.jpg,-tvDs_Bj5b4
일간,2026-06-14,shorts,한국,교육,댓글 순위,6,NEW,뭐든지 과하면 안되는 이유,393,2026.06.13,"#바라픽,#교육",바라픽,"31,900",https://img.youtube.com/vi/goVkmPY7WGk/mqdefault.jpg,goVkmPY7WGk
일간,2026-06-14,shorts,한국,교육,댓글 순위,7,NEW,미국 역사상 최악의 경찰 빌런,302,2026.06.14,"#미국경찰,#공권력",공권력,"2,720",https://img.youtube.com/vi/YxMkuu46R5Y/mqdefault.jpg,YxMkuu46R5Y
일간,2026-06-14,shorts,한국,교육,댓글 순위,8,-4,더불어민주당 지지율이 가장 높은 도시 TOP 5,276,2026.06.03,"#명언,#좋은글",유튜브 건강주치의,"83,000",https://img.youtube.com/vi/9dUAhcxO4ZQ/mqdefault.jpg,9dUAhcxO4ZQ
일간,2026-06-14,shorts,한국,교육,댓글 순위,9,0,요즘 교회가 망할 수밖에 없는 이유,266,2026.06.09,,성소장,"29,300",https://img.youtube.com/vi/2ULUPeNtvEw/mqdefault.jpg,2ULUPeNtvEw
일간,2026-06-14,shorts,한국,교육,댓글 순위,10,+81,이재명 대통령이 2년 연속 G7에 초청받은 이유,225,2026.06.13,"#이재명,#G7",파란맛,"104,000",https://img.youtube.com/vi/8Mw2buHgTKc/mqdefault.jpg,8Mw2buHgTKc
일간,2026-06-14,shorts,한국,교육,댓글 순위,11,+19,엘리베이터에서 모두가 같은 선택을 한 이유,200,2026.05.05,"#엘리베이터,#배려",지구촌픽,"112,000",https://img.youtube.com/vi/kAHsFZyA2Wk/mqdefault.jpg,kAHsFZyA2Wk
일간,2026-06-14,shorts,한국,교육,댓글 순위,12,+22,공연보다 더 눈길이 가는 선생님,200,2026.06.01,"#유치원공연,#선생님",지구촌픽,"112,000",https://img.youtube.com/vi/n9iBq5viTYc/mqdefault.jpg,n9iBq5viTYc
일간,2026-06-14,shorts,한국,교육,댓글 순위,13,+9,그시절 동기들만아는 유재석의 철없었던 썰ㅋㅋㅋ,200,2026.06.10,"#유머,#유재석",참 - 크래커,"2,320",https://img.youtube.com/vi/In8zlnbfQRY/mqdefault.jpg,In8zlnbfQRY
일간,2026-06-14,shorts,한국,교육,댓글 순위,14,+4,이재용 회장은 한국 위해 동분서주 일본만 찾아대는 최태원,194,2026.06.13,"#이재명,#이재용",파란맛,"104,000",https://img.youtube.com/vi/QH7LNjUVxNE/mqdefault.jpg,QH7LNjUVxNE
일간,2026-06-14,shorts,한국,교육,댓글 순위,15,+2,하반신마비 남편에게 이혼을 요구한 아내의 이유,185,2026.06.12,,캠히어로,"162,000",https://img.youtube.com/vi/RMM_3xm_Bkg/mqdefault.jpg,RMM_3xm_Bkg
일간,2026-06-14,shorts,한국,교육,댓글 순위,16,-9,대학생도 들고일어났다. 연예인들은 입 싹 닫았다. | 양일국 국제정치평론가 | 세계를 보는 눈,185,2026.06.12,"#양일국,#부실선거",펜앤경제TV,"73,400",https://img.youtube.com/vi/d-ZYzddOyyc/mqdefault.jpg,d-ZYzddOyyc
일간,2026-06-14,shorts,한국,교육,댓글 순위,17,+2,스스로 전쟁터로 향한 재벌 2세,162,2026.06.12,"#김석원,#쌍용그룹",각성의순간,"19,800",https://img.youtube.com/vi/ra1sXbozQ0U/mqdefault.jpg,ra1sXbozQ0U
일간,2026-06-14,shorts,한국,교육,댓글 순위,18,NEW,나는 새도 떨어뜨렸다는 1980년대 육사 클라스,153,2026.06.13,,군대말입니다,"47,400",https://img.youtube.com/vi/SVweYAAPtfU/mqdefault.jpg,SVweYAAPtfU
일간,2026-06-14,shorts,한국,교육,댓글 순위,19,NEW,중국 국가안전부 경고...바다에 스파이 동물 있다,150,2026.06.13,,센서스튜디오,"642,000",https://img.youtube.com/vi/hQa2DIwJRYk/mqdefault.jpg,hQa2DIwJRYk
일간,2026-06-14,shorts,한국,교육,댓글 순위,20,-5,"학계는 가짜라고 숨긴 우주선 조각상, 토프라칼레 스페이스 셔틀",140,2026.06.12,,지식만개,"38,800",https://img.youtube.com/vi/Zxbpvd9TSac/mqdefault.jpg,Zxbpvd9TSac
일간,2026-06-14,shorts,한국,교육,댓글 순위,21,NEW,붉은색 제의를 입으며,135,2026.06.14,"#전례상식,#교리상식",복음밥 신부의_마음곳간,"76,900",https://img.youtube.com/vi/KlFAudnIa-Q/mqdefault.jpg,KlFAudnIa-Q
일간,2026-06-14,shorts,한국,교육,댓글 순위,22,NEW,"냉면 이돈주고 못 먹어ㅠㅠ 물가, 세금폭탄 돌리기 중",133,2026.06.13,"#박상규,#냉면",펜앤경제TV,"73,400",https://img.youtube.com/vi/GEMk391IgeY/mqdefault.jpg,GEMk391IgeY
일간,2026-06-14,shorts,한국,교육,댓글 순위,23,+2,포르투갈이 호날두를 못 버리는 이유,127,2026.06.11,"#호날두,#포르투갈",해축스캐너,"8,920",https://img.youtube.com/vi/RaFMGvCiH4c/mqdefault.jpg,RaFMGvCiH4c
일간,2026-06-14,shorts,한국,교육,댓글 순위,24,NEW,철판 한 장이 첨단 방탄방패가 되기까지,118,2026.06.14,,과거상자,"24,200",https://img.youtube.com/vi/g7A8QWu-0XA/mqdefault.jpg,g7A8QWu-0XA
일간,2026-06-14,shorts,한국,교육,댓글 순위,25,+84,중국이 돈을 아무리 많이 써도 한국 반도체 못 이기는 이유,114,2026.05.25,"#반도체,#메모리",와이스트릿 - 지식과 자산의 복리효과,"961,000",https://img.youtube.com/vi/btFLsgQWZpE/mqdefault.jpg,btFLsgQWZpE
일간,2026-06-14,shorts,한국,교육,댓글 순위,26,+72,그저 살고 싶었던 남자,109,2026.06.09,,썰펭귄,"12,300",https://img.youtube.com/vi/FfuUHpb0fpw/mqdefault.jpg,FfuUHpb0fpw
일간,2026-06-14,shorts,한국,교육,댓글 순위,27,+77,한국 개무시하던 대만이 얼타고 있는 이유 ㄷㄷ,109,2026.06.04,,성소장,"29,300",https://img.youtube.com/vi/LkZ0ebivTic/mqdefault.jpg,LkZ0ebivTic
일간,2026-06-14,shorts,한국,교육,댓글 순위,28,+77,"선관위 직원, 청사에서 골프연습",108,2026.06.13,"#부정선거,#부실선거",경이로운경민정,"19,600",https://img.youtube.com/vi/WHJ3wsPBKsE/mqdefault.jpg,WHJ3wsPBKsE
일간,2026-06-14,shorts,한국,교육,댓글 순위,29,+18,막내가 걷자 온 가족이 환호했습니다,107,2026.06.05,"#첫걸음,#아기성장",지구촌픽,"112,000",https://img.youtube.com/vi/M4RWgD2KDXM/mqdefault.jpg,M4RWgD2KDXM
일간,2026-06-14,shorts,한국,교육,댓글 순위,30,+96,아빠도 부러워한 아들의 친화력,105,2026.06.09,"#아빠도부러워한아들의친화력,#예쁜누나를발견한꼬마",지구촌픽,"112,000",https://img.youtube.com/vi/EE8Gl_lAwZA/mqdefault.jpg,EE8Gl_lAwZA
일간,2026-06-14,shorts,한국,교육,댓글 순위,31,NEW,1년마다 머리카락이 이만큼 자란다고??,102,2026.06.13,"#비새는화실,#머리카락",비새는 화실,"2,750",https://img.youtube.com/vi/cr7F7NP1GxY/mqdefault.jpg,cr7F7NP1GxY
일간,2026-06-14,shorts,한국,교육,댓글 순위,32,NEW,이놈 아저씨,102,2026.06.14,,치과의사 매직박,"296,000",https://img.youtube.com/vi/q0XR9tbWcmM/mqdefault.jpg,q0XR9tbWcmM
일간,2026-06-14,shorts,한국,교육,댓글 순위,33,NEW,수영 천재가 집에서 하는 미친 훈련법,100,2026.05.18,"#수영,#수영선수",지구촌픽,"112,000",https://img.youtube.com/vi/KVAQJMDo2Eo/mqdefault.jpg,KVAQJMDo2Eo
일간,2026-06-14,shorts,한국,교육,댓글 순위,34,-29,6년간 딸에게 월급은 커녕 반찬값도 안주던 90살 아버지의 진심,100,2026.06.05,,캠히어로,"162,000",https://img.youtube.com/vi/t4T2P-Ahdr4/mqdefault.jpg,t4T2P-Ahdr4
일간,2026-06-14,shorts,한국,교육,댓글 순위,35,+106,내 집인데 쫓겨남.. 억울한 황조롱이,100,2026.06.10,"#황조롱이,#가면올빼미",숏피크,"1,620",https://img.youtube.com/vi/cxbfQcCriN4/mqdefault.jpg,cxbfQcCriN4
일간,2026-06-14,shorts,한국,교육,댓글 순위,36,-3,아빠 편만 드는 딸의 현실 반응ㅋㅋ,100,2026.05.26,"#가족일상,#딸바보",지구촌픽,"112,000",https://img.youtube.com/vi/A7aT3ZiUS3Q/mqdefault.jpg,A7aT3ZiUS3Q
일간,2026-06-14,shorts,한국,교육,댓글 순위,37,NEW,동심을 이기는 경비아저씨의 치트키ㅋㅋ,100,2026.05.25,"#유치원행사,#줄다리기",지구촌픽,"112,000",https://img.youtube.com/vi/4tjW2hapcJY/mqdefault.jpg,4tjW2hapcJY
일간,2026-06-14,shorts,한국,교육,댓글 순위,38,-6,여자랑 말싸움하면 안 되는 이유... 시작 3초 만에 KO 패배 ㄷㄷ 😂🥊,100,2026.05.06,"#아기,#funny",율이세상,"53,300",https://img.youtube.com/vi/kN3Nknf_EQo/mqdefault.jpg,kN3Nknf_EQo
