Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,1,NEW,동거중인 짝사랑녀(?) 청혼은 선 넘은건가??💐.jpg,710,2026.06.14,"#shorts,#쇼츠",똘킹,"949,000",https://img.youtube.com/vi/Ciuhl-qnmv0/mqdefault.jpg,Ciuhl-qnmv0
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,2,NEW,"옆사람이 방귀 뀌었을 때, 대처방법 1순위🫢.jpg",644,2026.06.13,"#shorts,#쇼츠",똘킹,"949,000",https://img.youtube.com/vi/7EGud1y4fJg/mqdefault.jpg,7EGud1y4fJg
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,3,NEW,이렇게 한복입는 영부인은 처음 봤습니다..같은 한복 너무 다른 기품,597,2026.06.14,"#김건희,#김혜경",라이브정치톡,"17,000",https://img.youtube.com/vi/1Esa4WmtBv0/mqdefault.jpg,1Esa4WmtBv0
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,4,+12,쥐는 무섭고 싫었는데ㅠ 이제 귀여워진거같기도(?),532,2026.06.11,,Aggie Unni 애기언니,"1,310",https://img.youtube.com/vi/yvK-T-egwI8/mqdefault.jpg,yvK-T-egwI8
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,5,-1,"하이닉스 최종면접, 이 한마디로 합격했습니다",427,2026.06.09,,시각의 오류 Eye Error,"42,600",https://img.youtube.com/vi/_czihAzvhzA/mqdefault.jpg,_czihAzvhzA
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,6,+5,절대 명령을 어길 수 없었던 경찰견,400,2026.06.10,"#bodycam,#cops",오호라,"111,000",https://img.youtube.com/vi/3d6rTs34WeM/mqdefault.jpg,3d6rTs34WeM
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,7,NEW,월드컵이 선택한 K팝 스타 리사,389,2026.06.13,,소식통,"2,340",https://img.youtube.com/vi/20RRcuM2Xdo/mqdefault.jpg,20RRcuM2Xdo
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,8,+16,선관위 해체 시위하는 우파 아줌마들 난리나다,356,2026.06.08,,정오반TV,"225,000",https://img.youtube.com/vi/gp8iW_DxCPE/mqdefault.jpg,gp8iW_DxCPE
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,9,NEW,결벽증 남편이 알려준 10분컷(?) 욕실청소공식,325,2026.06.14,,다다살림,"351,000",https://img.youtube.com/vi/q0QGAmCjYxk/mqdefault.jpg,q0QGAmCjYxk
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,10,-8,프사신청 해주세욥!! drawing your profilepicture @Progamer000-v6e,315,2026.06.13,"#구독자,#프사그리기",무한잉크가위손,"141,000",https://img.youtube.com/vi/hg7TFeMI2NE/mqdefault.jpg,hg7TFeMI2NE
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,11,NEW,외국인의 한국 K-Drama같은 장면,310,2026.06.13,,인플로그,"7,340",https://img.youtube.com/vi/Yucht7gkkCQ/mqdefault.jpg,Yucht7gkkCQ
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,12,-6,이렇게 인사하는 영부인 처음 봅니다.. 너무 비교되는 김건희 인사매너,300,2026.06.10,"#김혜경,#김건희",라이브정치톡,"17,000",https://img.youtube.com/vi/pA5sqyjWdlw/mqdefault.jpg,pA5sqyjWdlw
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,13,+9,조니워커 블루를 오크통에 넣어 봤습니다,300,2026.06.08,,술익는집,"853,000",https://img.youtube.com/vi/rlxCRU46gDY/mqdefault.jpg,rlxCRU46gDY
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,14,NEW,그림 신청 해주세요 😃🙋‍♂️🙋‍♀️🙋 drawingyourprofilepicture @MariaAngelineSarturio-t4u,271,2026.06.14,"#구독자,#프사그리기",무한잉크가위손,"141,000",https://img.youtube.com/vi/0-eUviDd02M/mqdefault.jpg,0-eUviDd02M
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,15,NEW,다음은 누구??  drawing your profilepicture  @세빈-o3j,266,2026.06.14,"#구독자,#프사그리기",무한잉크가위손,"141,000",https://img.youtube.com/vi/0qLijiZrwuo/mqdefault.jpg,0qLijiZrwuo
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,16,-1,재는 대체 누구야?  부러우면 지는거다,256,2026.06.13,"#모델,#model",썰창고,"8,090",https://img.youtube.com/vi/dRqYQbRIL2k/mqdefault.jpg,dRqYQbRIL2k
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,17,NEW,'쓸데없는데 돈쏟았었네..' 전재수가 부산시장되고도 한숨부터 나올수밖에없는 이유,244,2026.06.13,"#이재명,#더불어민주당",광화문열사,"52,100",https://img.youtube.com/vi/UxY6Q_Lun3c/mqdefault.jpg,UxY6Q_Lun3c
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,18,+10,30초 만에 깨닫는 인생의 진리,225,2026.06.10,"#인생명언,#동기부여",냥말타임,"2,300",https://img.youtube.com/vi/ZfYcvCS-Ecw/mqdefault.jpg,ZfYcvCS-Ecw
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,19,+98,늦게 쓸수록 후회하는 주방 꿀템 2가지!,221,2026.06.11,,셩이홈,"49,900",https://img.youtube.com/vi/68fcL8s5pm0/mqdefault.jpg,68fcL8s5pm0
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,20,-1,1990년 그림체 vs 2020 그림체 비교🎨.jpg,200,2026.06.10,"#shorts,#쇼츠",똘킹,"949,000",https://img.youtube.com/vi/OOkD4y26BNE/mqdefault.jpg,OOkD4y26BNE
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,21,-12,"드디어 찾았어요 316 스텐인데, 1만원대라니!",200,2026.06.11,,꾀람쥐,"254,000",https://img.youtube.com/vi/hmDEf9DMstU/mqdefault.jpg,hmDEf9DMstU
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,22,NEW,허니버터 숙성 스테이크,195,2026.06.14,,정육왕 MeatCreator,"802,000",https://img.youtube.com/vi/81u1v6F6zu4/mqdefault.jpg,81u1v6F6zu4
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,23,NEW,목욕탕 집 며느리가 알려주는 비밀🛀🤫,189,2026.06.14,,오복하우스,"244,000",https://img.youtube.com/vi/U-SFm-Qxapc/mqdefault.jpg,U-SFm-Qxapc
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,24,NEW,"결혼 15년 차, 주방용품 중 가장 잘 바꾼 것은?",180,2026.06.13,"#쉐프윈,#쉐프윈공구",게으른김주부,"60,100",https://img.youtube.com/vi/trb-TuHczHY/mqdefault.jpg,trb-TuHczHY
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,25,-8,몇점 같나요?,179,2026.06.02,"#권스타,#권기하",권스타,"21,500",https://img.youtube.com/vi/VDE-g775dZs/mqdefault.jpg,VDE-g775dZs
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,26,NEW,나만 쓰려다가 알려주는 스텐 살림템,174,2026.06.14,"#살림구조대,#코스트코추천템",살림구조대,"117,000",https://img.youtube.com/vi/e2zGvLkZKN4/mqdefault.jpg,e2zGvLkZKN4
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,27,+41,사유 비행장 3년 공짜로 쓰고 입구 막았다고 벌금 때린 주 정부,171,2026.06.11,,1분판결,"24,300",https://img.youtube.com/vi/OqGz-lzqN2E/mqdefault.jpg,OqGz-lzqN2E
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,28,-20,프사신청 빨리 해주세요😃😃😃 drawing your profilepicture ‪@totodoeseverything‬,165,2026.06.12,"#구독자,#프사그리기",무한잉크가위손,"141,000",https://img.youtube.com/vi/pFrzddqZSIk/mqdefault.jpg,pFrzddqZSIk
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,29,-26,달달한 썸타는 남녀 카톡 엿보기🥰.jpg,159,2026.06.12,"#shorts,#쇼츠",똘킹,"949,000",https://img.youtube.com/vi/__sWFPxCOxk/mqdefault.jpg,__sWFPxCOxk
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,30,-1,잘못된 직원 참교육 시키는 김무열,154,2026.06.11,"#넷플릭스,#웨이브",즐겨찾기,"48,099",https://img.youtube.com/vi/HObQb76AyG0/mqdefault.jpg,HObQb76AyG0
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,31,NEW,육해공군별 예비군훈련 특징ㅋㅋ,146,2026.06.14,,앗싸참수리,"226,000",https://img.youtube.com/vi/eWl_DJJnDrw/mqdefault.jpg,eWl_DJJnDrw
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,32,NEW,매트릭스 코드처럼 쏟아지는 기포의 정체,137,2026.06.13,,지식봄,"67,400",https://img.youtube.com/vi/yH9A4hFD6HQ/mqdefault.jpg,yH9A4hFD6HQ
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,33,+67,눈으로 보고도 못 믿는 순간들,131,2026.05.24,,옥수수,"35,500",https://img.youtube.com/vi/Ww9V6cuCtGg/mqdefault.jpg,Ww9V6cuCtGg
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,34,NEW,진짜 잘 샀다싶은 1만원대 주방꿀템 2가지!,111,2026.06.13,"#공구예고,#텀블러거치대",살구홈,"83,100",https://img.youtube.com/vi/2gGcRq1KVtk/mqdefault.jpg,2gGcRq1KVtk
일간,2026-06-14,shorts,한국,노하우/스타일,댓글 순위,35,-1,꼭 대충입고 나갔을때만 보이는 뷰,106,2026.06.10,"#유머,#쇼츠",숏매점,"2,810",https://img.youtube.com/vi/5YNPvE2Th5w/mqdefault.jpg,5YNPvE2Th5w
