Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,뉴스/정치,댓글 순위,1,NEW,매불쇼 최욱 휴방결정에 오윤혜의 진심어린 한마디,2600,2026.06.13,"#이재명,#조국",The민주피플,"50,100",https://img.youtube.com/vi/3B-Vd1XUoac/mqdefault.jpg,3B-Vd1XUoac
일간,2026-06-14,shorts,한국,뉴스/정치,댓글 순위,2,+840,EU와 함께 북한을 규탄하고도 보도 자료에는 빼버린 이재명,1866,2026.06.12,"#이재명,#민주당",우파보이스,"119,000",https://img.youtube.com/vi/6yFmxGutmXo/mqdefault.jpg,6yFmxGutmXo
일간,2026-06-14,shorts,한국,뉴스/정치,댓글 순위,3,+3,교사한테 악성민원 넣던 학부모가 장례식장까지 쫓아가 하는 말..ㄷㄷ,1800,2026.06.11,,거리의 무법자들,"166,000",https://img.youtube.com/vi/KmDSpj-zTvA/mqdefault.jpg,KmDSpj-zTvA
일간,2026-06-14,shorts,한국,뉴스/정치,댓글 순위,4,NEW,'4.19도 대통령 하야했는데?' 팩폭해버린 이진숙 의원,1500,2026.06.13,"#지방선거,#재보궐선거",뉴스관심법,"132,000",https://img.youtube.com/vi/__Hhn1Na8fA/mqdefault.jpg,__Hhn1Na8fA
일간,2026-06-14,shorts,한국,뉴스/정치,댓글 순위,5,NEW,낙선후에도 진심 봉사중인 용남이형,1500,2026.06.13,"#김용남,#민주당",정치고고,"54,600",https://img.youtube.com/vi/aGDEjNt_rrs/mqdefault.jpg,aGDEjNt_rrs
일간,2026-06-14,shorts,한국,뉴스/정치,댓글 순위,6,+215,정반대입니다,1430,2026.06.13,"#전한길,#전한길뉴스",1waynews 한길뉴스,"915,000",https://img.youtube.com/vi/k7vSF9EvWOI/mqdefault.jpg,k7vSF9EvWOI
일간,2026-06-14,shorts,한국,뉴스/정치,댓글 순위,7,+85,"서영교 반격에 한동훈 맞불, 국회가 술렁!",1371,2026.06.12,"#한동훈,#서영교",시사 아가리TV,"16,600",https://img.youtube.com/vi/-AxO1c6Lrcs/mqdefault.jpg,-AxO1c6Lrcs
일간,2026-06-14,shorts,한국,뉴스/정치,댓글 순위,8,+339,"""한동훈계 경고한다"" 장동혁 뿔났다 ㄷㄷㄷㄷ",1323,2026.06.11,#웃긴짤,폼생폼사,"843,000",https://img.youtube.com/vi/IgDPu8yBPcI/mqdefault.jpg,IgDPu8yBPcI
일간,2026-06-14,shorts,한국,뉴스/정치,댓글 순위,9,NEW,그 명령을 거부하십시오,1300,2026.06.14,"#전한길,#전한길뉴스",1waynews 한길뉴스,"915,000",https://img.youtube.com/vi/n8sbxqJrbAQ/mqdefault.jpg,n8sbxqJrbAQ
일간,2026-06-14,shorts,한국,뉴스/정치,댓글 순위,10,NEW,이재명의 통합과 포용? 당은 그냥 내버려 두세요,1300,2026.06.14,,더얌마,"216,000",https://img.youtube.com/vi/hD0-jOUwVbM/mqdefault.jpg,hD0-jOUwVbM
