Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,1,NEW,잠실에 등장한 '붉은 레이저'의 정체,56801,2026.06.14,N/A,뉴스팩트,"149,000",https://img.youtube.com/vi/S9VgQB9MM4Q/mqdefault.jpg,S9VgQB9MM4Q
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,2,+185,정반대입니다,46518,2026.06.13,"#전한길,#전한길뉴스",1waynews 한길뉴스,"915,000",https://img.youtube.com/vi/k7vSF9EvWOI/mqdefault.jpg,k7vSF9EvWOI
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,3,NEW,유럽이 이대통령을 위해 준비한 역대급 대우를 보고 중국언론이 난리난 이유,46155,2026.06.14,"#이재명,#더불어민주당",정치한줄,"240,000",https://img.youtube.com/vi/4aKl6V34n7I/mqdefault.jpg,4aKl6V34n7I
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,4,NEW,이탈리아 한복 패션쇼에 영부인 등장하자 시선 집중,45888,2026.06.13,"#이재명대통령,#김혜경여사",대한시민김상식,"95,000",https://img.youtube.com/vi/X2s5hbWzpWc/mqdefault.jpg,X2s5hbWzpWc
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,5,NEW,긴급 속보입니다,36418,2026.06.12,"#전한길,#전한길뉴스",1waynews 한길뉴스,"914,000",https://img.youtube.com/vi/hejvEhsJXaY/mqdefault.jpg,hejvEhsJXaY
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,6,NEW,왜곡보도의 종말?,36348,2026.06.13,"#전한길,#전한길뉴스",1waynews 한길뉴스,"914,000",https://img.youtube.com/vi/_DhdbZLSDmk/mqdefault.jpg,_DhdbZLSDmk
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,7,NEW,분명히 경고합니다,36311,2026.06.13,"#전한길,#전한길뉴스",1waynews 한길뉴스,"914,000",https://img.youtube.com/vi/fiQRvFlPhzI/mqdefault.jpg,fiQRvFlPhzI
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,8,NEW,김어준은 왜 김민석 총리를 공격하나?,36016,2026.06.13,,고발뉴스TV,"769,000",https://img.youtube.com/vi/jTjs-VXV7cE/mqdefault.jpg,jTjs-VXV7cE
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,9,NEW,선관위 압수수색 철퇴 맞다! 자기들 놀이터로 만든 세금 도둑들!,35033,2026.06.12,,국민이 주인이다,"219,000",https://img.youtube.com/vi/aHoMFfUiLLQ/mqdefault.jpg,aHoMFfUiLLQ
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,10,+3,119 구급대원이 산모를 구급차에 태우지 않은 이유,31637,2026.06.10,,1분뉴스쇼,"209,000",https://img.youtube.com/vi/8P10rfDiGxU/mqdefault.jpg,8P10rfDiGxU
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,11,+1,곧 심판받을 명단,30597,2026.06.12,"#전한길,#전한길뉴스",1waynews 한길뉴스,"914,000",https://img.youtube.com/vi/rsaoSa-gqW0/mqdefault.jpg,rsaoSa-gqW0
일간,2026-06-14,shorts,한국,뉴스/정치,좋아요 순위,12,+562,비행기에서 내리자마자 별바다부산 나이트마켓 (화명생태공원)에 갔습니다. 낙동강변이라 시원하고 참 좋습니다.,28880,2026.06.12,"#덕천2동,#오토캠핑장",한동훈,"372,000",https://img.youtube.com/vi/THSn4Co3JIo/mqdefault.jpg,THSn4Co3JIo
