Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,동물,댓글 순위,1,NEW,DIA DELÍCIA,1000,2025.07.09,"#chihuahua,#trending",Yoda Jjeom,"1,440,000",https://img.youtube.com/vi/GFz77-K0yng/mqdefault.jpg,GFz77-K0yng
일간,2026-06-14,shorts,한국,동물,댓글 순위,2,NEW,얼굴에 선명한 하트 무늬가 있는 2개월 아기 시골개,409,2026.06.14,"#강아지,#반려견",시고르 우체부,"133,000",https://img.youtube.com/vi/Cuc00Z8ZPSI/mqdefault.jpg,Cuc00Z8ZPSI
일간,2026-06-14,shorts,한국,동물,댓글 순위,3,+23,"자전거 여행 중, 수풀 속에 묻어주려던 강아지가..??",404,2026.06.12,"#shorts,#유기견",Squabble pets,"3,460",https://img.youtube.com/vi/g4A0puW0Hq0/mqdefault.jpg,g4A0puW0Hq0
일간,2026-06-14,shorts,한국,동물,댓글 순위,4,-3,집도 이름도 없는 6살 시골개에게 꽃화분을 선물한 진짜 이유,400,2026.06.12,"#강아지,#반려견",시고르 우체부,"133,000",https://img.youtube.com/vi/YYgjK6JgxL4/mqdefault.jpg,YYgjK6JgxL4
일간,2026-06-14,shorts,한국,동물,댓글 순위,5,+14,미국인도 멘붕 온 진돗개의 황당한 식사법,312,2026.06.12,"#진돗개,#진도믹스",크릉,"17,200",https://img.youtube.com/vi/CE8sZGieAyY/mqdefault.jpg,CE8sZGieAyY
일간,2026-06-14,shorts,한국,동물,댓글 순위,6,+12,세상에서 가장 위험한 물범의 두 얼굴,307,2026.06.13,,이상한 동물농장,"19,600",https://img.youtube.com/vi/dgkDzSJEJT0/mqdefault.jpg,dgkDzSJEJT0
일간,2026-06-14,shorts,한국,동물,댓글 순위,7,NEW,하염없이 주방에서 기다리는 설탕이,306,2026.06.13,,해수인tv yellow aquarium,"1,180,000",https://img.youtube.com/vi/8DXg2fMfdlw/mqdefault.jpg,8DXg2fMfdlw
일간,2026-06-14,shorts,한국,동물,댓글 순위,8,+1,깨워줄게,300,2026.06.09,"#고양이,#쫄보야수",야수야수야,"8,210",https://img.youtube.com/vi/cYP8_ao2vZA/mqdefault.jpg,cYP8_ao2vZA
일간,2026-06-14,shorts,한국,동물,댓글 순위,9,NEW,말 많던 강아지가 크면 생기는 일ㅋㅋㅋ,298,2026.06.14,#shorts,시골강아지 도담이,"180,000",https://img.youtube.com/vi/aMKZVoFNDFc/mqdefault.jpg,aMKZVoFNDFc
일간,2026-06-14,shorts,한국,동물,댓글 순위,10,NEW,은퇴한 군견 셰퍼드 레오 새볔길을 매일 달리는 이유,260,2026.06.13,"#강아지,#애견영상",포근한 발자국,"60,199",https://img.youtube.com/vi/zZMvqh1_IyA/mqdefault.jpg,zZMvqh1_IyA
일간,2026-06-14,shorts,한국,동물,댓글 순위,11,NEW,마음 한켠에,257,2026.06.14,"#AI,#냠냠왕국",yumyum_kingdom 냠냠왕국,"97,000",https://img.youtube.com/vi/SmOxuBDwBC4/mqdefault.jpg,SmOxuBDwBC4
일간,2026-06-14,shorts,한국,동물,댓글 순위,12,-2,특이점에 도달했다는 로봇 업계,237,2026.06.08,,김파도,"14,100",https://img.youtube.com/vi/keHWFUELp4Y/mqdefault.jpg,keHWFUELp4Y
일간,2026-06-14,shorts,한국,동물,댓글 순위,13,+58,사납게 덤벼드는 리트리버 참교육 방법 교육,201,2026.06.07,"#서열1위,#입질",라온이네하우스 Raonine House,"243,000",https://img.youtube.com/vi/VqQavd7jIkk/mqdefault.jpg,VqQavd7jIkk
일간,2026-06-14,shorts,한국,동물,댓글 순위,14,-1,위급한 상황에서 선택한 어미고양이의 헌신적인 사랑,200,2026.05.30,"#고양이,#어미고양이",멍제로,"28,200",https://img.youtube.com/vi/7fqJTXtiOR4/mqdefault.jpg,7fqJTXtiOR4
일간,2026-06-14,shorts,한국,동물,댓글 순위,15,NEW,길에 버려진 강아지를 입양한 화물차기사님,200,2026.06.13,"#유기견구조,#화물차기사",뭉클몽,"48,700",https://img.youtube.com/vi/jcO_CVvg-nk/mqdefault.jpg,jcO_CVvg-nk
일간,2026-06-14,shorts,한국,동물,댓글 순위,16,NEW,‘의외로 골치 아프다는‘ 아이돌 팬덤 유형,200,2026.06.05,"#리센느,#kpop",팬픽,"167,000",https://img.youtube.com/vi/x32U68p0yqo/mqdefault.jpg,x32U68p0yqo
일간,2026-06-14,shorts,한국,동물,댓글 순위,17,NEW,예의가 너무 없는 갱이씨,187,2026.06.13,,김양갱은 못말려,"253,000",https://img.youtube.com/vi/25YDyerf-t8/mqdefault.jpg,25YDyerf-t8
일간,2026-06-14,shorts,한국,동물,댓글 순위,18,-10,Where did hui learn to bathe? 셋째 후이 목욕하는건 어디서 배웠을까?,184,2026.06.13,"#아이바오,#러바오",두루두루세상,"12,800",https://img.youtube.com/vi/E8FPRWf3vMI/mqdefault.jpg,E8FPRWf3vMI
일간,2026-06-14,shorts,한국,동물,댓글 순위,19,+3,장난치다 선 넘어버린 고집불통 댕댕이,174,2026.06.09,"#골든리트리버,#강아지장난",10초뉴스,"60,199",https://img.youtube.com/vi/p7fTGh54TmA/mqdefault.jpg,p7fTGh54TmA
일간,2026-06-14,shorts,한국,동물,댓글 순위,20,NEW,대한민국 월드컵 화이팅!!!🇰🇷👏🏻,170,2026.06.14,"#asmr,#cute",헿휘핑,"149,000",https://img.youtube.com/vi/3-eV_9q8Np0/mqdefault.jpg,3-eV_9q8Np0
일간,2026-06-14,shorts,한국,동물,댓글 순위,21,NEW,"한국 진돗개 처음 본 미국인들 반응 (백구, 호구)",156,2026.06.14,"#진돗개,#진도믹스",크릉,"17,200",https://img.youtube.com/vi/jcWjsSyUPkI/mqdefault.jpg,jcWjsSyUPkI
일간,2026-06-14,shorts,한국,동물,댓글 순위,22,-1,警察犬が橋から飛び込んだ理由｜K9 ストリーター,153,2026.06.11,"#警察犬,#K9",ミニセカ,"44,500",https://img.youtube.com/vi/aMz4wcck02M/mqdefault.jpg,aMz4wcck02M
일간,2026-06-14,shorts,한국,동물,댓글 순위,23,NEW,월드컵 개막식 무대에서 드레스에 운동화 신은 이재,150,2026.06.13,,맥스폼,"14,300",https://img.youtube.com/vi/-9O1vKgp8Hw/mqdefault.jpg,-9O1vKgp8Hw
일간,2026-06-14,shorts,한국,동물,댓글 순위,24,NEW,전신마취 회복중..  (feat. 동물병원),135,2026.06.13,"#이야기쁨,#강아지",이야기쁨,"53,600",https://img.youtube.com/vi/fyj-_WAGRPw/mqdefault.jpg,fyj-_WAGRPw
일간,2026-06-14,shorts,한국,동물,댓글 순위,25,NEW,출발 3초만에 승부는 끝났다🥳🐶,133,2026.06.14,"#네눈박이,#미미야놀자",미미야놀자🎵,"3,920",https://img.youtube.com/vi/rTl4ewqk0Cc/mqdefault.jpg,rTl4ewqk0Cc
일간,2026-06-14,shorts,한국,동물,댓글 순위,26,+65,아기고양이가 살 안찌는 이유?,132,2026.06.13,"#다이어트,#착한고양이",개두부와 냥이들,"9,120",https://img.youtube.com/vi/0qt-fQWefRI/mqdefault.jpg,0qt-fQWefRI
일간,2026-06-14,shorts,한국,동물,댓글 순위,27,+90,아빠  말에 두번 연속 하이파이브🐶💯,126,2026.06.13,"#네눈박이,#미미야놀자",미미야놀자🎵,"3,920",https://img.youtube.com/vi/BcI8Tij59YQ/mqdefault.jpg,BcI8Tij59YQ
일간,2026-06-14,shorts,한국,동물,댓글 순위,28,-21,도시 사람들이 시골에 버리고 간 웰시코기의 현재 모습,125,2026.06.13,"#강아지,#반려견",시고르 우체부,"133,000",https://img.youtube.com/vi/ynwXygrhCE8/mqdefault.jpg,ynwXygrhCE8
일간,2026-06-14,shorts,한국,동물,댓글 순위,29,NEW,진정한 시골똥개들의 삶,122,2026.06.14,,시골똥개들,"12,800",https://img.youtube.com/vi/v4zrajXthA0/mqdefault.jpg,v4zrajXthA0
일간,2026-06-14,shorts,한국,동물,댓글 순위,30,+7,일 마치고 집에 온 아들이 얼어버린 이유,119,2026.06.10,,귀염단속반,"16,600",https://img.youtube.com/vi/2Ou1Xj3eXd0/mqdefault.jpg,2Ou1Xj3eXd0
일간,2026-06-14,shorts,한국,동물,댓글 순위,31,NEW,물이 이렇게 맛있을 일인가요?💧,119,2026.06.14,"#asmr,#asmrsounds",개두부와 냥이들,"9,120",https://img.youtube.com/vi/VNZc07cwsMo/mqdefault.jpg,VNZc07cwsMo
일간,2026-06-14,shorts,한국,동물,댓글 순위,32,+114,8개월째 아파트 현관 앞을 떠나지 못하는 고양이,110,2026.06.10,"#shorts,#사지말고입양세요",집사의자세,"6,740",https://img.youtube.com/vi/zNpFnrTWou4/mqdefault.jpg,zNpFnrTWou4
일간,2026-06-14,shorts,한국,동물,댓글 순위,33,-9,요즘 젊은 범고래의 미친 유행,109,2026.06.11,,이상한 동물농장,"19,600",https://img.youtube.com/vi/NZlK4myM2cE/mqdefault.jpg,NZlK4myM2cE
일간,2026-06-14,shorts,한국,동물,댓글 순위,34,-29,늦잠 자는 집사에게 냥펀치 폭격하는 고양이ㅋㅋ,108,2026.06.13,"#고양이,#웃긴고양이",냥숏,"60,599",https://img.youtube.com/vi/HoRBlTEX-Do/mqdefault.jpg,HoRBlTEX-Do
일간,2026-06-14,shorts,한국,동물,댓글 순위,35,NEW,걱정스러운 눈빛으로 걱정하는 표정,107,2026.06.13,,말랑말랑 포실포실,"58,500",https://img.youtube.com/vi/4cCtn-4k69w/mqdefault.jpg,4cCtn-4k69w
일간,2026-06-14,shorts,한국,동물,댓글 순위,36,+38,차밑에 숨어 떠는 아기유기견에게 손을 내밀자 일어난 기적,104,2026.06.11,,즐겁개 함께해옹,"178,000",https://img.youtube.com/vi/B0JSi4ZGmAw/mqdefault.jpg,B0JSi4ZGmAw
일간,2026-06-14,shorts,한국,동물,댓글 순위,37,NEW,지도에 1000번 찍힌 가이드의 정체 (감동주의),101,2026.06.13,"#강아지,#반려견",누워냥댕,"7,490",https://img.youtube.com/vi/7ZqxPCjaFhM/mqdefault.jpg,7ZqxPCjaFhM
일간,2026-06-14,shorts,한국,동물,댓글 순위,38,NEW,나도 좋아,101,2026.06.13,,재롱잔치,"474,000",https://img.youtube.com/vi/8RUn9feFw8U/mqdefault.jpg,8RUn9feFw8U
일간,2026-06-14,shorts,한국,동물,댓글 순위,39,+5,발톱 깎으면 자꾸 깨무는 고양이. 3년차 집사가 터득한 방법,100,2026.06.07,,냥심멍심,"30,200",https://img.youtube.com/vi/A36pBDrVu60/mqdefault.jpg,A36pBDrVu60
일간,2026-06-14,shorts,한국,동물,댓글 순위,40,NEW,아기 재규어런디가 하이에나들에게 공격 받고 있었습니다.,100,2026.03.15,,veltor-x8c,"459,000",https://img.youtube.com/vi/nHuIy2K8Geg/mqdefault.jpg,nHuIy2K8Geg
