Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,1,NEW,손흥민을 월드컵에서 빼라고?,3000,2026.06.14,,타임싸커,"25,700",https://img.youtube.com/vi/N5g0EhB216U/mqdefault.jpg,N5g0EhB216U
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,2,NEW,해외 언론이 예측한 월드컵 일본 네덜란드전 결과ㄷㄷㄷ,1100,2026.06.14,"#shorts,#월드컵",축구토크,"14,700",https://img.youtube.com/vi/2B8ZCzCCkFA/mqdefault.jpg,2B8ZCzCCkFA
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,3,NEW,체코전 수비를 진두지휘하는 김민재,1000,2026.06.14,"#김민재,#kimminjae",JUN STUDIO,"65,900",https://img.youtube.com/vi/K4VpnwGnjC4/mqdefault.jpg,K4VpnwGnjC4
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,4,+32,하프 스페이스 공략이 통했던 체코전   [국대: 로드 투 노스 아메리카],1000,2026.06.12,"#홍명보,#오현규",JUN STUDIO,"65,900",https://img.youtube.com/vi/UoAWAvvcwmE/mqdefault.jpg,UoAWAvvcwmE
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,5,-2,삼성 vs 정부 기싸움 근황,1000,2026.06.13,,주먹감자,"23,000",https://img.youtube.com/vi/jcIeKGich6U/mqdefault.jpg,jcIeKGich6U
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,6,NEW,"손흥민,.그가 캡틴인 이유🔥",950,2026.06.13,,AmazingBrother,"57,200",https://img.youtube.com/vi/YqCRY1zZYXs/mqdefault.jpg,YqCRY1zZYXs
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,7,NEW,이와중에 탄생한 조선족 정치인,842,2026.06.14,,주먹감자,"23,000",https://img.youtube.com/vi/idnY35Y8b2A/mqdefault.jpg,idnY35Y8b2A
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,8,+45,이강인이 국대만 오면 답답해 하는 이유,701,2026.05.21,,들었어?,"234,000",https://img.youtube.com/vi/1IZHlxEWH-I/mqdefault.jpg,1IZHlxEWH-I
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,9,NEW,스페이스X 상장에 뜻밖의 국내 개미 근황,685,2026.06.14,,주먹감자,"23,000",https://img.youtube.com/vi/8F9srl9V4hU/mqdefault.jpg,8F9srl9V4hU
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,10,NEW,순위별 32강 경우의 수,653,2026.06.13,"#shorts,#쇼츠",필리 주니어,"7,570",https://img.youtube.com/vi/m_9R4KhjBks/mqdefault.jpg,m_9R4KhjBks
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,11,-10,인정 할 수 밖에 없는 홍명보의 체코전 용병술,600,2026.06.13,,축구모듬,"2,090",https://img.youtube.com/vi/v9_o36SnI4s/mqdefault.jpg,v9_o36SnI4s
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,12,0,승부욕 불타는 04년생 선수가 라이벌에게 석패하고 벌어진 뜻밖의 논란,600,2026.06.10,"#장가연,#권발해",SBS Sports,"598,000",https://img.youtube.com/vi/ICudCRjqnkA/mqdefault.jpg,ICudCRjqnkA
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,13,+4,손흥민이 군대 안간 새x라고?,600,2026.06.10,,타임싸커,"25,700",https://img.youtube.com/vi/na_Mx3YXDpM/mqdefault.jpg,na_Mx3YXDpM
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,14,NEW,손흥민이 숨은 주역이라는 골키퍼 김승규 반응ㄷㄷ,504,2026.06.13,"#손흥민,#김승규",언리얼 보이,"99,000",https://img.youtube.com/vi/lzQimbdVHxM/mqdefault.jpg,lzQimbdVHxM
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,15,+16,손흥민 이강인 모른다는 ‘월드컵 상대 남아공 감독’..ㄷㄷ,500,2026.06.11,,킥킥싸커,"3,990",https://img.youtube.com/vi/xuN-u0Qb4SA/mqdefault.jpg,xuN-u0Qb4SA
일간,2026-06-14,shorts,한국,스포츠,댓글 순위,16,NEW,황인범 동점골에 숨겨진 움직임의 디테일,494,2026.06.13,#축구,운동부누나들,"29,900",https://img.youtube.com/vi/ngduswfuC3U/mqdefault.jpg,ngduswfuC3U
