Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,스포츠,조회수 순위,1,NEW,체코전 수비를 진두지휘하는 김민재,2091078,2026.06.14,"#김민재,#kimminjae",JUN STUDIO,"65,900",https://img.youtube.com/vi/K4VpnwGnjC4/mqdefault.jpg,K4VpnwGnjC4
일간,2026-06-14,shorts,한국,스포츠,조회수 순위,2,+25,이강인이 국대만 오면 답답해 하는 이유,1938641,2026.05.21,N/A,들었어?,"234,000",https://img.youtube.com/vi/1IZHlxEWH-I/mqdefault.jpg,1IZHlxEWH-I
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,3,0,체코전 출격 직전의 손흥민,1625827,2026.06.12,"#2026북중미월드컵,#fifaworldcuponyt",올스,"392,000",https://img.youtube.com/vi/UbTHdtT7EDY/mqdefault.jpg,UbTHdtT7EDY
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,4,-4,링 위에서 펼쳐지는 예술적인 타격의 미학,1597240,2026.05.31,"#fighter,#technique",풍풍이네,"34,200",https://img.youtube.com/vi/v6qy6KuIysA/mqdefault.jpg,v6qy6KuIysA
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,5,+1,F1 스탑 챌린지,1292785,2026.05.06,"#f1,#formula1",SNE - Sports Nice Entertainment,"123,000",https://img.youtube.com/vi/4KyCA_Yt-zk/mqdefault.jpg,4KyCA_Yt-zk
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,6,NEW,체코전 황희찬 VS 황인범 접기 대결🔥,1260503,2026.06.13,"#황희찬,#황인범",JUN STUDIO,"66,800",https://img.youtube.com/vi/5N9LqG9gyFI/mqdefault.jpg,5N9LqG9gyFI
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,7,+4,2026 FIFA 월드컵 응원하러 가자!!!⚽  ​⁠‪@YouTube‬  ‪@fifa‬,1114180,2026.06.11,"#AD,#FIFAWorldCup",꽉잡아윤기-Kwakyoongy,"946,000",https://img.youtube.com/vi/NuJsPjn3Ez8/mqdefault.jpg,NuJsPjn3Ez8
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,8,+4,미국을 경악하게 만든 동양 무술,1109215,2026.06.11,"#격투기,#킥복싱",매거진 시크,"116,000",https://img.youtube.com/vi/7Hk_aRwtetg/mqdefault.jpg,7Hk_aRwtetg
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,9,-7,저격수 송구?,1028954,2026.06.10,"#mlb,#야구",YNY,"70,800",https://img.youtube.com/vi/-M4lMyKB9sI/mqdefault.jpg,-M4lMyKB9sI
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,10,NEW,멕시코전을 위해 한국이 숨겨놓은 선수,1018261,2026.06.13,"#옌스,#한국축구대표팀",축구천재 강호빈,"3,450",https://img.youtube.com/vi/ixZxrYfJgOE/mqdefault.jpg,ixZxrYfJgOE
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,11,+2,[축구잘하면 결혼이고 뭐고 ★대환장파티★,991411,2026.06.10,#7],올스,"392,000",https://img.youtube.com/vi/XP1McF0Q9V0/mqdefault.jpg,XP1McF0Q9V0
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,12,NEW,[월드컵 퇴근길] 이영표와 손흥민의 만남! 가슴이 웅장(?)해진다⭐,961591,2026.06.13,"#fifaworldcuponyt,#2026북중미월드컵",올스,"392,000",https://img.youtube.com/vi/FKlTvYxBnZM/mqdefault.jpg,FKlTvYxBnZM
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,13,NEW,이강인 인터뷰! 말투뭐야ㅋㅋ 없어요~,953288,2026.06.12,"#이강인,#kanginlee",빠져버림,"40,300",https://img.youtube.com/vi/m_7cw6iA8jw/mqdefault.jpg,m_7cw6iA8jw
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,14,NEW,체코전 끝난 후 해외 팬들이 한국을 바라보는 시선,930316,2026.06.12,"#월드컵,#대한민국",축구 읽어주는 여자 쵱내,"213,000",https://img.youtube.com/vi/Eb17pQ3DMos/mqdefault.jpg,Eb17pQ3DMos
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,15,0,Splits Challenge⁉️😱,902841,2026.01.30,,팀일루션 노성율,"11,500,000",https://img.youtube.com/vi/U1O4jmTiXZs/mqdefault.jpg,U1O4jmTiXZs
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,16,+25,LOVE Challenge⁉️❤️,891429,2026.06.12,,팀일루션 노성율,"11,500,000",https://img.youtube.com/vi/zuHphTFz7w8/mqdefault.jpg,zuHphTFz7w8
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,17,+134,이강인이 경기 중에 동료와 약속하면 벌어지는 일,874297,2026.05.25,,들었어?,"234,000",https://img.youtube.com/vi/pd1rPZpb7HI/mqdefault.jpg,pd1rPZpb7HI
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,18,NEW,미국에서 한국인보다 더 한국 응원하는 외국인 팬ㅋㅋ,815502,2026.06.12,"#월드컵,#북중미월드컵",풋티재 FOOTYJAE,"27,000",https://img.youtube.com/vi/vCtJGN2d1QQ/mqdefault.jpg,vCtJGN2d1QQ
일간,2026-06-13,shorts,한국,스포츠,조회수 순위,19,+6,골대 안에서 버그걸린 골키퍼,813032,2026.06.12,"#축구,#골키퍼",물리하는 너구리,"4,990",https://img.youtube.com/vi/RHD5C5kbrtc/mqdefault.jpg,RHD5C5kbrtc
