Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,엔터테인먼트,댓글 순위,1,NEW,승리 가자!⚾,1200,2026.06.14,"#LG트윈스,#LGTWINS",ENHYPEN,"13,900,000",https://img.youtube.com/vi/DdDwe_NXPr4/mqdefault.jpg,DdDwe_NXPr4
일간,2026-06-14,shorts,한국,엔터테인먼트,댓글 순위,2,NEW,이 돈 드릴테니 미국월드컵에서 축구공 사와주실수있나요?,1000,2026.06.14,,보겸TV,"18,400,000",https://img.youtube.com/vi/SgnUWya7kFU/mqdefault.jpg,SgnUWya7kFU
일간,2026-06-14,shorts,한국,엔터테인먼트,댓글 순위,3,NEW,너무 늦은 후회 | Reacts,1000,2025.09.01,"#유백합,#kkubi",유백합 kkubi99,"22,900,000",https://img.youtube.com/vi/vYwDx-zcfn0/mqdefault.jpg,vYwDx-zcfn0
일간,2026-06-14,shorts,한국,엔터테인먼트,댓글 순위,4,NEW,당신의 픽을 선택해 주세요,999,2026.06.14,#ai전광판,웃소 Wootso,"2,040,000",https://img.youtube.com/vi/DMZOUl3_Nhs/mqdefault.jpg,DMZOUl3_Nhs
일간,2026-06-14,shorts,한국,엔터테인먼트,댓글 순위,5,NEW,거리에서 태극기가 사라졌다,943,2026.06.14,,멸치볶음,"28,900",https://img.youtube.com/vi/QCvO7oJJsTg/mqdefault.jpg,QCvO7oJJsTg
일간,2026-06-14,shorts,한국,엔터테인먼트,댓글 순위,6,+271,make a song,897,2026.06.14,"#fyp,#youtubeshorts",na༄˖°.,"49,000",https://img.youtube.com/vi/UJhst8keV5k/mqdefault.jpg,UJhst8keV5k
일간,2026-06-14,shorts,한국,엔터테인먼트,댓글 순위,7,NEW,국가별 월드컵 여신 비주얼 체급 차이ㄷㄷ(마지막 한국 대표 국뽕 차오르네ㅋㅋㅋㅋ),821,2026.06.14,"#월드컵미녀,#카리나",콘콘,"15,400",https://img.youtube.com/vi/fGCasdDxB6M/mqdefault.jpg,fGCasdDxB6M
일간,2026-06-14,shorts,한국,엔터테인먼트,댓글 순위,8,NEW,It’s like a Drop of Love🩸,724,2026.06.14,"#ENHYPEN,#WorldBloodDonorDay",ENHYPEN,"13,900,000",https://img.youtube.com/vi/9XlwN4Xd2fw/mqdefault.jpg,9XlwN4Xd2fw
일간,2026-06-14,shorts,한국,엔터테인먼트,댓글 순위,9,NEW,💻야근 후 밤 10시 퇴근루틴🥱,701,2026.06.13,#shorts,이리유 iliyu,"267,000",https://img.youtube.com/vi/lKXCJ4Xu7v4/mqdefault.jpg,lKXCJ4Xu7v4
일간,2026-06-14,shorts,한국,엔터테인먼트,댓글 순위,10,+31,누구에게 자리를 양보할래?,700,2026.06.06,"#shorts,#단즈",단즈,"104,000",https://img.youtube.com/vi/_u8Ie1GjrNM/mqdefault.jpg,_u8Ie1GjrNM
일간,2026-06-14,shorts,한국,엔터테인먼트,댓글 순위,11,NEW,성조기를 들지 말라는 사람들,661,2026.06.14,,멸치볶음,"28,900",https://img.youtube.com/vi/dFRrR6-m97A/mqdefault.jpg,dFRrR6-m97A
