Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,영화/애니메이션,댓글 순위,1,+19,교권보호국 임한림,700,2026.06.06,"#참교육,#진기주",57초 빌런 - 탐구생활 Villain EP.1,"15,100",https://img.youtube.com/vi/6iXaTDpj7G4/mqdefault.jpg,6iXaTDpj7G4
일간,2026-06-14,shorts,한국,영화/애니메이션,댓글 순위,2,NEW,국회의원 입 닥치게 함,545,2026.06.13,"#참교육,#나화진",57초 빌런 - 탐구생활 Villain EP.1,"15,100",https://img.youtube.com/vi/rY3_9N67yog/mqdefault.jpg,rY3_9N67yog
일간,2026-06-14,shorts,한국,영화/애니메이션,댓글 순위,3,NEW,Gen Alpha naming their kids,409,2026.06.13,,Plan3,"2,670,000",https://img.youtube.com/vi/gCQ8yZyXqQw/mqdefault.jpg,gCQ8yZyXqQw
일간,2026-06-14,shorts,한국,영화/애니메이션,댓글 순위,4,-1,마트 캐셔의 비참한 현실...,406,2026.06.12,"#영화소개,#영화추천",리씨네,"476,000",https://img.youtube.com/vi/7-vP4_lc62A/mqdefault.jpg,7-vP4_lc62A
일간,2026-06-14,shorts,한국,영화/애니메이션,댓글 순위,5,NEW,Alien Stage - 타임랩스,367,2026.06.14,,샬론티,"346,000",https://img.youtube.com/vi/eTJ-L28f2eQ/mqdefault.jpg,eTJ-L28f2eQ
일간,2026-06-14,shorts,한국,영화/애니메이션,댓글 순위,6,-2,진짜 모창이 뭔지 보여준 레전드 참가자,347,2026.06.13,"#노래,#shorts",숏도넛,"19,900",https://img.youtube.com/vi/QjI6GcOiIGc/mqdefault.jpg,QjI6GcOiIGc
일간,2026-06-14,shorts,한국,영화/애니메이션,댓글 순위,7,-6,Yararara💥,288,2026.06.13,"#너는나의나는너의수호천사,#너나나너수호천사",세라비 SERAVIEE,"1,530,000",https://img.youtube.com/vi/JziGG8f-MgU/mqdefault.jpg,JziGG8f-MgU
일간,2026-06-14,shorts,한국,영화/애니메이션,댓글 순위,8,NEW,XXX가 없는 이유,282,2026.06.13,"#모아나,#영화추천",빨강도깨비,"967,000",https://img.youtube.com/vi/0TejzYAYFO8/mqdefault.jpg,0TejzYAYFO8
일간,2026-06-14,shorts,한국,영화/애니메이션,댓글 순위,9,+30,임한림과 나화진의 시작된 인연《참교육》,271,2026.06.12,"#참교육,#드라마",숏영드,"48,400",https://img.youtube.com/vi/ijGEAXkOUCU/mqdefault.jpg,ijGEAXkOUCU
일간,2026-06-14,shorts,한국,영화/애니메이션,댓글 순위,10,+92,촉법소년 3분 짜장 재판이 불러온 결과,238,2026.06.11,"#드라마추천,#소년심판",빽숏,"12,800",https://img.youtube.com/vi/o7Kx3l7ASWw/mqdefault.jpg,o7Kx3l7ASWw
일간,2026-06-14,shorts,한국,영화/애니메이션,댓글 순위,11,+3,スネイプが常に不機嫌だった理由,225,2026.06.10,"#ワーナーブラザーズ,#ハリーポッター",フィルムチェーン,"95,800",https://img.youtube.com/vi/8mQmWSZL114/mqdefault.jpg,8mQmWSZL114
