Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,음악,댓글 순위,1,NEW,"with BTS. To everyone who keeps swimming no matter what, we send our love and support.",9200,2026.06.13,#KEEPSWIMMING,BANGTANTV,"84,800,000",https://img.youtube.com/vi/3ZOFQ33sLBE/mqdefault.jpg,3ZOFQ33sLBE
일간,2026-06-14,shorts,한국,음악,댓글 순위,2,NEW,when life gives you limes 🍋‍🟩,1800,2026.06.14,"#BABYMONSTER,#베이비몬스터",BABYMONSTER,"12,300,000",https://img.youtube.com/vi/g6VUe_hXxio/mqdefault.jpg,g6VUe_hXxio
일간,2026-06-14,shorts,한국,음악,댓글 순위,3,NEW,@katseyeworld  is ICONIC🫶,1500,2026.06.14,"#MINJU,#ILLIT",ILLIT,"4,820,000",https://img.youtube.com/vi/Zcnk7jTmHos/mqdefault.jpg,Zcnk7jTmHos
일간,2026-06-14,shorts,한국,음악,댓글 순위,4,+71,Hit that stage ⋆⁺₊⋆°⋆,1468,2026.06.13,"#BABYMONSTER,#베이비몬스터",BABYMONSTER,"12,300,000",https://img.youtube.com/vi/l06ebVtIjas/mqdefault.jpg,l06ebVtIjas
일간,2026-06-14,shorts,한국,음악,댓글 순위,5,NEW,ain’t the same 💅,1200,2026.06.14,"#BABYMONSTER,#베이비몬스터",BABYMONSTER,"12,300,000",https://img.youtube.com/vi/V1zfPh52yfA/mqdefault.jpg,V1zfPh52yfA
일간,2026-06-14,shorts,한국,음악,댓글 순위,6,+8,is ICONIC🪽,1040,2026.06.13,"#IROHA,#ICONICBYMISTAKE",ILLIT,"4,820,000",https://img.youtube.com/vi/iTID_J6rwg0/mqdefault.jpg,iTID_J6rwg0
일간,2026-06-14,shorts,한국,음악,댓글 순위,7,NEW,"4 Guitars, 1 Free Bird. Which is your favorite?",1000,2026.05.03,"#guitar,#guitarsolo",MOONGUITAR,"18,800",https://img.youtube.com/vi/gJBOZQRWhHs/mqdefault.jpg,gJBOZQRWhHs
일간,2026-06-14,shorts,한국,음악,댓글 순위,8,+73,전 세계인들을 울린 일본 여자 릴레이 마라톤 선수,839,2026.06.13,,콱무비,"1,430",https://img.youtube.com/vi/jLZZlgafTM4/mqdefault.jpg,jLZZlgafTM4
일간,2026-06-14,shorts,한국,음악,댓글 순위,9,-8,Our new collaborative Single ICONIC BY MISTAKE is OUT NOW! ‪@ILLIT_official‬ ‪@katseyeworld‬,700,2026.06.12,"#LE_SSERAFIM,#ILLIT",LE SSERAFIM,"7,800,000",https://img.youtube.com/vi/VetRvrzMGCI/mqdefault.jpg,VetRvrzMGCI
일간,2026-06-14,shorts,한국,음악,댓글 순위,10,NEW,비와이의 미친 선구안,575,2026.06.13,"#힙합,#래퍼",랩집,805,https://img.youtube.com/vi/CabK3j7b-wM/mqdefault.jpg,CabK3j7b-wM
