Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,1,0,"""지방 사니까 최저시급 덜 받아라?",2700,2026.06.13,"#대구,#최저임금",폴리버스,"153,000",https://img.youtube.com/vi/k_GTxlEp38k/mqdefault.jpg,k_GTxlEp38k
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,2,NEW,"(속보) ""장동혁이 문제에요"", 한동훈 폭탄발언 발칵...",2500,2026.06.13,"#정치,#이슈",우팔롬아,"339,000",https://img.youtube.com/vi/nPqAzdxoG7U/mqdefault.jpg,nPqAzdxoG7U
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,3,NEW,위장해서 빠져나가다 시민들에게 딱걸린 선관위 직원들,2200,2026.06.14,,딱선비,"166,000",https://img.youtube.com/vi/oJAZLlhdkTg/mqdefault.jpg,oJAZLlhdkTg
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,4,NEW,"한국 vs 체코 월드컵, 대만과 일본 반응",2100,2026.06.14,"#황인범,#김승규",이거잠깐,"9,940",https://img.youtube.com/vi/9T2ItsPWzEw/mqdefault.jpg,9T2ItsPWzEw
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,5,NEW,"강남역 곳곳에 깃발행진.   ""방첩사 해체"" 논란 속 강남역 상황은?",2100,2026.06.14,"#대한민국,#정치",브리핑코리아,"78,600",https://img.youtube.com/vi/rLfjXGdUvUw/mqdefault.jpg,rLfjXGdUvUw
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,6,NEW,"(속보) 이진숙 잠실 등장, 난리났다...",1900,2026.06.14,"#정치,#이슈",우팔롬아,"339,000",https://img.youtube.com/vi/qAjUL47KWrM/mqdefault.jpg,qAjUL47KWrM
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,7,NEW,"“못해먹겠다” 이 정부에서 경찰 1700명이 관둔 이유, 50초 안에 설명하기",1800,2026.06.14,,꽉TV,"1,260,000",https://img.youtube.com/vi/ZCo92yeY_fA/mqdefault.jpg,ZCo92yeY_fA
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,8,NEW,반말하는 민주당 이재강 박살내는 박상학,1800,2026.06.14,,보수넘버원,"456,000",https://img.youtube.com/vi/Ei0ShaLaJYA/mqdefault.jpg,Ei0ShaLaJYA
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,9,NEW,새치기하는 좌편향 유튜버 박살내버리는 제주도 꾸꾸지니,1800,2026.06.14,,딱선비,"166,000",https://img.youtube.com/vi/GgRKvPUuNy4/mqdefault.jpg,GgRKvPUuNy4
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,10,+90,황금알을 낳는 을왕리 해수욕장,1700,2026.06.11,,위험한 부동숏,"41,300",https://img.youtube.com/vi/lag0Clovp4k/mqdefault.jpg,lag0Clovp4k
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,11,-7,버스 떠났다! 시장 잘못 뽑아 취업길 막히게 생긴 대구 근황,1600,2026.06.13,"#이재명,#추경호",박하사탕,"61,900",https://img.youtube.com/vi/ILhtZjJZ3yg/mqdefault.jpg,ILhtZjJZ3yg
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,12,NEW,"[속보]李정권,북한에 목줄잡혔나! 파장",1600,2026.06.14,,한국의 함성,"133,000",https://img.youtube.com/vi/kP6lvBjGY2Y/mqdefault.jpg,kP6lvBjGY2Y
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,13,NEW,체코전에서 본인은 한게 없다는 손흥민 😢,1500,2026.06.13,,짧은근황,"103,000",https://img.youtube.com/vi/K3iwFiu557E/mqdefault.jpg,K3iwFiu557E
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,14,NEW,'행동 하나로' 또 논란된 장원영,1500,2026.06.14,"#아이브,#장원영",김팩트,"197,000",https://img.youtube.com/vi/SmgMNST2DLY/mqdefault.jpg,SmgMNST2DLY
일간,2026-06-14,shorts,한국,인물/블로그,댓글 순위,15,-4,최강욱: 저사람은 40년간 내가 알았던 사람이 아니다! 민주당 상식 포기할수도...,1500,2026.06.10,#shorts,민주답,"130,000",https://img.youtube.com/vi/kn-xIwBOFjk/mqdefault.jpg,kn-xIwBOFjk
