Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,코메디,댓글 순위,1,+12,멕시코인에게 인종차별당한 660만 한국 유튜버ㄷㄷㄷㄷ,1724,2026.06.13,"#멕시코,#논란",해외유머갤러리,"42,800",https://img.youtube.com/vi/tEN7CZMCslw/mqdefault.jpg,tEN7CZMCslw
일간,2026-06-14,shorts,한국,코메디,댓글 순위,2,+2,캡틴 손흥민이 욕을 먹은 이유ㄷㄷ,1164,2026.06.13,"#손흥민,#월드컵",잼롱도르,"7,540",https://img.youtube.com/vi/0GnhKvCSFWA/mqdefault.jpg,0GnhKvCSFWA
일간,2026-06-14,shorts,한국,코메디,댓글 순위,3,NEW,진짜 미쳐버린 지구 근황,1000,2026.06.14,#shorts,군림보,"1,530,000",https://img.youtube.com/vi/F4kldDfp8h8/mqdefault.jpg,F4kldDfp8h8
일간,2026-06-14,shorts,한국,코메디,댓글 순위,4,-3,월드컵 응원!😂옛날vs요즘ㅋㅋㅋㅋ,1000,2026.06.13,"#웃긴영상,#각종유머",웃교수,"235,000",https://img.youtube.com/vi/TumcRgOMIX0/mqdefault.jpg,TumcRgOMIX0
일간,2026-06-14,shorts,한국,코메디,댓글 순위,5,0,유럽 : 한국아 나토 껴줄게~,968,2026.06.13,#shorts,군림보,"1,530,000",https://img.youtube.com/vi/ccjFhuTQoCY/mqdefault.jpg,ccjFhuTQoCY
일간,2026-06-14,shorts,한국,코메디,댓글 순위,6,NEW,치과치료가 즐거워요☺️,595,2026.06.14,,황당맨,"99,000",https://img.youtube.com/vi/-VyENcRKbAo/mqdefault.jpg,-VyENcRKbAo
일간,2026-06-14,shorts,한국,코메디,댓글 순위,7,+19,일식 경력 10년에도 장사가 안 되는 이유,581,2026.06.08,"#장사의신,#은현장",클립덕,"16,800",https://img.youtube.com/vi/yk-LJwg3BAk/mqdefault.jpg,yk-LJwg3BAk
일간,2026-06-14,shorts,한국,코메디,댓글 순위,8,+2,옛날애들 VS 요즘애들 (보고 자란 만화 시리즈),443,2026.06.13,,김켈리 Kellyfornia,"1,290,000",https://img.youtube.com/vi/fK5ag8D1nkk/mqdefault.jpg,fK5ag8D1nkk
일간,2026-06-14,shorts,한국,코메디,댓글 순위,9,NEW,초등학교 성교육을 공개 비판한 비와이,430,2026.06.14,,뷰티풀너드,"1,490,000",https://img.youtube.com/vi/X7VaLdaZ0dE/mqdefault.jpg,X7VaLdaZ0dE
일간,2026-06-14,shorts,한국,코메디,댓글 순위,10,NEW,급식에 카레 나온날 많이 받는 꿀팁!,408,2026.06.13,#구독자사연,김켈리 Kellyfornia,"1,290,000",https://img.youtube.com/vi/SK8O-noKkDI/mqdefault.jpg,SK8O-noKkDI
일간,2026-06-14,shorts,한국,코메디,댓글 순위,11,+4,아빠와 재회한 푸바오가 깜짝 놀란 이유,400,2026.06.08,"#푸바오,#감동영상",올림,"6,990",https://img.youtube.com/vi/Ga5glywU1AA/mqdefault.jpg,Ga5glywU1AA
일간,2026-06-14,shorts,한국,코메디,댓글 순위,12,+11,아끼면서 장사하면 손님들은 다 느낌,367,2026.06.09,"#장사의신,#은현장",클립덕,"16,800",https://img.youtube.com/vi/uk3uzpyDCmY/mqdefault.jpg,uk3uzpyDCmY
일간,2026-06-14,shorts,한국,코메디,댓글 순위,13,NEW,환장 RPG 감정 저주 술사,358,2026.06.14,,김동희 세계관,"727,000",https://img.youtube.com/vi/JkSs241-_Wg/mqdefault.jpg,JkSs241-_Wg
일간,2026-06-14,shorts,한국,코메디,댓글 순위,14,+41,현재 미국 드라이브 쓰루에서 가장 문제라는 것,353,2026.06.12,#t3,모르면개손해,"364,000",https://img.youtube.com/vi/2hT_iDKr5TU/mqdefault.jpg,2hT_iDKr5TU
일간,2026-06-14,shorts,한국,코메디,댓글 순위,15,NEW,각 나라별 독특한 문화 말하기,334,2026.06.13,,일분일초,"453,000",https://img.youtube.com/vi/V6g09eCIvWE/mqdefault.jpg,V6g09eCIvWE
일간,2026-06-14,shorts,한국,코메디,댓글 순위,16,+59,‘캐릭터 외형 논란’에 정면승부하는 회사 대표?ㅋㅋㅋ,313,2026.06.12,,평양냉면,"32,400",https://img.youtube.com/vi/8GDAbXobHrY/mqdefault.jpg,8GDAbXobHrY
일간,2026-06-14,shorts,한국,코메디,댓글 순위,17,-1,Гао Цзэюй исполнил песню Tanir & Tyomcha - Да да да,300,2026.06.07,,Олег Ким,"2,740,000",https://img.youtube.com/vi/WU7jzvP7hig/mqdefault.jpg,WU7jzvP7hig
일간,2026-06-14,shorts,한국,코메디,댓글 순위,18,-4,나이의 숫자,300,2026.06.10,,가나쌍둥이GHANATWINS,"646,000",https://img.youtube.com/vi/bqReWKLMSF8/mqdefault.jpg,bqReWKLMSF8
일간,2026-06-14,shorts,한국,코메디,댓글 순위,19,NEW,아내의 도발에 아빠들의 현실 반응 ㅋㅋㅋ (입틀막 주의),286,2026.06.13,"#부부일상,#부부시트콤",시니어왕왕,"4,210",https://img.youtube.com/vi/HhuQUMN4K3M/mqdefault.jpg,HhuQUMN4K3M
일간,2026-06-14,shorts,한국,코메디,댓글 순위,20,NEW,멕시코전 대비하는 한국인의 자세,273,2026.06.13,"#월드컵,#멕시코",코미꼬,"1,080,000",https://img.youtube.com/vi/fVSy69B0n7k/mqdefault.jpg,fVSy69B0n7k
