Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,미국,동물,조회수 순위,1,0,locked Scissors the power Snake😱,9103729,2025.11.28,"#snake,#power",MF Creater,"111,000",https://img.youtube.com/vi/elk6Oj2mpB8/mqdefault.jpg,elk6Oj2mpB8
일간,2026-06-14,shorts,미국,동물,조회수 순위,2,+1,What’s your hobby?😅,5106030,2026.04.29,"#cat,#cats",Sonyakisa8 TT,"19,300,000",https://img.youtube.com/vi/gwGr6vcoYWE/mqdefault.jpg,gwGr6vcoYWE
일간,2026-06-14,shorts,미국,동물,조회수 순위,3,NEW,그들이 나를 볼 수 있다고 생각하나요?,5072990,2026.06.14,,Forrest Galante,"2,710,000",https://img.youtube.com/vi/TTSUrA0xjiY/mqdefault.jpg,TTSUrA0xjiY
일간,2026-06-14,shorts,미국,동물,조회수 순위,4,+9,"A brave Alabai puppy, surrounded by jackals, is very happy to see his mother.",4641658,2025.12.02,,Pers Pets,"186,000",https://img.youtube.com/vi/0H_pPDc14Cc/mqdefault.jpg,0H_pPDc14Cc
일간,2026-06-14,shorts,미국,동물,조회수 순위,5,+1,그는 강아지 귀에 교정기를 달았는데 결과가 정말 기가 막히네요 😮,3538742,2026.06.10,,HL Stories,"408,000",https://img.youtube.com/vi/y0z6Hzr_8UY/mqdefault.jpg,y0z6Hzr_8UY
일간,2026-06-14,shorts,미국,동물,조회수 순위,6,-4,루미가 욕실에 혼자 있는데 거품이 온 거리를 뒤덮어버렸어!,3310015,2026.03.10,#kpopdemonhunters,DanceCutter,"414,000",https://img.youtube.com/vi/kX8By30xAnQ/mqdefault.jpg,kX8By30xAnQ
일간,2026-06-14,shorts,미국,동물,조회수 순위,7,NEW,상어와 바다뱀을 안전하게 바다로 돌려보냈어요 🥹,2810637,2026.06.13,"#바다,#상어",pets swag,"18,100,000",https://img.youtube.com/vi/80Ll5PJMX80/mqdefault.jpg,80Ll5PJMX80
일간,2026-06-14,shorts,미국,동물,조회수 순위,8,0,My Cat Is the Messiest Little Roommate 😂🐱 | USA Pets,2659466,2026.06.09,"#cats,#pets",Pets Lover,"34,200",https://img.youtube.com/vi/d6kYlCVjA_c/mqdefault.jpg,d6kYlCVjA_c
일간,2026-06-14,shorts,미국,동물,조회수 순위,9,+12,“This looks WAY too real…”,2600533,2026.04.23,"#crimescenecorso,#canecorso",Brody The Corso,"43,099",https://img.youtube.com/vi/1hTKjXOanAs/mqdefault.jpg,1hTKjXOanAs
일간,2026-06-14,shorts,미국,동물,조회수 순위,10,+1,소리 확인하지 마세요😭😭,2500837,2026.04.07,,Animalcom,"288,000",https://img.youtube.com/vi/iRmgk_W_ty4/mqdefault.jpg,iRmgk_W_ty4
일간,2026-06-14,shorts,미국,동물,조회수 순위,11,+9,Hognose Snake Insists it is Dead!,2337532,2026.06.10,"#snakes,#reptiles",Will Robertson's Wildlife,"226,000",https://img.youtube.com/vi/9cA5eYBs2is/mqdefault.jpg,9cA5eYBs2is
일간,2026-06-14,shorts,미국,동물,조회수 순위,12,+47,뇌세포 하나를 나눠 쓰는 고양이와 아이들,2161029,2026.06.08,"#웃긴,#고양이",PetMakeHappy,"181,000",https://img.youtube.com/vi/TZz09mt7T24/mqdefault.jpg,TZz09mt7T24
일간,2026-06-14,shorts,미국,동물,조회수 순위,13,-6,Cat being idiots part 143: Cat have 9 lives 🤣,2021636,2026.06.07,"#funnycat,#funnypet",Funny Cat,"354,000",https://img.youtube.com/vi/hYwU0768V-Q/mqdefault.jpg,hYwU0768V-Q
일간,2026-06-14,shorts,미국,동물,조회수 순위,14,+3,말도 안 돼! 칩스의 새로운 꿀팁!,1897545,2026.05.03,"#그작은퍼프,#재밌는퍼프",That Little Puff,"38,600,000",https://img.youtube.com/vi/CcvXAlSfJ1w/mqdefault.jpg,CcvXAlSfJ1w
일간,2026-06-14,shorts,미국,동물,조회수 순위,15,+8,동물과 그들의 영웅이 보여주는 감동적인 재회,1723995,2026.05.26,,Wildlife Animals 379,"5,470,000",https://img.youtube.com/vi/IIdt3O2zJAY/mqdefault.jpg,IIdt3O2zJAY
일간,2026-06-14,shorts,미국,동물,조회수 순위,16,+57,"물에 빠진 고슴도치를 우연히 발견한 여성, 그 후...",1699730,2026.06.09,,Wildlife Animals 379,"5,470,000",https://img.youtube.com/vi/iKhmFBV0Rak/mqdefault.jpg,iKhmFBV0Rak
일간,2026-06-14,shorts,미국,동물,조회수 순위,17,+5,여자친구도 서로를 구분하지 못했다 😳👬,1647208,2026.06.12,"#웃긴영상,#쇼츠",Peach Movie,"546,000",https://img.youtube.com/vi/dHlTuMeFgNg/mqdefault.jpg,dHlTuMeFgNg
