Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,전체,댓글 순위,1,+2,Who win the world cup final?…⚽🤔👇,12000,2026.06.11,"#demonslayeredits,#demonslayeredit",BRB 😁,"33,700",https://img.youtube.com/vi/Hrxig307fN8/mqdefault.jpg,Hrxig307fN8
일간,2026-06-15,shorts,미국,전체,댓글 순위,2,NEW,구독자분들의 소원을 들어드립니다,10000,2026.05.08,N/A,미스터 비스트,"501,000,000",https://img.youtube.com/vi/B9LizOAAoLg/mqdefault.jpg,B9LizOAAoLg
일간,2026-06-15,shorts,미국,전체,댓글 순위,3,NEW,월드컵 케이크,10000,2026.06.05,"#worldcup,#soccer",Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/41IuDfMOSNU/mqdefault.jpg,41IuDfMOSNU
일간,2026-06-15,shorts,미국,전체,댓글 순위,4,NEW,끝까지…‼️ 할머니를 사랑한다면 좋아요 👍! 😍,10000,2026.03.16,N/A,SQUAD BRO SHOW,"12,300,000",https://img.youtube.com/vi/-nhvtP1sIoY/mqdefault.jpg,-nhvtP1sIoY
일간,2026-06-15,shorts,미국,전체,댓글 순위,5,NEW,완벽한 미디엄 스테이크,10000,2026.02.07,N/A,Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/1p6hc5xVXY4/mqdefault.jpg,1p6hc5xVXY4
일간,2026-06-15,shorts,미국,전체,댓글 순위,6,NEW,"유튜버를 맞추면 1,000달러",8496,2026.06.15,N/A,미스터 비스트,"501,000,000",https://img.youtube.com/vi/xDuuM3ERr5Q/mqdefault.jpg,xDuuM3ERr5Q
일간,2026-06-15,shorts,미국,전체,댓글 순위,7,NEW,Which Sibling Would You Save?,7600,2026.06.15,N/A,Justabtanything,"1,950,000",https://img.youtube.com/vi/KjBYWGMFJ7E/mqdefault.jpg,KjBYWGMFJ7E
일간,2026-06-15,shorts,미국,전체,댓글 순위,8,NEW,Esta pulsera de oro hizo que todos se volvieran locos 😳🏆,7200,2026.06.15,#shorts,Señor EXNIRP 90,"8,860,000",https://img.youtube.com/vi/HEF7MuRjn1o/mqdefault.jpg,HEF7MuRjn1o
일간,2026-06-15,shorts,미국,전체,댓글 순위,9,NEW,ASLEEP AT HIS OWN UFC SH*T SHOW,6500,2026.06.15,N/A,Tony Dortie,"509,000",https://img.youtube.com/vi/TsqOg1PWOkw/mqdefault.jpg,TsqOg1PWOkw
일간,2026-06-15,shorts,미국,전체,댓글 순위,10,+53,IS THIS FILTER REAL??,5400,2026.06.14,N/A,Cruz,"2,350,000",https://img.youtube.com/vi/FxlfB5DdQ4Q/mqdefault.jpg,FxlfB5DdQ4Q
일간,2026-06-15,shorts,미국,전체,댓글 순위,11,+1,설마 이게 사실이라고?,5200,2026.06.14,"#무슬림,#데시",Browniesaadi,"819,000",https://img.youtube.com/vi/ZyghbkhreT8/mqdefault.jpg,ZyghbkhreT8
일간,2026-06-15,shorts,미국,전체,댓글 순위,12,-7,Who kicked the ball 😂,5000,2026.05.22,N/A,ibekeigh,"4,120,000",https://img.youtube.com/vi/X3H_MOlxtak/mqdefault.jpg,X3H_MOlxtak
일간,2026-06-15,shorts,미국,전체,댓글 순위,13,NEW,내 친구를 석방하라!,5000,2026.06.15,N/A,JD Delay,"1,760,000",https://img.youtube.com/vi/9ll17SNu3Aw/mqdefault.jpg,9ll17SNu3Aw
일간,2026-06-15,shorts,미국,전체,댓글 순위,14,+6,Name a movie 😂,5000,2026.05.20,N/A,Onevilage,"9,800,000",https://img.youtube.com/vi/0vi1uqJMaM0/mqdefault.jpg,0vi1uqJMaM0
일간,2026-06-15,shorts,미국,전체,댓글 순위,15,NEW,Who win the world cup final...?⚽🤔👇,4900,2026.06.14,"#demonslayeredits,#demonslayeredit",BRB 😁,"33,700",https://img.youtube.com/vi/DBWwne57Ccw/mqdefault.jpg,DBWwne57Ccw
일간,2026-06-15,shorts,미국,전체,댓글 순위,16,NEW,I’m not sure how it got to this point,4693,2026.06.13,N/A,Oliver Tree,"6,960,000",https://img.youtube.com/vi/zUTxnlmVOwU/mqdefault.jpg,zUTxnlmVOwU
일간,2026-06-15,shorts,미국,전체,댓글 순위,17,NEW,둘 다 들리시나요!?! 👀😱,4200,2026.06.15,"#shorts,#챌린지",Mariah and Bill,"5,670,000",https://img.youtube.com/vi/HThXb_gW3sI/mqdefault.jpg,HThXb_gW3sI
일간,2026-06-15,shorts,미국,전체,댓글 순위,18,NEW,네덜란드 vs 일본 음식,4000,2026.06.14,"#worldcup,#netherlands",Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/qadjfH2L4kU/mqdefault.jpg,qadjfH2L4kU
일간,2026-06-15,shorts,미국,전체,댓글 순위,19,+12,불가능 축구 슛! ※역대급※,4000,2025.12.23,#BucketSquad,Jesser,"44,800,000",https://img.youtube.com/vi/HbaZxZMlHcM/mqdefault.jpg,HbaZxZMlHcM
일간,2026-06-15,shorts,미국,전체,댓글 순위,20,+60,Its getting crazy out here,4000,2026.06.14,"#automobile,#mechanic",Just Call Me Eddie,"291,000",https://img.youtube.com/vi/7cK3C8lhfN4/mqdefault.jpg,7cK3C8lhfN4
일간,2026-06-15,shorts,미국,전체,댓글 순위,21,NEW,카멜로의 유죄 협상 합의,3900,2026.06.15,N/A,JD Delay,"1,760,000",https://img.youtube.com/vi/0gY5SWNw2Ng/mqdefault.jpg,0gY5SWNw2Ng
일간,2026-06-15,shorts,미국,전체,댓글 순위,22,-16,El comentario con más likes es la mascota que me compraré 🥰 (por favor voten por el pascal🦎),3700,2026.06.14,N/A,Carlos Alberto Fuentes,"2,700,000",https://img.youtube.com/vi/ZFklUakOPD4/mqdefault.jpg,ZFklUakOPD4
일간,2026-06-15,shorts,미국,전체,댓글 순위,23,+14,그들이 나를 볼 수 있다고 생각하나요?,3600,2026.06.14,N/A,Forrest Galante,"2,720,000",https://img.youtube.com/vi/TTSUrA0xjiY/mqdefault.jpg,TTSUrA0xjiY
일간,2026-06-15,shorts,미국,전체,댓글 순위,24,+159,🔥🔥ASMR Transformation Extra Shine | Satisfying Shoe SHİNE,3600,2026.06.10,"#asmr,#restoration",Mr Shoe Shine,"541,000",https://img.youtube.com/vi/Zf-08jc7EHk/mqdefault.jpg,Zf-08jc7EHk
일간,2026-06-15,shorts,미국,전체,댓글 순위,25,NEW,Which Classmate Would You Save?,3500,2026.06.15,N/A,Justabtanything,"1,950,000",https://img.youtube.com/vi/8uc01ltTrZo/mqdefault.jpg,8uc01ltTrZo
일간,2026-06-15,shorts,미국,전체,댓글 순위,26,NEW,Wemby knows it’s gonna be a long journey back to finals 😡,3300,2026.06.14,"#nba,#nbafinals",Bleacher Report,"4,960,000",https://img.youtube.com/vi/4zyegq-I_rs/mqdefault.jpg,4zyegq-I_rs
일간,2026-06-15,shorts,미국,전체,댓글 순위,27,-6,누가 FIFA 월드컵에서 우승할까요?,3100,2026.06.12,#광고,Jesser,"44,800,000",https://img.youtube.com/vi/KprTbagX5XY/mqdefault.jpg,KprTbagX5XY
일간,2026-06-15,shorts,미국,전체,댓글 순위,28,NEW,일리야 토푸리아의 나쁜 버릇 🥀 ✅,2800,2026.06.15,#UFC,Nansend Sports,"255,000",https://img.youtube.com/vi/b65X0D38rcs/mqdefault.jpg,b65X0D38rcs
일간,2026-06-15,shorts,미국,전체,댓글 순위,29,+1,씨 없는 수박 너무 좋아요 😋,2737,2026.06.14,"#수박,#GMO",The Plant Slant,"2,270,000",https://img.youtube.com/vi/KVEJ-sVyMkQ/mqdefault.jpg,KVEJ-sVyMkQ
일간,2026-06-15,shorts,미국,전체,댓글 순위,30,+57,What Keeps A Tornado From Sucking A House Off The Foundation?,2700,2026.06.12,"#build,#howto",HAUS PLANS ®️,"1,800,000",https://img.youtube.com/vi/ehYNnFbJs5w/mqdefault.jpg,ehYNnFbJs5w
일간,2026-06-15,shorts,미국,전체,댓글 순위,31,+1,누가 문워크를 더 잘할까,2700,2026.06.12,N/A,Jp wilkins,"819,000",https://img.youtube.com/vi/YOaImnWodvk/mqdefault.jpg,YOaImnWodvk
일간,2026-06-15,shorts,미국,전체,댓글 순위,32,NEW,We Lost A 2022 Legend Today,2700,2026.06.15,N/A,Tyrecordslol,"6,060,000",https://img.youtube.com/vi/Bteqx9A5e2U/mqdefault.jpg,Bteqx9A5e2U
일간,2026-06-15,shorts,미국,전체,댓글 순위,33,+669,알라니 소송 없음,2605,2026.06.14,"#변호사,#법률",Mike Rafi - Personal Injury Lawyer,"739,000",https://img.youtube.com/vi/jwQ7WlTKULQ/mqdefault.jpg,jwQ7WlTKULQ
일간,2026-06-15,shorts,미국,전체,댓글 순위,34,NEW,Childhood Nostalgic Memes!,2592,2026.06.15,#shorts,Bru sharky,"102,000",https://img.youtube.com/vi/1iQ_qoCdtyo/mqdefault.jpg,1iQ_qoCdtyo
일간,2026-06-15,shorts,미국,전체,댓글 순위,35,+6,그들이 그녀의 번지 점프용 줄을 연결하는 걸 잊었다니 믿을 수가 없어.,2500,2026.06.14,N/A,Kagan Dunlap,"1,060,000",https://img.youtube.com/vi/HSpkS01NL1Y/mqdefault.jpg,HSpkS01NL1Y
일간,2026-06-15,shorts,미국,전체,댓글 순위,36,+729,We ALL love doing this,2464,2026.06.15,"#relatablestories,#comedy",Tyler Vitelli,"7,520,000",https://img.youtube.com/vi/MyzHsdLKJ70/mqdefault.jpg,MyzHsdLKJ70
일간,2026-06-15,shorts,미국,전체,댓글 순위,37,-13,I Tried a Bag of Air from 2020.. 💨,2400,2026.06.14,"#relatablestories,#comedy",Tyler Vitelli,"7,520,000",https://img.youtube.com/vi/VB8G6aWcUEo/mqdefault.jpg,VB8G6aWcUEo
일간,2026-06-15,shorts,미국,전체,댓글 순위,38,NEW,뒤집어 입으려면 두 배나 비싸,2400,2026.06.14,"#바보같은부자들패션,#패션",Refashioned Hippie,"686,000",https://img.youtube.com/vi/g6i4dG9pFg4/mqdefault.jpg,g6i4dG9pFg4
일간,2026-06-15,shorts,미국,전체,댓글 순위,39,NEW,ugly is beautiful,2314,2026.06.09,N/A,Oliver Tree,"6,960,000",https://img.youtube.com/vi/qXSFTCsWJYw/mqdefault.jpg,qXSFTCsWJYw
일간,2026-06-15,shorts,미국,전체,댓글 순위,40,NEW,How Fast Can You Guess This Baby? (Rapper),2300,2026.06.14,N/A,BAT CHOPPA,"2,310,000",https://img.youtube.com/vi/JdKC6NhIxew/mqdefault.jpg,JdKC6NhIxew
일간,2026-06-15,shorts,미국,전체,댓글 순위,41,-13,Bro Unlocked a Childhood Memory😂🤣 @jamiegriffin863➡️tiktok,2300,2026.06.11,"#shorts,#youtubeshorts",Shawn Louisiana,"288,000",https://img.youtube.com/vi/6ZgukG81csI/mqdefault.jpg,6ZgukG81csI
일간,2026-06-15,shorts,미국,전체,댓글 순위,42,NEW,Becky Hammon said Jalen Brunson is too small to win a championship 💀,2300,2026.06.14,"#jalenbrunson,#viral",Who Likes Sports,"18,200",https://img.youtube.com/vi/LXgl0AGDcTg/mqdefault.jpg,LXgl0AGDcTg
일간,2026-06-15,shorts,미국,전체,댓글 순위,43,+435,Houses just aren't built like they used to be 😅,2296,2026.06.14,"#afv,#fail",America's Funniest Home Videos,"7,820,000",https://img.youtube.com/vi/VpYn1uQ_J9U/mqdefault.jpg,VpYn1uQ_J9U
일간,2026-06-15,shorts,미국,전체,댓글 순위,44,NEW,Khamzat Chimaev vs Dillon Danis ends in brawl at ‪@RAFwrestling‬,2200,2026.06.14,N/A,XcellentMMA Clips,"203,000",https://img.youtube.com/vi/0xquZ4RBDNM/mqdefault.jpg,0xquZ4RBDNM
일간,2026-06-15,shorts,미국,전체,댓글 순위,45,NEW,사람들이 너무 지쳤어요 😭,2200,2026.06.15,"#asmongold,#asmon",StompnWorld,"246,000",https://img.youtube.com/vi/t6cAFDu04gs/mqdefault.jpg,t6cAFDu04gs
일간,2026-06-15,shorts,미국,전체,댓글 순위,46,-12,카멜로의 부모,2200,2026.06.15,N/A,JD Delay,"1,760,000",https://img.youtube.com/vi/HfnmpJDkJe0/mqdefault.jpg,HfnmpJDkJe0
일간,2026-06-15,shorts,미국,전체,댓글 순위,47,-4,Teen With 18 Priors Sent To Prison!,2200,2026.06.13,N/A,Judgment Lane,"165,000",https://img.youtube.com/vi/J1AFC8IASVo/mqdefault.jpg,J1AFC8IASVo
